Biraèko mjesto:;BPS - SEFER HALILOVIÆ;STRANKA ZA BOSNU I HERCEGOVINU;SDP - SOCIJALDEMOKRATSKA PARTIJA BIH;HDZ BIH - HRVATSKA DEMOKRATSKA ZAJEDNICA BOSNE I HERCEGOVINE;DEMOKRATSKA STRANKA INVALIDA BIH;BOSS - BOSANSKA STRANKA - MIRNES AJANOVIÆ;?????????????? ???????;SDA - STRANKA DEMOKRATSKE AKCIJE;HSS - NHI;NARODNA STRANKA RADOM ZA BOLJITAK;STRANKA PENZIONERA - UMIROVLJENIKA BOSNE I HERCEGOVINE;????? ?????????? ???????????????? - ???? - ??????? ?????;HRVATSKA DEMOKRATSKA UNIJA BIH;STRANKA UDRUŽENIH NEZAVISNIH DEMOKRATA BOSNE I HERCEGOVINE;STRANKA DEMOKRATSKE AKTIVNOSTI A-sda;STRANKA ZA NAROD BOSNE I HERCEGOVINE;HODŽIÆ HAZIM - NEZAVISNI KANDIDAT;SAVEZ ZA BOLJU BUDUÆNOST BIH - SBB BIH FAHRUDIN RADONÈIÆ;PARTIJA PRAVOG PUTA;STRANKA KOKUZA - SKOK;NAŠA STRANKA - NOVA SOCIJALISTIÈKA PARTIJA ZDRAVKO KRSMANOVIÆ;HRVATSKA KOALICIJA HDZ 1990 - HSP BIH;SDU BIH - LDS BIH - E5 - KOALICIJA ZA TUZLANSKI KANTON;KOALICIJA PREOKRET: GDS BIH I NEP BIH;Ukupno za biraèko mjesto:
049A012B;4;6;33;8;1;3;0;85;0;6;1;4;0;0;1;0;0;45;0;1;0;0;1;0;199
049A013;14;34;123;6;0;5;0;169;0;1;2;0;0;0;1;0;3;123;2;0;3;0;6;0;492
049A014;0;0;4;426;0;0;0;3;0;34;0;0;0;0;0;0;0;1;0;0;0;19;0;0;487
049A015;19;23;209;1;2;17;0;88;0;34;3;0;0;6;0;0;0;26;1;0;1;0;8;0;438
049A016;18;19;84;0;0;13;0;91;0;14;6;1;0;8;0;0;10;50;0;7;5;0;10;0;336
049A017;10;21;79;0;0;4;0;59;0;5;0;0;0;0;6;0;0;13;0;3;0;0;1;1;202
049A018A;47;28;93;0;0;6;0;102;0;10;4;0;0;0;0;0;1;47;0;1;2;0;16;1;358
049A018B;78;29;121;1;0;10;0;82;0;16;2;0;0;0;2;0;2;42;1;1;2;0;3;0;392
049A019;33;19;161;9;0;16;0;94;0;40;5;0;0;16;4;1;4;38;0;3;9;0;12;5;469
049A020;19;39;136;0;0;9;0;113;0;19;4;1;0;0;0;0;5;52;0;8;5;2;6;9;427
049A021;17;44;112;1;1;3;1;83;0;13;1;0;0;0;1;0;0;11;0;3;0;0;8;2;301
049A022;19;15;117;3;2;9;0;67;0;17;6;0;0;0;0;1;18;52;1;4;13;0;16;6;366
049A023;26;25;172;3;3;6;0;106;0;47;4;1;0;1;0;0;2;87;0;4;8;0;17;5;517
049A024;31;54;171;2;0;4;0;64;0;23;3;0;0;0;4;0;2;38;0;6;2;0;4;0;408
049A025;14;31;157;0;3;3;0;74;0;76;6;0;0;0;1;0;4;57;0;2;14;0;26;16;484
049A026;9;17;32;0;0;2;0;110;0;23;0;0;0;0;0;1;1;7;0;0;1;0;8;0;211
049A027;13;171;103;0;1;5;0;32;0;9;0;0;0;7;6;0;5;12;0;4;1;0;11;9;389
049A028;9;6;160;0;3;17;0;76;0;17;5;0;0;4;0;0;0;39;0;2;2;0;7;1;348
049A029;3;12;241;0;0;7;0;128;0;18;4;0;0;0;1;0;0;41;0;7;1;0;24;0;487
049A030;20;6;161;1;1;8;0;63;0;23;3;0;0;0;0;0;1;34;0;6;0;0;6;0;333
049A031;10;37;110;0;1;5;0;79;0;60;6;0;0;0;0;0;1;18;0;4;2;0;4;0;337
049A032;21;37;47;0;0;0;0;89;0;0;0;0;0;0;0;0;0;14;0;0;0;0;5;0;213
049A033;7;4;41;0;0;0;0;61;0;0;0;0;0;0;0;0;0;4;0;0;1;0;3;1;122
049A034;10;6;20;0;0;1;0;43;0;0;1;0;0;0;0;0;0;3;0;0;1;0;3;11;99
049A035;2;20;64;1;0;0;1;103;0;10;2;0;0;0;0;0;0;4;0;0;0;0;1;6;214
049A036;12;5;70;4;1;1;0;49;0;8;0;0;0;1;0;0;1;18;0;0;0;0;27;0;197
049A037;11;16;188;0;0;2;0;76;0;7;5;0;0;1;2;1;0;33;0;10;11;0;10;0;373
049A038;1;6;48;7;0;1;0;48;0;1;0;0;0;0;0;0;1;18;1;0;0;0;0;1;133
049A039;0;0;4;234;0;0;0;19;0;87;0;0;0;0;0;0;0;1;0;0;0;0;0;0;345
049A040;14;3;40;0;2;10;0;74;0;8;4;0;0;0;0;0;9;34;0;0;0;0;4;3;205
049A041;7;8;53;0;2;0;0;91;0;14;0;0;0;3;0;1;0;17;2;1;0;0;5;5;209
049A042;31;15;80;0;0;4;0;61;0;6;0;0;0;0;0;0;0;9;1;0;12;0;2;1;222
049A043;27;13;104;3;1;2;0;97;0;8;0;0;0;1;3;0;0;31;0;3;1;0;0;4;298
049A044;4;44;92;0;0;1;0;107;0;2;0;0;0;0;11;0;0;34;0;0;0;0;11;2;308
049A045;13;6;118;0;1;1;0;85;0;16;0;0;0;0;2;1;0;25;0;0;0;0;6;0;274
049A046;45;25;73;0;1;4;0;59;0;26;3;0;0;0;0;0;0;21;0;2;0;0;9;0;268
049A047;57;4;117;0;0;16;0;67;0;21;0;0;0;8;0;0;0;45;1;0;2;0;11;17;366
049A048A;13;20;59;1;0;5;1;111;0;1;0;1;0;1;0;0;0;25;0;2;2;0;19;16;277
049A048B;13;15;44;0;1;8;0;137;0;3;1;0;0;2;1;0;4;31;1;2;1;0;15;7;286
049A049;21;16;118;1;1;6;0;123;0;13;5;0;0;5;7;1;6;38;0;2;2;0;11;2;378
049A050A;14;9;74;0;2;1;0;85;0;25;1;0;0;0;0;0;0;22;0;0;0;0;5;0;238
049A050B;36;16;68;0;0;0;0;85;0;3;1;0;0;0;2;1;1;16;0;1;0;0;2;0;232
049A051;0;0;13;115;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;130
049A052;5;5;66;47;0;2;0;70;0;6;2;6;0;0;0;0;0;18;0;0;1;1;1;0;230
049A053;21;26;28;2;1;2;0;179;0;1;0;0;0;0;2;1;0;34;0;3;0;1;7;19;327
049A054;52;31;85;3;1;4;0;67;0;12;3;0;0;2;0;1;10;51;0;4;5;0;12;0;343
049A055;11;17;132;2;5;5;1;76;0;8;3;0;0;1;0;0;8;61;3;10;4;0;20;3;370
049A056;1;28;54;0;2;3;0;50;0;3;0;0;0;0;1;1;2;13;0;0;4;0;5;0;167
049A057;9;11;28;0;5;3;0;26;0;1;0;0;0;0;1;0;0;29;0;1;0;0;2;0;116
049A058;5;7;53;0;0;0;0;36;0;0;1;0;0;0;0;0;0;28;0;1;0;0;1;0;132
050A000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
050A001;11;14;171;6;4;33;0;28;0;53;3;0;0;1;0;6;0;52;0;8;9;1;1;2;403
050A002;3;14;131;7;2;24;0;28;0;37;2;1;0;1;3;3;1;38;0;10;7;1;6;1;320
050A003;9;10;146;5;0;31;0;32;0;33;3;1;0;3;2;0;2;44;1;4;5;0;2;0;333
050A004;8;11;210;23;1;21;0;41;1;15;9;7;0;0;1;3;0;55;1;19;9;0;7;2;444
050A005;10;16;178;8;0;34;0;47;0;16;6;2;0;0;4;2;0;60;1;9;9;0;6;6;414
050A006;9;10;117;10;2;20;0;37;4;16;6;1;0;1;0;2;1;31;0;12;15;3;2;1;300
050A007;4;15;145;16;4;19;0;39;0;18;10;4;0;2;3;0;2;60;0;11;6;1;0;0;359
050A008;16;8;185;13;2;17;0;36;0;20;4;2;0;2;1;1;3;50;0;7;8;8;1;1;385
050A009;0;1;28;0;0;3;0;15;0;3;0;0;0;0;0;2;0;11;0;3;1;0;0;0;67
050A010;11;16;205;18;3;14;0;59;1;14;3;8;0;0;1;1;0;64;0;10;22;5;4;3;462
050A011;9;21;158;10;3;8;1;46;1;18;8;0;0;1;0;0;3;54;0;6;28;5;1;6;387
050A012;5;5;61;1;0;6;0;10;0;2;2;0;0;0;0;0;0;11;0;1;4;0;0;4;112
050A013;9;26;164;12;1;19;1;30;0;10;6;2;0;6;1;2;1;50;15;6;11;0;0;1;373
050A014;17;37;181;9;1;24;0;77;3;12;5;0;0;5;17;0;0;65;0;17;15;0;3;7;495
050A015;6;15;173;3;1;19;0;39;1;9;11;5;0;1;3;3;0;57;1;9;16;7;4;3;386
050A016;7;10;180;12;0;14;0;28;2;42;4;5;0;0;4;0;1;63;0;4;15;6;2;3;402
050A017;11;24;169;12;3;21;0;21;1;10;0;1;0;0;0;1;3;51;2;9;18;0;6;3;366
050A018;10;11;137;5;1;20;0;35;4;7;3;4;0;4;2;0;3;43;2;7;25;0;2;0;325
050A019;0;6;86;72;0;1;1;1;2;45;0;0;0;0;0;1;0;0;0;0;0;2;1;0;218
050A020;19;7;126;37;2;17;0;22;1;63;3;1;0;2;2;1;0;12;0;8;0;7;3;0;333
050A021;2;1;58;93;1;3;0;2;0;13;2;3;0;0;0;0;1;7;0;0;7;7;0;1;201
050A022;7;7;150;8;1;30;0;35;1;10;3;2;0;0;6;1;4;58;0;14;11;3;1;1;353
050A023;2;8;135;0;0;50;0;19;1;12;3;0;0;1;0;0;3;53;0;8;4;0;0;4;303
050A024;8;11;133;4;1;41;0;22;0;11;0;1;0;2;0;0;0;32;2;23;3;0;0;3;297
050A025;0;2;80;150;0;4;0;2;2;37;3;0;1;1;0;1;0;6;0;6;2;2;0;1;300
050A026;1;4;100;8;0;6;0;13;0;9;6;9;0;0;1;0;0;15;0;3;3;0;0;0;178
050A027;5;2;117;93;1;3;0;10;0;7;10;0;0;0;1;0;2;8;0;5;0;3;4;2;273
050A028;4;6;104;1;2;4;0;66;0;15;1;0;0;0;0;0;0;11;0;1;0;0;2;0;217
050A029;6;6;149;1;0;29;0;20;0;10;2;0;0;1;0;1;0;37;0;6;1;0;0;2;271
050A030;11;19;163;1;2;30;1;37;0;36;6;0;0;2;2;2;0;33;1;3;3;0;4;4;360
050A031;3;1;33;44;1;2;0;4;1;24;1;0;0;2;0;1;0;5;0;1;2;1;0;0;126
050A032;4;108;92;2;12;8;0;54;0;9;1;0;0;3;1;2;0;58;0;2;10;1;2;3;372
050A033;3;122;69;1;6;8;0;43;0;13;2;0;0;1;1;2;0;60;0;6;8;0;1;2;348
050A034;7;119;99;0;5;10;0;72;0;7;3;0;0;0;0;1;0;67;2;2;1;0;1;1;397
050A035;0;1;11;81;0;2;0;0;0;2;0;0;0;0;0;0;0;1;0;0;1;0;0;0;99
050A036;5;127;80;0;6;10;0;56;0;3;1;1;0;0;0;3;0;51;0;2;9;0;1;0;355
050A037;18;29;121;10;4;15;0;32;1;35;3;0;1;3;2;2;2;55;1;8;5;2;1;2;352
050A038;4;1;72;42;0;2;0;2;0;35;1;0;0;0;0;0;0;15;1;2;2;1;0;0;180
050A039;1;1;69;136;0;7;0;5;0;32;1;1;0;1;0;3;0;13;0;3;1;11;1;0;286
050A040;2;8;79;91;1;2;0;19;1;55;3;0;1;0;0;0;0;12;2;5;3;4;1;0;289
050A041;4;1;117;75;2;3;0;34;0;39;2;0;0;0;1;0;0;20;0;6;3;6;0;6;319
050A042;10;20;131;6;0;7;0;41;0;10;1;0;0;2;1;4;0;99;1;10;17;0;0;1;361
050A043;12;33;170;2;4;16;0;57;0;6;0;0;0;4;0;4;0;101;0;15;14;0;0;0;438
050A044;3;9;83;82;8;8;0;42;0;92;1;0;0;1;0;0;0;27;0;6;3;0;2;7;374
050A045;11;9;124;56;3;10;0;47;1;27;6;0;0;1;1;1;0;38;0;0;1;4;2;3;345
050A046;5;33;199;10;13;7;0;45;2;32;0;0;0;0;0;0;0;27;3;2;3;0;2;1;384
050A047;5;10;140;2;0;15;0;13;0;6;3;0;0;1;0;0;0;52;0;13;6;0;3;0;269
050A048;15;8;115;1;0;23;0;33;0;5;1;0;0;1;5;0;0;47;1;14;13;0;1;1;284
050A049;1;5;72;19;0;8;0;15;1;57;0;1;0;7;0;0;0;11;0;3;8;2;5;0;215
050A050;6;17;90;30;0;17;0;18;1;125;1;0;0;17;0;0;1;28;0;1;1;1;2;1;357
050A051;1;3;97;58;5;7;0;28;13;78;6;0;0;1;0;0;0;15;0;2;3;2;0;0;319
050A052;4;5;148;40;0;9;0;51;1;29;2;0;0;8;0;1;0;20;0;4;1;3;0;0;326
050A053;0;1;68;112;0;5;0;1;1;41;0;0;0;1;1;0;0;1;0;2;0;3;0;3;240
050A054;0;3;112;69;4;3;0;0;3;13;1;0;1;2;0;0;0;3;0;2;0;6;0;0;222
050A055;0;1;41;134;1;1;0;3;4;9;1;1;0;0;0;0;0;1;0;3;0;1;0;0;201
050A056;0;11;192;2;4;32;0;22;0;28;5;1;0;2;0;0;0;22;0;10;3;0;0;1;335
050A057;0;2;73;82;2;2;1;21;0;28;5;0;0;0;0;0;1;23;0;3;0;12;0;0;255
050A058;1;2;97;113;2;0;0;9;0;30;2;0;0;1;0;0;0;6;0;2;2;3;0;0;270
050A059;9;11;145;1;1;23;0;19;0;26;0;1;0;3;0;0;0;51;0;16;7;1;2;0;316
050A060;13;13;147;13;1;30;1;37;0;18;1;2;0;1;1;3;2;52;0;12;6;3;1;1;358
050A061;17;25;150;7;3;40;0;25;0;17;2;0;0;3;0;3;0;96;0;18;4;0;8;2;420
050A062;1;9;94;15;5;28;0;28;0;60;1;1;0;0;4;0;1;44;0;9;12;0;0;1;313
050A063;7;22;146;10;2;18;0;18;0;17;1;3;0;0;0;1;1;64;0;14;13;1;1;0;339
050A064;4;12;128;14;2;28;0;17;0;35;1;1;0;2;1;1;0;33;0;12;10;2;1;1;305
050A065;6;28;140;0;0;14;0;45;0;17;6;2;0;1;1;1;0;102;0;18;12;0;6;6;405
050A066;14;35;172;3;5;28;0;25;0;24;1;1;0;10;1;1;1;78;1;21;3;1;4;4;433
050A067;10;29;159;4;2;36;0;41;0;11;8;0;0;0;3;3;0;37;0;13;14;1;3;3;377
050A068;18;10;121;8;1;13;0;43;0;15;6;0;0;3;3;1;1;37;0;13;12;1;6;3;315
050A069;13;57;119;0;1;24;0;23;0;16;1;3;0;1;0;0;1;34;0;13;6;0;1;0;313
050A070;8;13;117;12;2;33;0;22;0;13;3;2;0;0;0;1;3;44;0;7;13;1;2;1;297
050A071;5;4;110;67;3;9;0;28;1;21;2;0;1;2;0;2;0;22;0;5;1;0;1;0;284
050A072;3;5;66;0;1;23;0;10;0;34;1;0;0;1;0;1;0;49;0;3;5;0;1;0;203
050A073;7;13;201;11;13;27;0;33;0;15;3;0;0;0;2;0;0;75;0;10;7;0;1;1;419
050A074;13;25;172;21;2;23;1;26;3;14;7;3;0;0;0;1;0;57;0;12;6;1;0;4;391
