Biracko mjesto:	BPS - SEFER HALILOVIc	STRANKA ZA BOSNU I HERCEGOVINU	SDP - SOCIJALDEMOKRATSKA PARTIJA BIH	HDZ BIH - HRVATSKA DEMOKRATSKA ZAJEDNICA BOSNE I HERCEGOVINE	DEMOKRATSKA  NARODNA ZAJEDNICA - DNZ BIH	DEMOKRATSKA STRANKA INVALIDA BIH	BOSS - BOSANSKA STRANKA - MIRNES AJANOVIc	ZAVIcAJNI SOCIJALDEMOKRATI - MILE MARcETA	SOCIJALISTICKA PARTIJA	SDA - STRANKA DEMOKRATSKE AKCIJE	DNS - DEMOKRATSKI NARODNI SAVEZ	STRANKA PENZIONERA - UMIROVLJENIKA BOSNE I HERCEGOVINE	SAVEZ NEZAVISNIH SOCIJALDEMOKRATA - SNSD - MILORAD DODIK	SDU BIH - SOCIJALDEMOKRATSKA UNIJA BOSNE I HERCEGOVINE	HSP BIH	HRVATSKA DEMOKRATSKA ZAJEDNICA 1990 - HDZ 1990	STRANKA UDRUzENIH NEZAVISNIH DEMOKRATA BOSNE I HERCEGOVINE	STRANKA DEMOKRATSKE AKTIVNOSTI A-sda	STRANKA ZA NAROD BOSNE I HERCEGOVINE	SAVEZ ZA BOLJU BUDUcNOST BIH - SBB BIH FAHRUDIN RADONcIc	PARTIJA PRAVOG PUTA	STRANKA KOKUZA - SKOK	NASA STRANKA - NOVA SOCIJALISTIcKA PARTIJA ZDRAVKO KRSMANOVIc	NS R ZA BOLJITAK, KSPP, E-5 I LDS - ZAJEDNO ZA USK	KOALICIJA PREOKRET: GDS BIH I NEP BIH	Ukupno za biracko mjesto:
032A039	0	6	9	0	0	0	1	0	0	52	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	71
032A040	2	87	48	0	0	0	0	0	0	125	0	0	0	17	0	0	0	1	0	31	1	0	0	1	0	313
032A041	0	30	48	0	1	1	3	0	0	71	1	1	0	10	0	0	0	4	0	81	2	1	3	1	0	258
032A042	2	25	67	0	0	0	1	0	0	54	3	1	1	2	0	0	1	7	0	59	0	1	2	1	1	228
032A043	1	58	47	1	0	0	1	0	0	40	3	0	5	8	0	0	3	3	0	53	0	2	0	3	0	228
032A044	0	16	47	0	0	0	2	0	0	31	0	0	0	0	0	0	0	0	1	12	1	0	0	0	0	110
032A045	0	24	10	0	0	0	0	0	0	50	0	0	0	1	0	0	0	0	1	9	0	0	2	0	0	97
059A000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
059A001	27	18	221	2	2	0	1	0	0	58	0	3	8	1	0	1	0	10	1	36	0	1	15	5	0	410
059A002	22	24	216	1	0	0	1	0	0	83	0	12	2	0	0	1	0	36	0	16	0	2	20	1	0	437
059A003	12	35	194	0	1	0	0	0	1	108	1	3	1	0	0	1	0	25	0	18	0	0	2	1	0	403
059A004	40	70	93	1	0	0	3	0	0	42	0	5	2	1	0	0	0	69	0	20	0	2	5	2	0	355
059A005	2	34	179	0	1	0	0	0	0	134	0	2	0	0	0	0	1	36	1	11	0	1	0	0	0	402
059A006	13	18	72	0	0	0	0	0	1	31	0	1	2	5	0	0	1	164	1	36	0	0	7	2	0	354
059A007A	2	29	70	1	0	0	1	0	0	91	0	0	0	0	0	0	0	20	0	8	0	0	0	1	0	223
059A007B	6	11	75	1	0	0	4	0	0	86	0	0	0	0	0	0	2	8	0	8	0	0	0	0	0	201
059A008	4	32	54	1	0	0	0	0	0	97	0	2	0	1	0	0	3	40	0	26	0	0	0	0	0	260
059A009	3	43	105	2	0	0	2	0	0	87	0	12	2	1	0	0	0	15	0	36	0	1	2	0	0	311
059A010	5	96	78	1	1	0	1	0	0	214	0	6	0	0	0	0	0	14	0	33	0	0	4	1	0	454
059A011	8	35	13	0	0	0	2	0	0	91	0	1	0	5	0	0	2	7	0	3	1	0	0	0	0	168
059A012	8	20	215	0	1	0	0	0	0	49	0	1	5	1	0	0	1	7	0	27	0	0	1	0	0	336
059A013	9	39	172	1	0	0	0	0	0	65	0	6	0	5	0	0	0	31	1	37	0	3	4	2	0	375
059A014	4	41	157	0	0	0	2	0	0	94	0	0	0	0	0	0	0	86	0	9	0	2	0	0	0	395
059A015	0	8	122	0	0	0	0	0	0	11	0	1	0	0	0	0	0	0	0	1	0	0	2	0	0	145
059A016	0	48	100	1	2	0	0	0	4	95	0	6	5	1	0	0	0	17	0	21	1	0	2	2	0	305
059A017	7	17	168	0	1	0	0	0	0	69	0	5	0	0	0	0	0	9	1	24	0	2	1	3	0	307
059A018	7	22	108	2	1	2	0	0	0	27	0	1	12	0	0	0	0	41	0	13	0	0	4	0	0	240
059A019	4	26	186	0	2	0	0	1	0	78	0	16	2	0	0	0	0	14	1	22	0	1	9	1	0	363
POSTOM	18	293	200	3	274	2	11	0	0	225	2	5	1	3	2	1	0	75	8	155	6	4	27	14	0	1329
ODUSTVO	4	54	78	1	47	3	5	0	1	76	3	9	62	6	1	1	2	31	0	27	3	0	3	7	0	424
POTVRDjENI	0	1	4	0	8	0	0	0	0	7	0	0	0	0	0	0	0	3	0	2	0	0	0	1	0	26
Ukupno:	1016	9001	25850	842	14636	96	407	26	34	24873	116	785	1413	1059	11	647	172	12793	342	7918	119	303	1200	5925	12	109596

