Biracko mjesto:	STRANKA ZA BOSNU I HERCEGOVINU	SDP - SOCIJALDEMOKRATSKA PARTIJA BIH	SDS - SRPSKA DEMOKRATSKA STRANKA	HDZ BIH - HRVATSKA DEMOKRATSKA ZAJEDNICA BOSNE I HERCEGOVINE	DEMOKRATSKA  NARODNA ZAJEDNICA - DNZ BIH	ZAVIcAJNI SOCIJALDEMOKRATI - MILE MARcETA	SDA - STRANKA DEMOKRATSKE AKCIJE	HSS - NHI	PDP - PARTIJA DEMOKRATSKOG PROGRESA	DNS - DEMOKRATSKI NARODNI SAVEZ	NARODNA STRANKA RADOM ZA BOLJITAK	SAVEZ NEZAVISNIH SOCIJALDEMOKRATA - SNSD - MILORAD DODIK	SDU BIH - SOCIJALDEMOKRATSKA UNIJA BOSNE I HERCEGOVINE	HSP BIH	HRVATSKA DEMOKRATSKA ZAJEDNICA 1990 - HDZ 1990	cURKOVIc STIPO - RADE - NEOVISNI KANDIDAT	DEMOKRATSKA PARTIJA - DRAGAN CAVIC	SAVEZ ZA BOLJU BUDUcNOST BIH - SBB BIH FAHRUDIN RADONcIc	HSP DR. ANTE STARcEVIc – PRAVASI 21 STOLJEcA	NASA STRANKA - NOVA SOCIJALISTIcKA PARTIJA ZDRAVKO KRSMANOVIc	Ukupno za biracko mjesto:
124A009	0	3	0	110	0	0	0	18	0	0	2	0	0	98	9	0	0	0	3	0	243
124A010	0	1	0	146	0	0	0	13	0	0	2	0	0	130	22	1	0	0	0	0	315
124A011	30	20	1	76	0	0	96	13	0	0	6	0	1	63	36	4	0	5	8	0	359
124A012	0	20	0	99	0	0	0	67	0	0	8	0	0	80	38	0	0	0	0	0	312
124A013	0	21	0	110	1	0	0	3	0	0	1	1	0	69	35	0	0	0	6	0	247
124A014	0	10	0	32	0	0	0	9	0	0	0	0	0	84	23	2	0	0	1	0	161
124A015	0	15	0	43	0	0	3	14	0	0	0	0	0	63	21	2	0	4	1	0	166
124A016	18	40	0	73	1	0	24	21	0	0	6	0	0	77	35	6	0	30	3	1	335
124A017	0	41	0	80	0	0	0	17	0	0	4	0	0	249	49	5	0	0	4	0	449
124A018	1	26	0	207	0	0	0	63	0	0	0	0	0	82	18	5	0	0	1	0	403
124A019	1	4	0	116	0	0	0	36	0	0	0	0	0	162	15	0	0	0	4	0	338
124A020	0	12	0	102	0	0	0	19	0	0	1	0	0	121	0	1	0	0	1	0	257
124A021	0	1	0	32	0	0	0	11	0	0	0	0	0	97	21	4	0	0	5	0	171
124A022	1	12	0	53	0	0	0	6	0	1	0	0	0	89	21	0	0	1	2	0	186
124A023	3	30	0	97	0	0	40	20	0	0	3	0	0	81	20	6	0	14	0	0	314
