,BM,BOSS - BOSANSKA STRANKA-MIRNES AJANOVIĆ,BPS-SEFER HALILOVIĆ,DEMOKRATSKA FRONTA-ŽELJKO KOMŠIĆ,HDZ 1990 HRVATSKA DEMOKRATSKA ZAJEDNICA,"HDZ BIH, HSS, HKDU BIH, HSP DR.ANTE STARČEVIĆ, HSP HERCEG-BOSNE",KOMUNISTIČKA PARTIJA,NARODNA STRANKA RADOM ZA BOLJITAK,NAŠA STRANKA,NOVI POKRET BIH,RDS-REGIONALNI DEMOKRATSKI SAVEZ TUZLA,SAVEZ NEZAVISNIH SOCIJALDEMOKRATA - SNSD - MILORAD DODIK,SBB - FAHRUDIN RADONČIĆ,SDA - STRANKA DEMOKRATSKE AKCIJE,SDP-SOCIJALDEMOKRATSKA PARTIJA BIH,SNAGA BIH - HSP BIH-DSI,STRANKA DIJASPORE BOSNE I HERCEGOVINE,STRANKA ZA BOSNU I HERCEGOVINU,UNIJA SOCIJALDEMOKRATA-UNIJA ZA SVE NAS,ZAJEDNO ZA PROMJENE (SPP-SP/U-SDU-DNZ-LDS),Ukupno
,050A052,4,5,55,10,30,1,9,0,0,1,0,71,72,60,0,0,3,1,3,325
,050A053,3,0,20,16,73,2,11,3,0,1,0,13,0,23,1,0,1,5,1,173
,050A054,4,1,14,20,110,1,0,2,0,0,1,10,0,232,0,0,0,1,1,397
,050A055,1,2,17,14,74,1,1,0,0,0,2,5,0,36,0,0,0,0,0,153
,050A056,24,4,51,4,0,2,12,0,0,1,0,157,104,26,0,0,2,1,1,389
,050A057,2,14,26,17,89,18,2,1,0,4,0,20,43,2,0,0,2,0,1,241
,050A058,2,2,24,15,85,1,6,0,1,3,0,26,14,29,1,0,0,2,1,212
,050A059,13,13,58,3,1,4,7,8,4,5,1,134,33,24,1,0,12,4,3,328
,050A060,17,13,65,6,3,5,17,0,2,1,0,78,33,39,3,2,1,11,0,296
,050A061,13,17,73,2,5,4,7,2,2,6,0,168,57,35,0,0,3,2,3,399
,050A062,17,7,59,5,9,3,13,2,2,5,0,104,33,22,0,0,7,5,0,293
,050A063,13,14,47,0,8,9,7,15,2,4,3,126,36,35,4,3,13,6,4,349
,050A064,10,11,71,7,8,4,12,3,1,1,0,92,33,33,1,0,3,2,2,294
,050A065,10,9,75,0,2,5,4,6,3,5,0,173,36,35,2,1,13,0,4,383
,050A066,10,15,78,1,0,2,2,4,0,2,0,177,36,54,0,0,19,12,1,413
,050A067,10,23,90,3,6,10,3,8,0,11,1,73,58,51,1,1,8,4,2,363
,050A068,6,16,63,4,13,4,1,7,2,4,1,76,55,25,2,0,11,11,0,301
,050A069,16,15,65,0,0,2,9,6,0,4,1,101,46,28,4,0,0,1,1,299
,050A070,11,11,61,4,8,6,0,6,0,10,0,77,27,38,1,3,18,3,3,287
,050A071,31,11,39,4,26,4,6,3,0,1,0,46,53,47,2,0,2,0,1,276
,050A072,28,6,28,0,0,3,12,0,0,3,1,44,47,14,0,0,3,1,5,195
,050A073,32,27,72,0,6,5,12,0,0,3,1,108,92,50,1,2,3,1,2,417
,050A074,8,15,88,5,9,11,3,10,2,2,1,73,37,58,0,1,10,2,1,336
,050A075,8,11,64,1,2,10,0,8,0,3,2,70,34,39,1,1,2,3,0,259
,050A076,14,15,92,5,2,25,3,25,2,9,0,83,45,55,0,0,5,2,1,383
,050A077,9,13,75,5,6,13,12,15,0,14,2,95,43,55,2,2,2,3,0,366
,050A078,11,14,73,5,13,12,6,12,11,16,1,90,33,55,1,0,7,9,2,371
,050A079,11,20,81,5,3,26,3,28,1,11,4,107,78,72,1,1,8,3,2,465
,050A080,2,0,6,13,78,0,21,0,0,0,0,5,0,2,3,0,0,0,1,131
,050A081,14,11,84,0,0,1,19,1,2,12,1,95,117,109,2,0,11,6,7,492
,050A082,19,6,57,0,1,0,14,1,0,1,0,90,74,27,7,0,2,0,1,300
,050A083,5,5,23,0,1,0,15,0,1,1,0,46,44,12,0,0,0,1,1,155
,050A084,12,8,35,0,1,2,15,0,0,1,0,41,76,26,3,0,5,1,1,227
,050A085,1,0,15,14,93,0,4,0,1,0,0,7,0,18,0,0,0,3,1,157
,050A086,2,0,26,9,51,1,6,0,0,1,0,11,10,20,1,0,1,1,1,141
,050A087,1,0,16,13,75,0,2,0,1,0,0,3,0,21,0,0,0,1,0,133
,050A088,11,25,59,1,5,2,25,8,1,6,0,79,70,30,0,0,4,11,1,338
,050A089,8,29,36,1,1,3,50,4,1,8,0,42,146,31,5,0,18,7,0,390
,050A090,5,21,19,0,1,0,63,0,0,15,2,31,126,17,7,1,16,4,3,331
,050A091,7,34,38,0,3,0,38,1,0,7,0,29,111,13,2,0,16,7,4,310
,050A092,10,27,56,0,0,1,40,3,1,13,0,110,93,25,1,0,13,1,3,397
,050A093,0,2,7,0,2,0,32,1,0,1,12,18,11,23,0,0,0,18,1,128
,050A094,23,14,83,6,6,13,9,11,0,13,1,88,64,73,0,4,8,4,2,422
,050A095,9,9,85,7,12,15,4,17,0,12,3,97,57,78,1,2,14,2,2,426
,050A096,15,10,92,1,7,7,4,21,3,5,3,73,30,58,1,1,1,4,4,340
,050A097,9,17,74,2,8,20,3,13,1,3,2,82,38,63,1,1,4,4,1,346
,050A098,15,10,100,7,8,20,2,20,1,8,2,77,41,81,0,2,7,2,9,412
,050A099,21,13,91,4,7,14,4,8,4,6,2,83,53,67,2,1,6,4,2,392
,050A100,4,2,36,1,0,1,4,7,0,3,2,49,19,17,1,0,3,1,2,152
,050A101,8,10,133,8,7,10,7,15,6,7,1,71,65,47,0,2,4,10,0,411
,050A102,8,15,70,2,13,2,2,5,5,7,0,46,78,38,2,0,7,0,4,304
,050A103,8,21,77,10,6,14,7,15,0,13,4,107,59,65,1,2,6,5,2,422
,050A104,7,16,62,11,25,7,6,3,0,7,1,54,61,35,2,1,8,7,2,315
,050A105,10,30,94,0,0,3,3,3,6,5,1,117,118,18,0,1,4,7,2,422
,050A106A,4,9,71,1,0,4,3,8,1,9,0,58,44,33,0,0,6,8,4,263
,050A106B,5,5,50,0,4,9,3,9,5,10,1,82,54,36,3,2,3,1,0,282
,050A107,13,32,81,3,1,4,3,5,4,11,0,105,77,27,0,7,9,3,3,388
,050A108,15,11,64,3,6,4,6,4,5,6,1,70,43,45,2,0,3,9,1,298
,050A109,13,17,81,2,2,5,5,2,3,1,0,81,71,37,0,2,4,8,0,334
,050A110,4,6,94,2,6,4,2,8,1,4,1,107,52,47,2,0,2,5,1,348
