,BM,BOSS - BOSANSKA STRANKA-MIRNES AJANOVIĆ,BPS-SEFER HALILOVIĆ,DEMOKRATSKA FRONTA-ŽELJKO KOMŠIĆ,HDZ 1990 HRVATSKA DEMOKRATSKA ZAJEDNICA,"HDZ BIH, HSS, HKDU BIH, HSP DR.ANTE STARČEVIĆ, HSP HERCEG-BOSNE",KOMUNISTIČKA PARTIJA,LABURISTIČKA STRANKA BOSNE I HERCEGOVINE LABURISTI BIH,NARODNA STRANKA RADOM ZA BOLJITAK,NAŠA STRANKA,NOVI POKRET BIH,PRVA STRANKA,SAVEZ NEZAVISNIH SOCIJALDEMOKRATA - SNSD - MILORAD DODIK,SBB - FAHRUDIN RADONČIĆ,SDA - STRANKA DEMOKRATSKE AKCIJE,SDP-SOCIJALDEMOKRATSKA PARTIJA BIH,SDS-SRPSKA DEMOKRATSKA STRANKA,SNAGA BIH - HSP BIH-DSI,STRANKA DIJASPORE BOSNE I HERCEGOVINE,STRANKA ZA BOSNU I HERCEGOVINU,UNIJA SOCIJALDEMOKRATA-UNIJA ZA SVE NAS,ZAJEDNO ZA PROMJENE (SPP-SP/U-SDU-DNZ-LDS),Ukupno
,139A026,1,7,88,4,6,1,0,0,42,1,0,0,71,52,28,0,2,0,5,2,8,318
,139A027,1,11,85,4,4,10,0,1,30,1,0,3,66,56,24,0,2,1,10,7,5,321
,139A028,2,8,82,5,12,3,0,1,40,1,0,0,74,79,55,0,0,3,13,7,6,391
,139A029,8,23,69,0,0,1,0,0,14,9,0,5,90,92,8,1,2,1,12,4,3,342
,139A030,2,19,71,6,5,0,0,6,31,1,0,4,82,83,22,1,1,3,6,0,2,345
,139A031,1,7,91,5,4,4,0,0,69,8,3,5,62,62,43,1,3,3,6,3,5,385
,139A032,1,18,76,6,3,7,0,1,27,2,2,12,75,52,17,0,1,1,6,3,6,316
,139A033,0,10,73,3,6,5,0,0,57,0,2,2,89,69,41,0,0,0,11,2,8,378
,139A034,2,6,80,11,7,5,0,1,27,2,2,2,65,57,27,3,1,1,5,5,7,316
,139A035,0,13,87,10,9,2,1,1,42,2,1,2,91,58,30,1,0,4,12,2,6,374
,139A036,0,13,90,8,4,2,0,6,33,1,0,3,93,58,22,1,4,3,8,7,4,360
,139A037,3,15,121,3,9,5,0,2,42,2,0,0,80,51,29,0,0,2,6,2,2,374
,139A038,1,6,126,8,8,4,0,0,46,0,0,4,58,45,26,3,1,3,6,1,8,354
,139A039,2,12,90,5,6,3,0,3,43,2,2,6,73,71,32,6,0,1,10,0,8,375
,139A040,4,8,66,6,5,7,0,0,36,2,0,8,68,66,32,2,2,2,2,1,9,326
,139A041,3,5,78,6,5,5,0,0,54,3,1,3,76,69,39,0,2,1,10,1,3,364
,139A042,3,10,88,9,6,5,0,5,29,6,1,2,59,66,26,2,1,0,8,0,8,334
,139A043,1,11,122,3,18,3,0,3,32,0,0,4,39,38,25,0,1,2,8,2,6,318
,139A044,3,5,109,5,7,5,0,0,46,0,1,2,49,44,38,1,3,0,4,1,19,342
