,BM,A-SDA STRANKA DEMOKRATSKE AKTIVNOSTI,BOSS - BOSANSKA STRANKA-MIRNES AJANOVIĆ,BPS-SEFER HALILOVIĆ,DEMOKRATSKA FRONTA-ŽELJKO KOMŠIĆ,HDZ 1990 HRVATSKA DEMOKRATSKA ZAJEDNICA,"HDZ BIH, HSS, HKDU BIH, HSP DR.ANTE STARČEVIĆ, HSP HERCEG-BOSNE",HRVATSKI SAVEZ HKDU - HRAST,KOMUNISTIČKA PARTIJA,NARODNA STRANKA RADOM ZA BOLJITAK,NOVI POKRET BIH,PRVA STRANKA,SBB - FAHRUDIN RADONČIĆ,SDA - STRANKA DEMOKRATSKE AKCIJE,SDP-SOCIJALDEMOKRATSKA PARTIJA BIH,SNAGA BIH - HSP BIH-DSI,STRANKA DIJASPORE BOSNE I HERCEGOVINE,STRANKA ZA BOSNU I HERCEGOVINU,UNIJA SOCIJALDEMOKRATA-UNIJA ZA SVE NAS,ZAJEDNO ZA PROMJENE (SPP-SP/U-SDU-DNZ-LDS),Ukupno
,091A047,1,0,0,7,0,0,0,0,0,0,0,6,67,0,0,0,80,0,1,162
,091A048,9,0,16,9,0,0,0,0,0,0,0,47,292,30,0,1,32,0,5,441
,091A049,4,1,11,24,0,0,0,0,7,0,0,65,224,38,0,1,102,0,3,480
,091A050,5,1,2,33,1,0,0,0,4,0,0,120,237,16,0,0,57,0,2,478
,091A051,5,0,13,63,11,18,0,0,1,1,0,125,131,30,2,1,10,0,9,420
,091A052,4,1,13,47,16,63,0,1,0,9,0,76,98,39,1,0,3,0,2,373
,091A053,2,0,26,29,5,8,0,1,1,3,0,57,79,37,0,1,1,0,2,252
,091A054,2,0,13,42,42,114,0,1,10,1,0,31,67,1,2,2,5,0,0,333
,091A055,13,3,11,27,1,5,0,0,5,0,0,19,312,9,0,0,18,0,2,425
,091A056,10,2,10,49,18,51,0,0,4,0,0,78,60,31,0,1,10,1,5,330
,091A057,9,0,7,3,1,1,0,0,0,0,0,45,124,13,0,0,5,0,0,208
,091A058,8,1,7,20,0,0,0,1,0,0,0,47,298,10,2,0,3,0,2,399
,091A059,11,1,8,63,16,24,0,2,1,0,0,88,72,48,0,0,6,0,2,342
,091A060,1,2,14,36,55,55,1,1,1,1,1,31,57,22,3,0,4,0,2,287
,091A061,5,2,8,30,1,4,0,0,2,0,3,43,42,10,0,0,2,1,7,160
,091A062,3,0,2,4,15,134,0,0,0,0,0,7,33,5,2,0,0,0,1,206
,091A063,7,1,2,12,10,35,0,0,2,0,5,38,36,3,3,0,0,0,0,154
,091A064,10,0,12,13,0,0,0,0,1,1,0,28,134,44,0,0,14,0,1,258
,091A065,3,0,8,24,0,5,0,0,0,4,0,26,90,21,1,0,1,0,3,186
,091A066,3,2,2,39,13,9,0,0,1,4,0,45,62,14,0,0,8,0,1,203
,091A067,1,0,9,70,20,16,0,1,6,3,0,71,59,33,1,0,4,3,2,299
,091A068,0,0,0,3,22,95,1,1,0,0,0,0,0,7,1,0,1,0,0,131
,109A000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,109A001,4,1,13,83,20,29,0,0,1,0,0,67,151,138,0,0,6,2,1,516
,109A002,9,0,13,61,7,16,0,0,0,0,0,49,99,101,1,1,7,2,2,368
,109A003,2,2,11,31,17,39,1,0,1,0,1,46,43,45,3,0,2,4,3,251
,109A004,0,0,11,65,6,31,0,1,1,2,0,35,72,72,0,0,0,1,5,302
,109A005,1,2,12,58,4,26,0,1,0,3,0,60,72,90,1,1,2,2,3,338
,109A006,6,0,11,40,6,22,0,1,2,0,2,69,72,109,0,0,4,2,3,349
,109A007,7,3,10,47,3,3,1,0,0,0,1,54,64,119,0,0,0,8,1,321
,109A008,3,0,5,43,7,17,0,0,1,0,1,40,96,58,1,0,4,1,3,280
