,BM,BOSS - BOSANSKA STRANKA-MIRNES AJANOVIĆ,BPS-SEFER HALILOVIĆ,DEMOKRATSKA FRONTA-ŽELJKO KOMŠIĆ,HDZ 1990 HRVATSKA DEMOKRATSKA ZAJEDNICA,"HDZ BIH, HSS, HKDU BIH, HSP DR.ANTE STARČEVIĆ, HSP HERCEG-BOSNE",KOMUNISTIČKA PARTIJA,NARODNA STRANKA RADOM ZA BOLJITAK,NAŠA STRANKA,NOVI POKRET BIH,PRVA STRANKA,SAVEZ NEZAVISNIH SOCIJALDEMOKRATA - SNSD - MILORAD DODIK,SBB - FAHRUDIN RADONČIĆ,SDA - STRANKA DEMOKRATSKE AKCIJE,SDP-SOCIJALDEMOKRATSKA PARTIJA BIH,SNAGA BIH - HSP BIH-DSI,"STRANKA ""NOVA SRPSKA"" - NS",STRANKA DIJASPORE BOSNE I HERCEGOVINE,STRANKA ZA BOSNU I HERCEGOVINU,UNIJA SOCIJALDEMOKRATA-UNIJA ZA SVE NAS,ZAJEDNO ZA PROMJENE (SPP-SP/U-SDU-DNZ-LDS),Ukupno
,131A074,1,40,74,4,3,2,9,5,0,0,0,114,104,7,2,0,0,0,1,2,368
,131A075,0,18,93,6,7,0,9,28,0,0,0,79,130,40,2,0,2,3,1,3,421
,131A076,8,20,87,5,2,1,2,5,0,0,0,85,183,14,0,0,2,10,1,4,429
,131A077,2,10,60,13,23,0,4,4,1,0,1,63,77,22,4,0,2,7,1,7,301
,131A078,0,20,65,30,31,0,3,8,0,0,0,77,58,16,0,0,4,1,1,1,315
,131A079,5,9,51,14,28,2,5,10,2,0,1,35,62,30,1,2,1,0,3,3,264
,131A080,8,14,92,15,33,4,1,15,1,0,1,62,110,12,4,0,2,9,4,4,391
,131A081,2,18,83,9,2,2,12,16,1,0,3,70,66,25,1,0,1,3,6,7,327
,131A082,4,24,79,8,3,1,3,30,6,0,0,66,165,34,3,0,1,4,5,9,445
,131A083,1,33,67,11,13,4,6,12,2,0,1,81,91,17,5,0,0,14,6,3,367
,131A084,1,15,66,2,3,4,6,18,1,0,1,77,67,20,3,0,1,5,2,2,294
,131A085,1,10,31,5,1,0,8,17,0,1,0,41,77,8,1,0,3,1,0,2,207
,131A086,3,17,56,0,2,1,2,4,1,0,2,46,129,12,3,0,6,2,0,3,289
,131A087,2,17,43,1,3,5,8,11,0,0,0,54,124,13,0,0,2,4,6,15,308
,131A088,3,17,65,7,14,0,5,18,1,0,4,67,63,23,1,0,3,4,5,2,302
,131A089,0,13,55,11,16,6,3,12,0,0,2,69,53,7,3,0,4,2,1,4,261
,131A090,6,28,83,1,6,3,4,14,0,1,0,83,90,16,2,0,3,6,2,2,350
,131A091,6,8,47,1,1,1,3,9,0,0,1,65,73,21,2,0,3,6,3,5,255
,133A000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,133A001,0,13,100,1,14,4,1,47,0,0,6,61,46,42,1,1,1,1,3,5,347
,133A002,4,14,85,9,10,3,6,44,1,0,8,71,46,41,1,2,2,4,2,3,356
,133A003,4,7,82,4,4,5,0,28,4,0,4,72,99,46,3,0,1,0,3,7,373
,133A004,1,12,76,1,3,8,3,38,0,0,1,58,45,30,4,0,5,1,0,10,296
,133A005,5,17,86,6,4,0,10,13,0,0,3,76,59,29,6,1,0,2,4,8,329
,133A006,5,27,75,4,1,2,11,9,1,0,0,96,120,26,1,0,3,9,4,2,396
,133A007,11,16,79,0,0,2,9,9,0,1,0,66,135,28,3,0,1,10,1,12,383
,133A008,0,8,85,1,0,2,1,16,1,0,2,85,75,24,0,1,0,2,1,8,312
,133A009,1,19,70,0,0,0,1,2,1,1,0,65,109,16,0,0,3,9,4,1,302
,133A010,4,16,90,2,6,4,5,32,0,1,2,73,54,22,1,1,1,2,5,9,330
,133A011,1,18,81,6,3,3,5,30,2,1,2,85,64,24,3,4,0,9,6,5,352
,133A012,6,13,94,5,0,3,0,28,0,1,4,71,47,32,3,0,2,7,2,5,323
,133A013,1,15,109,2,2,4,2,25,4,0,1,66,65,34,0,0,1,6,7,3,347
,133A014,4,19,107,3,1,5,1,20,1,1,2,63,58,18,2,0,2,4,3,9,323
,133A015,4,14,80,8,4,4,1,39,0,0,1,64,56,55,0,0,2,6,7,3,348
,133A016,5,11,102,6,1,5,7,29,0,2,4,63,55,38,2,1,1,6,1,7,346
,133A017,4,8,99,4,2,4,2,78,2,0,7,85,42,44,2,0,5,7,10,3,408
,133A018,1,9,95,5,12,2,6,38,0,0,6,65,57,17,0,0,1,4,2,4,324
,133A019,6,13,101,5,7,2,0,15,0,3,1,92,79,26,6,1,2,7,7,3,376
,133A020,5,14,89,1,4,7,5,14,1,1,1,90,78,26,3,0,4,3,4,2,352
,133A021,1,23,91,5,2,2,0,13,0,0,2,76,121,17,1,1,2,3,4,3,367
,133A022,3,14,87,4,3,5,2,14,0,2,3,95,49,18,4,0,1,2,3,3,312
,133A023,5,22,66,2,6,2,0,15,1,1,2,77,69,32,4,1,4,2,3,3,317
,133A024,6,20,65,0,0,2,3,5,1,0,0,116,181,35,1,0,1,3,2,2,443
,133A025,8,31,57,0,0,1,5,4,0,0,0,120,99,13,2,0,3,5,9,7,364
,133A026,1,11,59,2,7,1,9,10,3,0,1,93,122,25,2,1,3,5,3,8,366
,133A027,4,47,75,0,5,1,9,7,0,0,2,120,149,16,3,0,1,2,2,5,448
,133A028,4,37,57,1,0,1,2,10,0,0,0,109,107,14,1,0,3,4,6,2,358
,133A029,5,24,58,0,0,2,10,14,3,0,0,92,151,22,1,0,3,8,2,3,398
,133A030,8,29,64,1,1,0,6,9,0,0,0,94,157,21,2,0,3,3,0,14,412
,133A031,3,26,94,2,10,4,2,20,2,0,0,109,60,35,1,0,5,5,4,7,389
,133A032,5,12,63,5,2,3,4,26,0,0,4,82,68,32,0,0,0,10,6,13,335
,133A033,8,12,88,3,5,3,2,30,1,0,2,80,68,22,2,1,2,1,4,6,340
,133A034,2,17,104,13,7,7,4,26,1,0,4,102,63,24,0,4,9,2,0,4,393
,133A035,5,11,95,6,10,17,3,27,0,0,2,91,47,38,2,2,5,6,3,6,376
,133A036,6,11,84,5,6,9,2,26,0,1,5,80,63,20,3,0,1,2,9,3,336
,133A037,3,23,76,3,6,4,4,22,0,1,2,82,54,24,3,0,2,5,6,5,325
,133A038,4,21,68,4,4,3,5,25,0,0,6,99,76,40,2,0,3,6,2,2,370
,133A039,1,15,70,3,8,2,3,27,1,1,1,87,92,37,1,0,0,6,6,4,365
,133A040,4,15,76,4,4,5,8,10,1,1,2,95,81,16,4,0,5,2,3,14,350
,133A041,3,16,72,1,4,3,3,22,0,1,6,98,81,21,3,0,2,0,4,4,344
,133A042,6,19,91,3,11,3,10,23,0,2,2,68,82,31,0,3,2,5,4,4,369
,133A043,3,15,79,1,1,4,4,25,2,2,2,66,81,21,2,0,2,2,3,4,319
