,BM,BORCI ZA NOVU POLITIKU,BOSS - BOSANSKA STRANKA-MIRNES AJANOVIĆ,DEVIĆ SLOBODAN,DNS-DEMOKRATSKI NARODNI SAVEZ - NS - SRS,DOMOVINA,HDZ 1990 HRVATSKA DEMOKRATSKA ZAJEDNICA,"HDZ BIH, HSS, HKDU BIH, HSP HERCEG BOSNE",KOMUNISTIČKA PARTIJA,NARODNI DEMOKRATSKI POKRET,PDP- PARTIJA DEMOKRATSKOG PROGRESA,SAVEZ NEZAVISNIH SOCIJALDEMOKRATA - SNSD - MILORAD DODIK,SDP-SOCIJALDEMOKRATSKA PARTIJA BIH,SELJAČKA STRANKA,SNAGA NARODA,SOCIJALISTIČKA PARTIJA,SRPSKA DEMOKRATSKA STRANKA-SDS/PENZIONERI-PUP/RADIKALI-SRS RS,SRPSKA NAPREDNA STRANKA - SNS,STRANKA PRAVEDNE POLITIKE,TADIĆ ALEKSANDAR,UNIJA SOCIJALDEMOKRATA-UNIJA ZA SVE NAS,VUKOVIĆ SLAVKO,ZA PRAVDU I RED-LISTA NEBOJŠE VUKANOVIĆA,ZAJEDNO ZA PROMJENE (SPP-SDU-DNZ-LDS),Ukupno
,045B002,3,1,12,35,0,0,0,1,19,4,122,1,0,1,14,148,2,0,0,0,1,15,0,379
,045B003A,1,0,14,57,0,0,0,0,15,11,87,0,1,1,25,88,3,1,0,1,0,14,0,319
,045B003B,2,0,12,81,0,0,0,0,15,18,98,1,0,1,21,72,5,0,0,0,0,4,1,331
,045B003C,1,0,9,59,0,1,0,0,21,17,48,0,0,0,17,88,8,0,2,0,0,3,0,274
,045B005,18,1,7,120,0,0,0,1,4,3,155,0,5,1,20,203,14,0,3,0,0,6,1,562
,045B006,3,0,10,69,1,0,0,0,15,4,73,2,2,2,86,79,35,0,0,0,0,3,0,384
,045B007,0,0,7,50,0,0,1,0,2,1,113,0,0,0,5,107,1,0,0,0,0,0,0,287
,045B008,0,0,1,9,0,0,0,0,17,2,25,0,0,1,7,24,0,0,0,0,1,2,0,89
,045B009,0,0,0,4,0,0,0,0,5,0,12,0,0,0,3,23,0,0,0,0,0,15,0,62
,045B010,4,0,8,81,0,0,0,0,41,5,103,3,0,2,18,98,5,6,0,0,1,31,0,406
,074B000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,074B001,0,3,1,17,2,1,1,1,37,21,101,12,0,2,13,62,2,4,1,0,0,6,0,287
,074B002A,0,1,3,18,1,0,1,0,78,34,175,0,0,0,22,106,0,6,0,0,0,4,0,449
,074B002B,0,1,0,10,3,0,1,4,60,12,136,3,0,0,8,83,5,0,0,0,0,1,0,327
,074B003,1,0,0,13,3,0,1,1,71,23,115,11,0,0,11,66,4,4,0,0,1,4,0,329
,074B004,1,1,2,34,8,1,2,3,96,18,149,12,0,0,19,74,3,10,0,0,1,9,0,443
,074B005,1,2,0,12,2,0,1,4,75,19,150,13,0,2,27,70,8,2,1,0,4,1,1,395
,074B006,3,0,0,23,21,1,1,2,58,20,159,30,0,1,17,93,3,1,3,0,0,3,1,440
