,BM,BORCI ZA NOVU POLITIKU,DNS-DEMOKRATSKI NARODNI SAVEZ - NS - SRS,DOMOVINA,HDZ 1990 HRVATSKA DEMOKRATSKA ZAJEDNICA,"HDZ BIH, HSS, HKDU BIH, HSP HERCEG BOSNE",KOMUNISTIČKA PARTIJA,NARODNI DEMOKRATSKI POKRET,PARTIJA EKONOMSKE I SOCIJALNE PRAVDE,PDP- PARTIJA DEMOKRATSKOG PROGRESA,PRVA STRANKA,SAVEZ NEZAVISNIH SOCIJALDEMOKRATA - SNSD - MILORAD DODIK,SDP-SOCIJALDEMOKRATSKA PARTIJA BIH,SELJAČKA STRANKA,SLOŽNA NARODNA STRANKA,SNAGA NARODA,SOCIJALISTIČKA PARTIJA,SRPSKA DEMOKRATSKA STRANKA-SDS/PENZIONERI-PUP/RADIKALI-SRS RS,SRPSKA NAPREDNA STRANKA - SNS,STRANKA PRAVEDNE POLITIKE,UNIJA SOCIJALDEMOKRATA-UNIJA ZA SVE NAS,ZA PRAVDU I RED-LISTA NEBOJŠE VUKANOVIĆA,ZAJEDNO ZA PROMJENE (SPP-SDU-DNZ-LDS),Ukupno
,034B100,3,19,2,1,1,10,13,0,11,0,128,0,2,0,0,24,49,16,21,0,7,0,307
,034B101,5,41,2,1,0,2,39,4,29,0,161,1,0,1,4,24,113,10,8,0,13,1,459
,034B102,2,24,4,0,2,11,53,0,29,0,163,2,1,0,2,43,94,9,4,1,9,2,455
,034B103,7,26,2,0,0,3,35,0,17,0,165,1,0,0,3,24,95,17,8,0,5,1,409
,034B104,6,14,0,0,0,0,42,1,15,0,159,2,0,0,9,36,83,13,9,0,7,2,398
,034B105,0,33,1,0,0,1,54,3,14,0,125,2,3,0,2,23,82,28,7,0,8,0,386
,034B106,1,25,0,0,0,5,36,0,23,0,138,0,1,0,1,31,102,18,2,0,7,2,392
,034B107,0,31,0,0,0,0,40,1,19,1,143,2,0,2,3,23,94,7,4,0,5,3,378
,034B108,7,36,1,0,1,1,51,6,18,1,192,2,2,1,1,21,78,11,5,0,4,0,439
,034B109,5,22,3,0,0,2,39,3,22,0,150,0,1,0,1,43,87,7,14,0,15,1,415
,034B110,0,36,1,0,0,1,39,2,32,0,158,1,4,0,0,22,107,9,11,0,18,0,441
,034B111,1,17,2,1,2,4,20,2,21,0,165,1,1,0,2,20,103,8,12,0,13,1,396
,034B112,3,19,2,0,1,2,19,1,28,0,162,0,0,0,2,31,88,13,12,0,17,1,401
,034B113,4,25,1,0,0,1,46,1,34,0,152,1,1,0,4,56,104,10,20,0,11,1,472
,034B114,16,31,0,0,0,1,27,3,27,2,178,0,1,0,2,45,78,7,15,0,2,1,436
,034B115,11,35,1,0,0,3,31,1,28,0,187,0,1,2,4,21,69,13,6,0,9,0,422
,034B116,1,18,0,0,0,1,19,1,30,0,141,0,0,1,2,68,90,3,11,0,11,0,397
,034B117,0,7,1,0,0,1,3,0,15,0,194,1,0,0,0,8,32,2,2,0,1,0,267
,034B118A,2,21,0,0,6,0,31,1,8,0,73,0,0,0,0,32,137,7,0,0,3,0,321
,034B118B,5,37,1,3,2,2,24,0,13,0,53,0,0,0,0,34,124,8,3,0,5,1,315
,034B119A,3,32,0,1,1,0,42,2,32,1,128,0,0,0,1,37,116,5,4,0,2,0,407
,034B119B,0,27,0,0,0,2,20,3,17,0,80,3,1,1,2,14,96,1,6,0,0,1,274
,034B120,4,28,1,0,1,3,28,0,20,1,143,2,0,2,5,21,69,2,17,0,7,0,354
,034B121,2,11,3,0,1,1,13,0,23,1,140,2,1,0,1,22,47,7,15,0,8,1,299
,034B122,17,18,1,1,1,3,30,1,37,2,153,1,1,2,4,21,56,16,17,0,6,0,388
,034B123,4,24,4,0,3,3,34,0,30,1,129,3,4,0,2,21,61,10,13,0,6,0,352
,034B124,6,21,3,1,3,2,23,1,25,1,117,1,1,2,0,17,76,8,13,0,19,1,341
,034B125,6,36,2,0,0,5,16,0,24,2,156,1,0,0,2,27,79,13,5,0,14,1,389
,034B126,4,37,7,0,1,2,16,0,36,0,152,9,1,0,0,20,99,14,7,0,16,0,421
,034B127,4,24,6,1,2,3,19,1,33,0,157,4,6,0,0,26,88,10,16,0,16,0,416
,034B128,2,45,3,0,0,0,14,0,48,0,128,3,0,2,2,21,55,7,8,0,38,3,379
,034B129,2,26,3,0,0,4,36,4,33,0,169,1,0,0,3,25,99,7,3,0,13,4,432
,034B130,6,17,6,0,3,4,21,0,21,0,144,3,3,0,2,26,87,12,8,0,17,2,382
,034B131,3,14,10,1,3,6,18,0,33,1,111,3,0,0,4,28,51,5,11,0,18,2,322
,034B132,1,16,8,0,2,2,35,2,42,0,155,3,2,1,1,29,72,7,3,0,14,3,398
,034B133,3,14,5,2,2,1,20,0,50,0,127,4,1,0,1,28,80,12,18,0,14,3,385
,034B134,2,32,7,0,0,3,32,0,46,0,156,3,0,0,0,35,114,18,9,0,13,0,470
,034B135,4,20,7,1,4,6,19,2,17,0,146,0,1,0,0,17,79,3,9,0,10,1,346
,034B136,1,20,9,1,0,3,17,2,19,1,136,1,2,1,1,19,79,5,11,0,15,0,343
,034B137,6,37,9,0,2,5,22,1,21,0,122,2,2,0,3,22,69,16,13,0,24,0,376
,034B138,3,29,9,0,4,4,22,0,33,0,142,7,1,2,3,37,98,15,6,0,20,1,436
,034B139,5,15,30,1,1,2,19,0,39,1,122,3,0,0,0,16,75,5,4,0,6,0,344
,034B140,2,15,9,0,3,4,8,8,20,0,116,2,0,0,2,22,69,9,7,0,8,2,306
,034B141,2,29,6,0,3,0,24,3,33,0,117,1,0,0,2,20,93,9,26,0,10,2,380
,034B142,6,22,18,0,1,2,23,1,16,2,167,1,1,1,2,18,66,13,15,0,12,0,387
,034B143,3,20,21,0,1,1,18,0,14,0,122,2,1,0,4,17,67,3,5,0,13,0,312
,034B144,4,33,5,2,0,1,31,0,36,1,139,4,2,0,6,32,72,3,19,0,11,1,402
,034B145,4,30,10,0,0,1,21,2,31,1,130,4,2,0,1,18,82,1,8,0,10,0,356
,034B146,4,19,9,0,2,3,23,3,19,5,143,4,1,0,2,22,77,15,14,0,14,1,380
,034B147,0,10,28,0,1,4,16,3,18,0,127,5,0,0,2,20,87,3,9,0,29,1,363
,034B148,8,12,29,0,2,2,16,1,13,0,121,3,1,3,1,19,64,10,7,0,14,3,329
,034B149,1,5,0,0,0,0,0,0,19,0,97,0,0,0,2,2,29,0,0,0,0,0,155
,034B150,0,8,0,0,0,0,0,0,3,0,50,0,0,0,2,3,18,0,0,0,0,0,84
,034B151,2,4,0,0,0,0,0,0,3,0,10,0,0,0,0,1,10,0,1,0,0,0,31
,034B152,3,46,6,0,2,2,25,2,30,0,152,0,1,0,7,27,90,38,17,0,11,1,460
,034B153,4,33,4,0,0,2,41,2,49,0,133,1,2,0,0,22,81,10,11,0,7,2,404
,034B154,2,28,0,0,2,2,32,1,30,0,150,0,0,0,0,17,99,17,15,0,11,0,406
,034B155,1,25,17,0,0,1,18,1,26,0,166,0,0,0,1,13,83,10,3,0,13,1,379
,034B156,26,33,0,0,1,5,13,1,29,0,138,2,1,0,6,27,97,9,9,0,12,0,409
,034B157,0,30,0,1,0,2,41,0,30,0,173,0,2,0,3,18,97,11,20,1,10,2,441
,034B158,3,29,0,0,2,1,41,5,43,0,162,0,1,0,1,22,109,4,8,0,9,0,440
,034B159,3,29,5,0,0,4,23,0,35,0,165,1,0,4,3,17,85,9,12,0,9,1,405
