,BM,BORCI ZA NOVU POLITIKU,BPS-SEFER HALILOVIĆ,DEMOKRATSKA STRANKA INVALIDA BOSNE I HERCEGOVINE,DEURIĆ ĐORĐE,DNS-DEMOKRATSKI NARODNI SAVEZ - NS - SRS,DOMOVINA,HDZ 1990 HRVATSKA DEMOKRATSKA ZAJEDNICA,NARODNI DEMOKRATSKI POKRET,PDP- PARTIJA DEMOKRATSKOG PROGRESA,SAVEZ NEZAVISNIH SOCIJALDEMOKRATA - SNSD - MILORAD DODIK,SDP-SOCIJALDEMOKRATSKA PARTIJA BIH,SELJAČKA STRANKA,SLOŽNA NARODNA STRANKA,SNAGA NARODA,SOCIJALISTIČKA PARTIJA,SRPSKA DEMOKRATSKA STRANKA-SDS/PENZIONERI-PUP/RADIKALI-SRS RS,SRPSKA NAPREDNA STRANKA - SNS,STRANKA PRAVEDNE POLITIKE,ZA PRAVDU I RED-LISTA NEBOJŠE VUKANOVIĆA,ZAJEDNO ZA PROMJENE (SPP-SDU-DNZ-LDS),Ukupno
,083B046,0,0,0,0,31,0,0,0,3,213,0,0,0,1,14,17,30,1,0,0,310
,083B047,0,23,0,0,4,69,0,0,1,2,6,0,0,0,5,3,1,0,0,0,114
,083B048,0,0,0,0,29,2,0,20,21,26,0,0,0,0,4,57,2,2,1,0,164
,083B049,0,0,0,1,37,0,0,13,12,160,0,0,0,0,14,30,17,10,0,0,294
,083B050A,0,0,0,0,10,0,0,1,32,233,0,0,0,0,14,54,4,2,0,0,350
,083B050B,0,0,0,0,14,0,0,0,12,228,0,0,0,0,16,53,1,0,0,0,324
,083B051,0,0,0,0,41,0,0,1,20,278,0,0,0,0,20,111,17,5,0,0,493
,083B052,1,0,0,0,234,0,0,0,21,151,0,0,0,0,51,56,2,3,0,0,519
,083B053A,0,0,0,0,63,0,0,1,7,137,0,0,0,0,25,48,0,15,0,0,296
,083B053B,0,0,0,0,55,0,0,7,6,182,0,0,0,0,13,66,3,0,0,0,332
,083B054,0,0,0,0,0,101,0,1,7,34,0,0,0,0,1,19,0,0,0,0,163
,083B055,0,6,0,0,0,21,0,0,0,0,0,0,0,0,26,0,0,0,0,0,53
,083B056A,0,5,0,1,1,171,0,0,0,5,9,0,0,0,13,7,1,0,0,1,214
,083B056B,0,12,0,0,2,116,0,2,8,16,25,2,0,0,18,26,3,0,0,2,232
,083B057,0,20,0,0,0,133,0,0,0,2,0,0,0,0,8,0,0,0,0,0,163
,083B058,0,0,0,0,4,1,0,40,3,47,0,0,0,0,12,26,11,0,0,0,144
,083B059,0,4,0,0,0,149,0,0,0,0,2,0,0,0,11,0,0,2,0,0,168
,083B060A,0,0,0,0,82,0,0,3,12,124,1,1,1,0,27,265,13,8,0,1,538
,083B060B,0,0,0,0,66,0,0,1,9,85,0,2,0,0,15,186,20,2,0,0,386
,083B060C,0,0,0,0,49,0,0,2,18,103,0,0,0,2,19,135,6,6,3,0,343
,083B061,1,0,0,0,29,0,0,3,6,51,0,0,0,0,9,86,7,3,0,0,195
,083B062A,1,1,0,0,35,0,0,9,16,153,0,0,0,1,60,339,22,3,1,0,641
,083B062B,0,0,0,0,23,0,0,5,13,81,0,1,0,0,25,134,2,4,0,0,288
,083B063A,0,0,0,0,12,0,0,5,5,46,0,0,0,0,18,270,6,4,0,0,366
,083B063B,0,0,0,0,7,0,0,0,8,37,0,0,0,0,18,414,10,7,0,0,501
,083B064,0,0,0,0,25,1,0,9,4,67,0,0,0,0,59,70,98,5,2,0,340
,083B065,0,0,0,0,31,3,0,7,22,89,0,0,0,0,37,117,21,3,3,0,333
,083B066,0,3,0,1,17,3,0,21,37,84,5,1,0,0,60,106,9,7,3,0,357
,083B067,0,0,0,0,4,3,0,4,9,44,0,0,0,1,27,50,3,1,2,0,148
,101B000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,101B001,0,0,0,0,18,0,0,4,61,111,0,0,0,0,16,128,2,0,0,0,340
,101B002,0,0,0,0,45,0,0,10,57,176,0,0,0,0,16,68,2,0,0,0,374
,101B003,0,0,0,0,38,0,0,5,73,120,0,0,0,0,3,86,0,0,0,0,325
,101B004,0,0,0,0,20,0,0,9,31,79,0,0,0,0,8,84,1,1,0,0,233
,101B005,0,0,0,0,12,0,0,0,37,90,0,0,0,0,5,37,0,0,0,0,181
,101B006,0,0,0,0,13,0,0,0,34,98,0,0,0,0,2,61,1,0,0,0,209
,101B007,0,0,0,0,5,0,0,1,15,29,0,0,0,0,3,40,0,0,0,0,93
,101B008,0,0,0,0,11,0,0,0,44,52,0,0,0,0,18,104,3,1,0,0,233
,101B009,0,2,0,0,29,0,0,2,92,112,1,0,0,0,21,65,2,0,0,0,326
,101B010,0,0,0,0,17,0,0,1,54,73,0,0,0,0,18,59,2,0,0,0,224
,101B011,0,0,0,0,7,0,0,4,58,58,0,0,0,0,4,89,1,0,0,0,221
,101B012,0,0,0,0,2,0,0,0,12,7,0,0,0,0,1,10,0,0,0,0,32
,101B013,0,0,0,0,1,0,0,0,23,58,0,0,0,0,0,3,0,0,0,0,85
,101B014,0,0,0,0,27,0,0,5,29,130,0,0,0,1,15,147,1,0,0,0,355
,101B015,0,0,0,0,7,0,0,2,72,109,0,0,0,0,8,74,0,0,1,0,273
,101B016,0,0,0,0,1,0,0,0,13,79,0,0,0,0,24,34,0,1,0,0,152
,101B017,0,0,1,0,41,1,0,5,80,142,0,0,0,0,17,141,0,0,0,0,428
,101B018,0,0,0,0,28,0,0,2,39,109,0,0,0,0,18,72,0,0,1,0,269
,103B000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,103B001,0,0,0,0,10,8,0,3,20,142,0,0,0,0,28,152,11,0,1,0,375
,103B002,1,0,0,1,14,0,0,4,27,191,0,0,0,0,33,194,3,0,7,0,475
,103B003,1,0,0,1,4,9,0,5,24,182,1,0,0,1,47,228,10,1,4,0,518
