,BM,A-SDA STRANKA DEMOKRATSKE AKTIVNOSTI,BOSS - BOSANSKA STRANKA-MIRNES AJANOVIĆ,BPS-SEFER HALILOVIĆ,DEMOKRATSKA FRONTA-ŽELJKO KOMŠIĆ,HDZ 1990 HRVATSKA DEMOKRATSKA ZAJEDNICA,"HDZ BIH, HSS, HKDU BIH, HSP DR.ANTE STARČEVIĆ, HSP HERCEG-BOSNE",HRVATSKI SAVEZ HKDU - HRAST,NARODNA STRANKA RADOM ZA BOLJITAK,NOVI POKRET BIH,SBB - FAHRUDIN RADONČIĆ,SDA - STRANKA DEMOKRATSKE AKCIJE,SDP-SOCIJALDEMOKRATSKA PARTIJA BIH,SNAGA BIH - HSP BIH-DSI,STRANKA DIJASPORE BOSNE I HERCEGOVINE,STRANKA ZA BOSNU I HERCEGOVINU,UNIJA SOCIJALDEMOKRATA-UNIJA ZA SVE NAS,ZAJEDNO ZA PROMJENE (SPP-SDU-DNZ),Ukupno
,037A001,6,1,3,65,0,0,0,1,1,35,88,92,0,0,7,0,1,300
,037A002,7,1,5,59,0,0,0,0,0,27,121,111,0,0,9,0,2,342
,037A003,7,3,8,119,0,0,0,3,0,23,125,134,0,1,13,0,3,439
,037A004,3,3,3,96,0,0,0,2,1,58,149,96,2,0,4,0,3,420
,037A005,7,0,4,72,0,0,0,10,1,55,113,112,2,2,16,1,3,398
,037A006,5,1,7,54,5,0,0,2,0,42,158,111,1,0,17,0,3,406
,039A000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,039A001,10,0,10,69,0,0,0,1,0,67,112,46,0,0,6,0,4,325
,039A002,10,0,7,38,4,42,0,1,0,47,245,57,0,1,4,0,2,458
,039A003,12,1,24,68,1,4,0,0,1,72,153,67,1,0,11,1,2,418
,039A004A,8,0,6,30,0,0,0,0,0,86,108,14,0,0,8,0,0,260
,039A004B,9,0,5,19,0,0,0,0,0,37,137,28,0,0,24,0,0,259
,039A005A,16,0,18,30,0,0,0,1,0,30,142,29,0,0,37,1,2,306
,039A005B,15,1,11,29,0,2,0,0,0,38,165,7,0,0,15,0,1,284
,039A006,11,1,14,28,0,0,0,1,0,23,95,71,0,0,7,0,2,253
,039A007,5,1,9,72,12,22,0,0,1,49,82,128,0,0,5,1,5,392
,039A008,3,0,7,86,7,6,0,4,0,66,109,101,0,1,7,1,0,398
,039A009,4,1,7,47,3,31,0,4,0,34,74,54,0,0,9,0,4,272
,039A010A,10,0,11,55,0,2,0,0,1,62,156,66,0,0,23,0,3,389
,039A010B,11,1,6,68,0,0,0,0,0,24,127,58,2,2,23,1,2,325
,039A011,11,1,29,38,0,1,0,0,0,23,131,73,1,0,12,1,4,325
,039A012A,6,0,5,43,2,13,0,0,1,14,184,75,0,0,24,0,1,368
,039A012B,6,1,7,55,0,0,1,0,0,25,165,88,0,0,16,0,5,369
,039A013A,14,3,12,27,0,0,0,0,3,35,368,14,0,0,2,0,2,480
,039A013B,5,0,7,11,0,0,0,0,0,17,195,5,0,0,2,0,3,245
,039A014,10,0,6,116,0,0,0,2,1,38,135,110,0,0,2,0,1,421
,039A015,17,1,17,51,2,0,0,1,0,34,245,26,0,0,51,0,3,448
,039A016A,7,0,9,12,5,8,0,0,0,37,149,16,0,0,3,0,3,249
,039A016B,4,1,8,16,11,2,0,1,0,26,131,19,0,0,4,0,0,223
,039A017A,27,2,18,10,0,0,0,0,0,51,249,34,0,0,27,1,0,419
,039A017B,6,0,11,19,0,0,0,0,0,29,124,9,0,1,9,0,3,211
,039A018,13,0,14,52,0,1,0,0,0,37,177,23,1,1,8,0,2,329
,039A019A,8,1,7,32,0,0,0,0,1,44,151,38,1,0,9,1,3,296
,039A019B,14,1,13,42,1,0,0,2,1,41,142,39,3,0,11,1,2,313
,039A020,6,0,18,12,1,0,0,1,1,27,362,45,0,0,42,0,0,515
,039A021A,3,0,5,17,1,2,1,3,0,38,204,182,0,0,19,0,2,477
,039A021B,9,0,12,15,5,11,0,1,0,29,156,116,1,0,18,0,0,373
,039A022A,13,0,25,56,2,0,0,0,2,41,165,38,1,1,31,0,4,379
,039A022B,9,1,18,18,0,0,0,0,0,16,93,15,1,0,5,0,1,177
,039A022C,19,2,26,38,1,3,0,0,0,66,158,35,0,0,14,1,4,367
,039A022D,8,0,6,11,0,0,0,0,0,19,31,7,1,0,7,0,3,93
,039A023,5,2,7,46,5,19,1,2,0,50,91,62,2,0,2,0,4,298
,039A024A,21,1,25,76,0,0,0,0,0,39,270,53,0,0,99,0,5,589
,039A024B,5,0,6,35,0,0,0,0,4,25,96,47,0,1,45,1,2,267
,039A024C,7,0,5,28,0,0,0,0,1,23,93,28,0,0,26,0,5,216
,039A025,9,1,14,91,1,1,1,0,1,81,133,128,0,2,15,2,2,482
,039A026,7,1,24,89,1,4,0,0,1,83,153,137,0,2,15,1,1,519
,039A027,16,2,22,63,0,0,0,1,1,74,114,84,0,0,21,1,1,400
,039A028A,3,3,13,59,2,0,0,1,0,37,90,79,0,0,7,2,2,298
,039A028B,1,0,5,40,2,4,0,0,1,27,59,52,0,0,4,0,0,195
,039A029,9,2,18,63,0,0,0,1,2,57,138,66,1,1,22,0,5,385
,039A030,6,3,3,40,0,0,0,1,0,27,103,46,0,0,6,0,1,236
,039A031A,8,0,70,20,0,1,0,0,0,25,183,21,0,1,21,0,3,353
,039A031B,12,0,21,27,0,2,0,0,0,15,169,46,2,0,43,1,5,343
,039A032A,9,0,17,48,0,2,2,0,1,44,160,76,0,0,4,0,2,365
,039A032B,3,0,4,22,0,1,0,0,1,38,78,55,0,0,1,0,2,205
,039A033,2,0,11,58,6,10,0,1,0,35,123,94,0,1,8,0,2,351
,039A034,5,2,53,43,0,0,0,0,0,28,92,17,4,2,1,0,4,251
,039A035,4,0,8,21,2,2,0,0,0,23,58,38,0,0,23,1,2,182
,039A036,9,4,27,83,1,3,0,0,2,77,132,97,0,1,12,1,7,456
,039A037,8,2,8,69,5,3,0,2,1,40,122,160,0,2,8,0,5,435
,039A038,9,0,3,9,0,0,0,0,0,6,175,8,0,0,17,0,1,228
,042A000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,042A001,7,0,15,103,3,3,0,5,0,79,89,96,1,0,6,0,6,413
,042A002,9,0,14,91,4,4,1,3,1,68,100,117,0,0,7,0,5,424
,042A003A,2,0,4,59,2,1,0,4,1,43,85,66,1,0,8,3,2,281
,042A003B,1,2,14,64,3,2,0,1,0,38,65,69,0,1,8,0,2,270
,042A004,7,0,8,70,1,3,0,3,3,74,62,78,0,2,2,0,3,316
,042A005,16,0,8,54,0,0,0,2,0,46,140,71,1,0,4,1,5,348
,042A006,20,0,20,62,0,0,0,3,5,68,179,56,1,1,10,1,6,432
,042A007,10,1,0,0,10,53,0,2,0,14,30,24,1,0,2,5,0,152
,042A008,8,1,10,76,0,6,1,0,2,80,69,92,0,0,4,0,1,350
,042A009,18,1,8,43,1,0,0,7,0,50,104,69,0,1,6,0,3,311
,042A010A,10,0,11,38,1,6,0,1,1,56,81,75,0,0,13,0,4,297
,042A010B,4,1,6,44,1,7,0,0,0,49,61,41,0,0,1,0,0,215
,042A011,8,6,23,43,1,0,0,1,9,45,52,42,0,0,2,1,3,236
,042A012,12,0,15,50,2,0,0,0,6,74,41,47,0,0,2,0,2,251
,042A013A,15,0,14,53,0,0,0,2,1,38,115,37,0,0,3,0,5,283
,042A013B,9,0,5,37,0,0,0,0,0,33,86,38,0,1,4,0,6,219
,042A014,8,4,0,19,1,0,1,1,0,16,165,21,1,0,12,1,1,251
,042A015A,12,0,4,31,0,0,0,0,0,30,108,61,0,0,2,0,1,249
,042A015B,12,0,3,39,0,0,0,0,1,43,122,66,0,0,2,0,4,292
,042A016,12,0,6,43,1,10,0,2,1,31,173,42,0,0,2,1,2,326
,042A017,0,0,0,4,8,173,1,0,0,2,0,24,1,0,0,0,0,213
,042A018,1,1,13,31,0,0,0,0,0,9,180,30,0,2,0,0,1,268
,042A019,8,1,7,12,0,6,0,2,0,88,157,28,0,0,8,0,1,318
,042A020,7,0,16,22,6,40,0,1,0,33,100,35,0,0,9,0,7,276
,042A021,17,0,2,23,0,1,0,0,0,19,97,12,0,1,2,0,1,175
,042A022,8,1,7,31,0,0,0,1,0,42,73,28,1,0,6,0,5,203
,042A023,3,1,9,66,1,1,1,2,2,65,66,98,0,1,5,0,2,323
,042A024A,23,1,8,23,0,2,0,3,0,22,183,55,0,1,2,0,1,324
,042A024B,8,1,4,15,0,0,0,0,0,15,146,49,0,0,1,0,5,244
,042A025,1,1,5,12,0,1,1,2,0,25,70,43,0,0,2,0,0,163
,042A026,1,1,0,10,9,144,0,0,0,5,63,7,0,0,0,0,2,242
,042A027,5,0,3,30,0,2,0,0,0,28,174,67,0,0,6,1,1,317
,065A000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,065A001,3,0,13,52,40,76,5,1,2,38,35,23,1,0,3,1,2,295
,065A002,2,0,3,16,41,91,2,1,0,33,24,17,2,0,2,0,5,239
,065A003,6,1,1,22,54,116,4,4,0,31,27,24,0,0,3,0,4,297
,065A004,9,0,11,57,17,32,0,1,0,58,68,25,1,0,13,2,3,297
,065A005,10,0,6,41,37,95,1,0,0,46,33,19,1,0,5,1,3,298
,065A006,8,0,4,45,41,86,1,0,1,35,66,22,2,0,4,2,5,322
,065A007,6,0,2,18,77,151,1,7,0,14,33,5,2,0,4,0,5,325
,065A008,3,4,11,58,52,67,2,3,0,52,31,20,1,1,10,0,4,319
,065A009,11,2,12,53,14,36,1,2,0,77,63,27,0,1,8,1,1,309
,065A010,8,0,11,29,28,60,2,0,1,9,72,11,0,0,4,0,1,236
,065A011,1,0,2,7,7,26,0,0,0,9,10,3,0,0,0,1,0,66
,065A012A,16,4,8,42,2,0,0,2,1,70,187,81,0,0,13,0,5,431
,065A012B,13,4,14,20,0,2,0,2,0,71,121,55,0,0,3,0,7,312
,065A013,18,3,16,17,30,55,0,9,0,32,226,18,3,0,7,0,0,434
,065A014,8,0,5,23,18,42,5,6,0,36,116,18,3,0,1,1,0,282
,065A015,15,3,14,34,2,1,0,0,0,46,356,59,1,0,3,1,0,535
,065A016,7,0,6,17,86,82,1,2,1,31,84,24,0,1,7,0,0,349
,065A017,3,0,5,40,75,176,8,4,1,27,32,8,1,0,6,0,5,391
,065A018,10,0,5,18,63,119,0,0,0,21,66,7,0,1,16,0,2,328
,065A019,9,2,2,7,43,94,1,1,0,17,43,9,1,0,4,0,4,237
,065A020,7,0,7,11,74,146,2,4,0,19,51,8,1,0,2,0,1,333
,065A021,16,1,8,18,0,0,0,0,0,18,132,3,1,0,3,1,2,203
,065A022,20,0,7,21,9,90,1,0,1,31,127,5,1,0,1,0,4,318
,065A023,11,1,7,22,5,33,1,0,0,57,142,59,0,0,8,0,11,357
,065A024,2,0,1,8,65,165,1,4,0,5,0,11,0,0,0,1,2,265
,065A025,5,0,4,10,54,88,3,1,0,50,65,14,0,1,8,0,5,308
,065A026,7,1,4,21,20,109,1,7,0,30,77,8,3,0,1,0,1,290
,065A027,1,1,24,12,1,8,0,1,0,45,191,10,0,2,2,0,2,300
,065A028,2,1,4,25,51,85,1,0,0,38,28,11,1,0,6,0,1,254
,065A029,1,0,2,3,3,6,2,1,1,17,24,14,0,0,0,0,0,74
,065A030,4,0,4,14,0,0,0,0,0,33,70,3,0,0,6,0,0,134
,065A031,4,2,7,8,59,101,2,2,0,16,48,11,8,0,0,0,2,270
,065A032,4,0,0,1,25,80,2,0,0,2,25,0,2,0,1,0,0,142
,065A033,0,0,0,2,38,42,2,0,0,1,2,2,0,0,1,0,0,90
,065A034,2,0,5,17,6,46,0,0,0,13,18,0,0,0,3,0,0,110
,067A000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,067A001,0,0,0,0,27,120,1,0,0,0,0,0,1,0,1,0,1,151
,067A002,0,0,0,0,30,47,0,0,0,0,0,0,0,0,0,0,0,77
,067A003,0,0,0,0,24,56,0,0,0,0,0,0,4,0,0,0,2,86
,075A000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,075A001,0,0,0,1,46,302,2,0,0,0,0,1,0,0,0,0,2,354
,075A002,1,0,0,1,39,304,1,6,0,0,0,0,1,0,0,0,0,353
,075A003,16,2,11,30,0,0,0,1,0,62,134,5,0,0,1,0,0,262
,075A004,0,0,0,0,13,89,3,0,0,0,0,0,0,0,0,0,1,106
,075A005,15,0,2,24,0,0,0,0,0,30,372,31,0,0,5,0,1,480
,075A006,0,0,0,1,36,233,11,13,0,3,0,1,0,0,1,0,4,303
,075A007,5,0,5,14,42,221,5,2,0,17,82,7,0,0,0,0,4,404
,075A008,1,0,0,6,42,346,5,1,0,3,11,1,0,0,2,0,2,420
,075A009,1,0,1,5,0,1,0,0,0,15,478,12,0,0,2,0,1,516
,075A010,1,0,1,2,25,157,4,0,0,2,7,0,0,0,0,0,0,199
,075A011,14,3,5,32,29,89,0,1,0,73,68,23,2,1,1,0,6,347
,075A012,20,0,24,49,5,43,5,1,0,74,121,39,0,0,19,0,2,402
,075A013,3,1,4,7,31,325,5,0,0,14,18,4,1,0,0,1,3,417
,075A014,17,0,9,47,5,19,0,2,0,96,102,31,0,3,2,1,7,341
,075A015,0,0,0,0,17,182,0,1,0,1,0,0,0,0,0,0,1,202
,075A016,1,0,3,0,48,220,4,0,0,0,33,4,2,0,4,0,0,319
,075A017,0,0,1,2,39,173,3,1,0,0,3,2,1,0,1,0,2,228
,075A018,0,0,0,4,49,151,2,0,0,4,0,1,0,0,0,0,1,212
,075A019,0,0,0,1,15,130,1,1,0,2,0,0,0,0,0,0,0,150
,075A020,0,0,0,3,41,158,2,2,0,3,0,1,0,0,0,0,0,210
,075A021,2,0,0,5,9,180,0,0,0,1,10,0,0,0,0,0,0,207
,075A022,0,0,0,0,58,281,2,2,0,0,1,1,1,0,0,0,12,358
,075A023A,20,0,3,31,0,1,0,2,0,82,177,24,0,0,3,0,0,343
,075A023B,13,2,6,48,1,0,0,4,0,62,168,14,0,0,7,0,1,326
,075A024A,13,0,9,16,18,82,1,1,0,40,136,15,0,3,4,1,6,345
,075A024B,5,1,2,10,24,121,0,0,0,14,51,9,0,0,0,0,2,239
,075A025,7,0,0,27,0,0,0,0,0,60,408,7,0,0,11,0,1,521
,075A026,3,0,4,39,31,113,7,1,0,63,41,32,0,0,8,1,6,349
,075A027,0,0,0,2,38,189,2,2,0,1,0,0,0,0,0,0,1,235
,075A028,12,1,5,21,0,0,0,0,2,15,344,11,0,1,12,0,2,426
,075A029,5,0,3,39,26,111,1,1,2,63,48,45,1,0,3,0,4,352
,075A030,7,1,5,17,20,103,2,8,1,47,63,14,0,0,4,0,4,296
,075A031,0,0,0,5,10,17,11,2,1,10,1,8,0,0,4,0,1,70
,075A032,0,0,1,1,10,118,5,0,0,1,0,0,0,0,0,0,0,136
,075A033,0,0,0,0,30,177,2,0,0,0,0,0,0,0,0,1,1,211
,075A034,1,0,5,13,9,34,0,0,0,29,58,5,0,0,1,0,0,155
,075A035,12,1,15,54,18,55,2,1,1,76,86,30,0,0,4,1,2,358
,077A000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,077A001,7,3,9,52,2,4,0,5,0,73,138,27,0,0,21,0,4,345
,077A002,6,0,0,81,1,11,0,17,2,91,71,33,0,2,13,0,7,335
,077A003,5,2,10,89,3,7,0,22,3,82,125,45,0,1,6,1,1,402
,077A004,3,0,7,57,1,4,0,18,2,79,73,42,1,0,17,0,1,305
,077A005,3,1,10,48,3,0,0,19,2,48,66,24,0,0,8,0,3,235
,077A006A,7,0,10,119,4,9,0,32,0,100,87,73,1,0,16,1,5,464
,077A006B,2,0,4,45,1,1,0,11,1,38,30,22,0,2,10,0,2,169
,077A007,10,0,5,39,2,20,0,3,0,41,41,27,1,0,0,0,2,191
,077A008,2,1,9,57,6,8,0,15,0,72,51,42,1,0,8,0,3,275
,077A009,11,3,11,46,0,0,0,19,0,96,100,38,1,0,14,0,3,342
,077A010,6,1,9,42,0,11,0,2,0,46,67,68,0,1,7,0,0,260
,077A011,13,0,28,39,1,0,1,5,1,114,122,59,0,0,40,0,5,428
,077A012,2,2,11,6,0,0,0,0,0,53,53,6,0,1,6,0,2,142
,077A013,4,3,10,26,0,0,0,42,0,112,113,41,1,1,23,0,2,378
,077A014,6,0,23,25,0,0,0,4,2,62,128,55,0,0,17,0,6,328
,077A015,9,1,4,26,0,1,0,0,3,53,114,21,0,0,20,0,6,258
,077A016,3,0,0,16,2,7,0,1,1,27,25,8,0,0,10,0,3,103
,077A017,13,2,4,41,2,2,0,0,4,29,352,86,0,0,3,1,4,543
,077A018,8,1,7,35,0,1,0,3,0,127,207,37,0,0,10,1,1,438
,077A019,14,0,6,22,0,0,0,2,0,57,74,12,0,0,80,0,1,268
,077A020,4,0,6,17,1,0,0,2,2,83,132,9,1,0,10,0,0,267
,077A021,6,2,0,26,0,1,0,9,3,46,130,13,1,0,37,0,3,277
,077A022,7,0,20,33,0,0,0,3,3,23,72,104,1,2,3,0,2,273
,077A023,8,3,7,27,0,0,0,5,1,15,159,22,1,0,13,0,3,264
,077A024,14,1,4,22,0,0,0,10,0,39,210,73,0,0,8,0,1,382
,077A025,7,1,5,15,0,0,0,1,0,12,91,58,0,0,2,0,1,193
,077A026,11,1,15,79,0,0,0,24,0,98,170,27,1,1,64,0,4,495
,077A027A,8,1,9,59,0,0,0,19,0,60,94,20,0,1,33,0,0,304
,077A027B,10,0,11,27,3,6,0,19,0,35,91,24,0,2,17,0,1,246
,077A028,11,0,11,32,0,0,0,4,1,25,116,63,0,0,10,2,1,276
,077A029,6,0,7,6,0,0,0,1,0,35,78,34,0,0,6,0,2,175
,077A030,3,1,5,39,0,0,0,1,0,94,79,28,3,0,9,0,2,264
,077A031,14,1,9,61,0,3,0,1,0,53,198,39,1,0,58,0,3,441
,077A032,12,1,7,37,0,25,0,13,0,94,70,97,0,0,13,0,3,372
,077A033,3,0,6,3,2,2,1,7,1,9,32,8,0,1,7,0,2,84
,077A034,2,0,3,5,0,1,0,3,0,24,157,7,0,0,11,0,0,213
,077A035,6,0,9,16,0,0,0,2,0,35,222,13,0,1,48,0,1,353
,077A036,16,4,7,27,0,0,0,0,0,73,160,51,0,0,19,0,1,358
,077A037,3,1,7,39,9,21,0,13,0,49,51,41,0,1,14,1,4,254
,077A038,3,0,3,19,2,0,0,6,0,16,48,28,0,1,52,0,3,181
,077A039,0,0,0,7,1,19,2,14,0,13,6,29,1,0,7,0,0,99
,077A040,4,0,2,63,3,7,1,17,0,36,57,47,0,0,7,1,1,246
,077A041,5,0,5,12,1,0,0,9,0,55,44,12,0,0,9,0,5,157
,077A042,5,0,9,16,0,0,0,0,2,40,160,21,0,0,27,0,0,280
,077A043,2,1,1,10,0,0,0,1,0,45,79,18,0,0,19,0,1,177
,077A044,6,1,3,39,0,0,0,2,0,108,126,15,0,0,23,0,3,326
,077A045,9,0,8,81,0,4,0,0,0,60,128,53,0,1,37,0,3,384
,077A046,4,0,10,26,11,50,3,9,0,36,44,28,0,0,4,0,0,225
,077A047,4,0,13,23,5,11,3,10,0,79,90,131,1,0,7,3,0,380
,077A048,9,0,11,19,0,0,0,23,1,49,167,48,0,0,15,0,0,342
,077A049,0,0,0,0,2,24,0,3,0,2,1,8,1,0,0,0,0,41
,077A050,5,0,13,34,1,0,0,20,0,52,68,35,1,0,21,0,2,252
,077A051,6,1,3,38,2,0,0,9,0,69,78,32,0,1,14,0,1,254
,077A052,14,0,3,41,3,3,0,10,1,34,41,47,1,0,1,0,1,200
,077A053,11,0,19,28,0,0,0,9,0,52,112,111,0,0,18,0,7,367
,077A054,7,0,2,13,1,0,0,1,0,47,117,18,0,0,8,1,1,216
,077A055,8,0,8,9,0,0,0,4,0,31,85,15,1,0,36,0,2,199
,077A056,6,0,3,41,2,3,0,4,1,62,60,34,0,2,5,0,7,230
,077A057,4,1,5,50,8,13,0,16,0,32,61,36,1,0,3,0,2,232
,077A058,10,1,4,13,0,0,0,0,0,25,40,9,0,0,9,0,2,113
,089A000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,089A001A,10,1,13,48,2,0,1,0,1,61,75,43,0,2,24,1,3,285
,089A001B,4,3,13,38,1,0,0,0,0,76,40,27,0,0,10,1,1,214
,089A002,12,3,12,40,0,0,0,0,0,133,72,24,0,0,7,3,3,309
,089A003,8,2,12,78,0,0,0,1,0,91,40,51,0,0,27,1,1,312
,089A004,11,4,14,66,1,1,0,1,0,94,61,55,0,1,17,0,4,330
,089A005,5,2,15,74,1,2,0,0,0,86,90,59,1,0,5,1,3,344
,089A006,11,1,29,105,0,0,0,1,0,78,83,78,1,0,25,1,1,414
,089A007,13,0,15,84,0,0,0,2,0,86,95,60,0,0,10,0,2,367
,089A008A,18,7,36,71,0,0,3,3,0,181,215,57,0,0,22,4,7,624
,089A008B,13,5,10,45,1,1,0,0,0,80,121,9,1,1,15,0,1,303
,089A009,0,0,1,17,0,0,0,0,0,20,10,12,0,0,0,1,1,62
,089A010,8,1,12,48,0,0,0,2,2,184,167,45,2,0,10,2,0,483
,089A011,11,1,4,14,1,0,0,2,1,131,130,20,1,0,9,0,0,325
,089A012,21,1,19,45,0,0,0,2,1,153,162,58,1,0,20,1,0,484
,089A013,11,1,9,44,0,0,0,0,0,57,69,11,0,0,3,0,1,206
,089A014,9,2,9,68,0,1,0,3,0,73,55,52,0,1,20,0,1,294
,089A015A,10,2,13,50,0,0,0,1,1,70,85,27,1,0,9,0,2,271
,089A015B,6,1,15,17,1,0,0,0,0,44,48,22,1,0,7,0,2,164
,089A016,7,0,5,32,0,0,0,1,1,97,45,39,0,0,6,2,2,237
,091A000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
,091A001,12,2,5,37,0,3,0,0,0,24,186,44,1,0,4,0,0,318
,091A002,13,0,8,24,4,4,0,0,0,51,149,1,1,0,4,0,1,260
,091A003,10,1,15,16,0,0,0,0,0,25,45,45,0,0,6,0,3,166
,091A004,10,1,8,48,2,0,0,0,0,46,102,62,0,1,12,0,1,293
,091A005,15,2,25,62,0,0,0,0,1,102,155,82,0,0,10,1,2,457
,091A006,10,0,13,34,4,6,0,3,1,56,85,69,0,1,5,0,5,292
,091A007,1,0,4,1,42,208,0,0,0,10,1,2,1,0,2,1,1,274
,091A008,12,2,19,33,0,0,0,0,1,71,102,23,0,0,4,0,0,267
,091A009,22,1,25,39,0,0,0,0,0,59,286,31,0,0,8,0,10,481
,091A010,15,2,15,47,0,0,0,0,6,58,74,7,0,0,1,0,1,226
,091A011A,8,0,4,51,1,5,0,2,1,65,71,18,1,1,4,0,0,232
,091A011B,9,2,12,53,3,0,0,3,1,55,85,13,0,0,2,0,2,240
,091A012,10,2,17,22,3,16,0,3,1,40,54,11,0,0,0,0,2,181
,091A013,0,0,0,2,121,156,2,7,0,0,1,22,3,0,1,0,6,321
,091A014,0,0,0,5,40,203,3,0,0,2,0,4,1,0,0,0,0,258
,091A015,11,1,19,39,3,71,0,0,2,44,99,6,0,1,1,0,5,302
,091A016,5,1,1,20,87,77,1,1,0,23,9,2,8,0,2,0,1,238
,091A017A,11,1,8,56,19,19,1,5,0,59,64,7,0,0,1,0,2,253
,091A017B,6,1,5,24,15,20,0,1,0,44,50,11,0,0,3,0,4,184
,091A018,12,0,19,74,14,19,0,1,0,90,75,30,1,0,3,1,1,340
,091A019,4,0,3,14,81,129,1,2,0,22,19,7,3,0,0,1,0,286
,091A020,5,9,17,65,26,40,0,5,5,112,58,36,1,0,8,0,3,390
,091A021,15,2,23,73,21,20,1,4,1,122,137,33,1,1,4,2,0,460
,091A022,6,0,7,84,9,27,0,4,1,97,79,41,2,4,1,3,7,372
,091A023,2,0,10,107,24,33,1,1,1,98,99,38,0,2,12,2,1,431
,091A024,9,2,10,82,13,35,0,1,5,98,118,39,0,0,8,1,0,421
,091A025A,9,0,10,69,2,7,0,2,1,69,75,33,1,0,4,0,5,287
,091A025B,3,0,8,42,10,8,0,0,3,66,52,15,0,0,4,2,4,217
,091A026,5,0,1,44,7,13,0,0,1,58,72,23,0,2,5,2,4,237
,091A027,9,1,7,65,2,1,0,0,0,107,65,22,0,1,5,0,2,287
,091A028,5,4,16,62,2,3,0,1,3,124,131,16,0,3,6,2,6,384
,091A029,4,0,22,51,7,36,0,2,0,52,67,3,1,1,18,0,4,268
,091A030,12,1,18,87,14,15,1,2,0,103,134,19,0,0,26,1,4,437
,091A031,0,0,0,0,60,364,0,3,1,5,7,19,4,0,0,0,5,468
,091A032,0,0,0,1,134,226,2,6,0,2,0,6,14,0,0,0,1,392
,091A033,0,0,0,2,20,103,0,0,0,1,0,2,4,0,0,1,1,134
,091A034,0,0,0,1,125,246,2,4,0,3,0,0,5,0,0,0,1,387
,091A035,0,0,0,0,53,179,0,6,0,3,0,0,7,0,0,0,0,248
,091A036,0,0,0,0,52,110,0,0,0,0,1,0,0,0,0,0,0,163
,091A037,5,0,9,35,8,23,0,2,0,46,173,8,0,0,12,0,4,325
,091A038,3,0,3,7,62,152,0,2,0,10,79,34,1,0,4,0,0,357
,091A039,21,0,16,20,6,16,0,8,0,56,198,45,1,3,21,0,2,413
,091A040,18,2,17,65,3,5,0,3,0,66,260,30,0,3,1,0,2,475
,091A041,0,0,0,0,17,90,4,2,0,0,0,0,0,0,0,1,0,114
,091A042,3,0,6,4,9,24,0,0,0,17,114,1,0,0,1,0,0,179
,091A043,8,1,23,68,31,27,1,1,0,63,220,29,1,0,7,0,2,482
,091A044,8,1,16,26,3,6,0,3,0,62,167,22,1,1,18,0,4,338
,091A045,5,1,17,15,0,2,0,3,0,74,156,11,1,0,15,0,1,301
,091A046,6,1,4,8,0,0,0,0,0,41,155,6,0,0,60,1,0,282
,091A047,2,0,0,7,0,0,0,0,0,13,96,1,0,3,42,0,0,164
,091A048,17,0,17,10,1,0,0,1,0,45,283,28,0,0,25,0,8,435
,091A049,5,0,18,32,0,0,0,0,0,90,255,46,0,0,16,0,4,466
,091A050,12,0,4,39,0,0,0,0,0,133,222,14,4,0,41,0,0,469
,091A051,11,0,14,68,12,17,1,5,0,129,128,23,3,1,10,0,6,428
,091A052,12,0,14,57,14,64,0,0,2,72,92,30,0,0,2,0,2,361
,091A053,5,2,25,33,5,7,1,0,0,62,73,33,0,1,4,0,1,252
,091A054,3,0,8,46,36,115,0,3,0,36,61,2,0,0,6,0,1,317
,091A055,16,1,12,30,0,9,0,1,0,19,315,7,0,1,10,0,1,422
,091A056,15,1,12,54,20,50,2,1,0,78,60,23,0,3,10,1,3,333
,091A057,9,0,9,6,0,1,0,0,0,45,123,10,1,2,3,0,0,209
,091A058,8,0,7,29,0,0,0,0,0,51,278,13,1,0,1,0,6,394
,091A059,15,0,8,70,18,22,0,0,0,92,72,39,0,0,6,0,1,343
,091A060,3,2,11,40,53,54,1,2,0,35,52,17,3,1,6,1,3,284
,091A061,7,4,8,35,0,6,0,1,0,42,33,7,0,0,2,2,6,153
,091A062,3,0,1,3,23,123,0,1,0,11,30,1,2,0,0,0,1,199
,091A063,5,1,2,13,16,31,1,0,0,41,35,3,1,0,1,0,1,151
,091A064,5,1,9,13,0,0,0,1,0,28,152,32,2,0,10,0,5,258
,091A065,7,1,13,27,3,2,0,0,3,26,93,15,0,0,0,1,0,191
,091A066,2,3,6,45,13,10,0,0,0,49,59,12,0,0,4,1,0,204
,091A067,1,0,8,80,13,17,1,2,2,70,66,24,0,2,4,2,3,295
,091A068,0,0,0,0,23,103,0,0,0,0,0,0,4,1,0,0,0,131
,093A000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
