
,BM,BPS-SEFER HALILOVIĆ,DEMOKRATSKA FRONTA-ŽELJKO KOMŠIĆ,HDZ 1990 HRVATSKA DEMOKRATSKA ZAJEDNICA,"HDZ BIH, HSS, HKDU BIH, HSP DR.ANTE STARČEVIĆ, HSP HERCEG-BOSNE",HRVATSKI SAVEZ HKDU - HRAST,NARODNA STRANKA RADOM ZA BOLJITAK,SBB - FAHRUDIN RADONČIĆ,SDA - STRANKA DEMOKRATSKE AKCIJE,SDP-SOCIJALDEMOKRATSKA PARTIJA BIH,SNAGA BIH - HSP BIH-DSI,STRANKA ZA BOSNU I HERCEGOVINU,UNIJA SOCIJALDEMOKRATA-UNIJA ZA SVE NAS,ZAJEDNO ZA PROMJENE (SPP-SDU-DNZ),Ukupno
,126A003,24,89,7,4,0,0,93,140,103,0,14,2,1,477
,126A004,14,70,3,5,0,2,100,136,103,3,17,5,4,462
,126A005,19,75,2,4,0,0,115,139,82,1,16,2,4,459
,126A006,8,11,8,26,2,1,38,79,28,3,3,0,0,207
,126A007,0,28,18,88,0,0,12,32,9,0,23,1,1,212
,126A008,5,9,4,34,0,1,7,60,5,0,1,0,2,128
,126A009,10,19,0,0,0,0,58,54,21,0,19,0,2,183
,126A010,19,56,0,0,0,1,90,174,29,0,35,0,7,411
,126A011,4,8,0,0,0,0,17,28,5,0,3,0,0,65
,126A012,9,8,0,0,0,0,27,49,3,0,2,0,1,99
,126A013,8,30,1,2,1,0,76,112,22,0,8,0,4,264
,126A014,13,60,0,0,0,1,76,118,60,1,10,1,4,344
,126A015,16,60,4,5,0,1,80,97,70,0,7,2,4,346
,126A016,19,48,0,0,0,0,56,48,29,1,21,0,2,224
,126A017,22,49,1,6,0,2,83,104,66,0,12,2,1,348
,127A000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,127A001,39,43,1,4,0,0,47,141,75,0,10,0,3,363
,127A002,50,61,2,4,1,1,71,180,92,0,29,2,5,498
,127A003,25,41,4,9,0,1,40,117,35,0,13,0,7,292
,127A004,42,57,3,5,1,1,62,135,166,0,8,2,2,484
,127A005,20,34,5,16,3,0,49,110,103,1,15,0,3,359
,127A006,32,62,7,23,0,1,74,140,111,1,15,0,20,486
,127A007,24,50,2,15,0,1,54,70,134,0,14,0,4,368
,127A008,53,52,4,10,0,0,91,153,111,1,10,1,6,492
,127A009,40,63,6,17,2,1,74,136,136,1,21,1,10,508
,127A010,21,26,8,25,0,1,34,101,42,1,7,1,3,270
,127A011,17,17,9,16,1,0,41,63,54,0,9,1,8,236
,127A012A,21,37,5,3,0,0,50,159,54,0,11,0,1,341
,127A012B,34,40,4,7,0,0,62,134,44,1,11,0,3,340
,127A013,8,37,0,0,0,0,36,125,40,0,11,0,1,258
,127A014,2,5,0,0,0,0,4,119,18,0,1,0,0,149
,127A015,21,27,3,0,0,0,71,160,54,0,2,0,1,339
