,BM,BOSS - BOSANSKA STRANKA-MIRNES AJANOVIĆ,BPS-SEFER HALILOVIĆ,DEMOKRATSKA FRONTA-ŽELJKO KOMŠIĆ,HDZ 1990 HRVATSKA DEMOKRATSKA ZAJEDNICA,"HDZ BIH, HSS, HKDU BIH, HSP DR.ANTE STARČEVIĆ, HSP HERCEG-BOSNE",KOMUNISTIČKA PARTIJA,LABURISTIČKA STRANKA BOSNE I HERCEGOVINE LABURISTI BIH,NARODNA STRANKA RADOM ZA BOLJITAK,NAŠA STRANKA,NOVI POKRET BIH,PDP-NDP,SAVEZ NEZAVISNIH SOCIJALDEMOKRATA - SNSD - MILORAD DODIK,SBB - FAHRUDIN RADONČIĆ,SDA - STRANKA DEMOKRATSKE AKCIJE,SDP-SOCIJALDEMOKRATSKA PARTIJA BIH,SNAGA BIH - HSP BIH-DSI,STRANKA DIJASPORE BOSNE I HERCEGOVINE,STRANKA ZA BOSNU I HERCEGOVINU,UNIJA SOCIJALDEMOKRATA-UNIJA ZA SVE NAS,ZAJEDNO ZA PROMJENE (SPP-SDU-DNZ),Ukupno
,131A038,1,17,83,2,1,1,0,8,18,3,0,2,56,73,14,0,0,10,3,5,297
,131A039,2,16,92,1,5,1,0,5,11,0,0,7,64,65,20,3,3,5,3,0,303
,131A040,0,6,95,7,5,0,0,3,17,4,1,7,88,64,27,1,2,3,4,2,336
,131A041,3,14,98,5,6,2,0,12,29,1,1,2,54,65,29,1,0,2,5,9,338
,131A042,1,8,106,6,4,7,0,1,21,1,1,6,70,88,37,0,0,3,2,6,368
,131A043,2,24,92,5,2,2,0,6,33,1,1,4,44,78,38,5,1,4,0,2,344
,131A044,1,7,96,1,2,1,0,4,19,0,0,1,54,61,25,4,1,2,3,1,283
,131A045,3,9,90,6,2,3,0,7,7,0,0,2,55,62,29,4,1,4,3,3,290
,131A046,15,15,83,1,1,0,0,16,2,1,2,6,81,122,6,4,1,6,0,2,364
,131A047,1,14,101,0,1,0,0,7,2,0,1,5,44,136,21,2,0,5,2,2,344
,131A048,5,8,80,0,0,1,0,18,6,0,0,1,18,141,3,0,0,17,2,2,302
,131A049,3,22,51,0,0,0,0,13,3,0,0,0,58,118,20,2,5,1,0,2,298
,131A050,2,16,80,0,0,1,0,12,3,1,3,0,44,133,11,3,2,7,1,0,319
,131A051,3,17,72,0,0,2,0,18,6,0,0,1,47,100,11,3,1,0,0,4,285
,131A052,7,9,95,0,0,3,0,29,2,0,0,3,38,113,4,0,0,10,2,4,319
,131A053,4,17,100,7,6,5,0,6,15,2,0,3,59,72,27,4,1,7,3,5,343
,131A054,2,15,70,0,2,1,0,3,4,2,0,0,61,69,14,1,3,3,4,3,257
,131A055,4,9,61,2,1,1,0,3,6,1,0,1,68,61,12,4,3,2,4,2,245
,131A056,2,17,82,17,14,1,0,2,3,0,0,0,69,84,17,1,0,2,8,0,319
,131A057,6,9,77,17,16,2,1,15,9,0,0,0,61,73,7,0,2,0,5,4,304
,131A058,1,33,104,5,7,3,1,15,12,1,0,1,65,88,12,2,13,3,0,3,369
,131A059,4,9,95,2,3,0,0,25,5,0,0,0,64,71,50,1,1,3,5,7,345
,131A060,3,20,106,3,0,0,0,6,13,0,0,1,52,146,29,1,2,3,4,6,395
,131A061,1,20,78,2,1,0,0,4,4,0,0,0,84,95,17,2,0,2,3,0,313
,131A062,8,15,127,1,2,3,0,5,5,0,1,2,66,105,5,2,2,0,2,2,353
,131A063,2,12,93,1,4,4,0,2,7,2,0,1,73,108,23,0,2,3,0,5,342
,131A064,5,13,71,1,3,0,0,3,5,1,1,0,99,85,23,1,3,14,1,4,333
,131A065,7,13,68,0,0,0,1,1,0,0,0,0,113,125,9,0,4,5,2,0,348
,131A066,7,16,123,0,0,0,0,5,4,0,0,0,45,177,26,4,1,19,2,4,433
,131A067,6,12,102,0,0,0,1,3,3,1,0,0,92,110,17,5,4,5,1,4,366
,131A068,4,15,66,4,1,0,0,1,5,0,0,1,52,70,14,3,1,1,0,3,241
,131A069,3,16,53,1,1,0,0,4,8,0,0,0,67,114,17,1,1,4,1,0,291
,131A070,9,8,86,0,0,1,0,6,6,0,0,0,77,67,30,1,1,3,3,3,301
,131A071,4,15,102,0,0,0,0,5,4,0,0,0,76,127,24,1,2,2,3,0,365
,131A072,1,12,67,1,0,1,0,3,6,4,0,0,70,89,14,4,2,5,2,2,283
,131A073,5,17,81,1,0,0,0,2,1,1,0,0,69,119,27,2,2,15,8,3,353
,131A074,5,30,86,3,5,1,1,8,6,0,0,0,100,102,6,1,2,3,3,1,363
,131A075,0,12,114,5,7,1,0,8,23,0,0,0,74,131,32,1,3,3,5,2,421
,131A076,4,22,112,6,0,1,0,2,4,0,0,0,77,177,10,1,1,12,3,1,433
,131A077,2,9,85,13,21,1,0,2,7,1,0,2,50,71,20,4,2,6,2,3,301
,131A078,1,19,75,31,21,1,0,6,9,0,0,0,71,61,14,2,2,0,0,1,314
,131A079,4,6,67,10,23,2,0,6,9,1,0,2,41,56,22,0,1,3,5,3,261
,131A080,7,15,106,15,31,4,0,2,17,1,0,1,54,104,10,1,0,11,1,4,384
,131A081,1,17,100,6,2,2,0,11,19,0,0,3,61,65,22,2,1,3,8,2,325
,131A082,4,21,115,9,0,1,0,3,22,7,0,1,56,156,33,3,3,6,2,5,447
,131A083,2,31,87,13,13,1,0,6,13,2,0,1,67,83,16,3,1,15,3,2,359
,131A084,0,21,93,2,3,4,0,2,13,0,0,1,66,69,10,3,0,2,2,3,294
,131A085,1,7,53,2,1,1,0,5,9,0,0,0,44,68,6,1,0,1,1,1,201
,131A086,2,10,80,0,1,0,0,2,6,1,0,1,45,118,10,1,3,1,1,1,283
,131A087,3,19,82,1,3,3,0,7,13,0,0,0,42,109,12,1,5,6,2,2,310
,131A088,4,12,88,6,14,1,0,4,19,0,0,2,65,56,19,0,3,5,4,1,303
,131A089,1,13,68,9,18,5,0,4,5,0,0,2,64,46,8,0,0,4,0,9,256
,131A090,6,25,95,3,3,0,0,3,15,0,0,1,76,96,14,3,4,4,1,0,349
,131A091,4,12,59,1,0,0,0,1,9,0,0,1,53,74,21,2,1,10,4,4,256
,133A000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,133A001,0,9,130,3,8,4,0,1,41,0,1,4,50,41,38,4,1,3,6,4,348
,133A002,1,16,105,6,9,5,0,5,38,2,0,9,59,51,40,0,1,7,1,0,355
,133A003,4,10,103,2,3,3,0,0,28,2,1,5,66,93,48,3,1,3,4,1,380
,133A004,2,5,100,0,3,6,0,2,28,0,1,2,50,50,22,3,1,4,3,13,295
,133A005,9,15,108,4,3,2,1,11,10,2,0,2,68,53,27,5,0,4,2,3,329
,133A006,2,20,104,2,1,4,0,12,11,0,0,0,80,114,24,0,4,5,6,2,391
,133A007,10,20,101,0,0,1,0,8,7,0,0,0,60,138,23,2,1,12,2,2,387
,133A008,1,5,120,1,1,1,0,0,9,1,0,2,73,72,19,0,1,3,3,1,313
,133A009,1,14,97,0,0,1,0,0,4,1,0,0,52,100,16,3,0,6,2,0,297
,133A010,5,20,101,1,8,6,0,6,39,0,1,2,65,51,13,1,3,1,5,9,337
,133A011,0,10,105,4,4,9,0,6,27,1,2,6,74,63,19,2,2,8,7,6,355
,133A012,3,16,120,3,0,1,0,0,22,2,2,5,53,50,35,3,1,5,3,1,325
,133A013,2,13,131,1,2,5,1,2,24,2,1,0,59,59,33,1,3,7,2,2,350
,133A014,2,13,133,5,1,3,2,2,10,4,0,2,62,52,11,8,2,5,3,2,322
,133A015,5,12,95,7,3,3,0,2,32,0,0,1,62,57,55,2,2,5,4,1,348
,133A016,2,10,137,8,1,7,0,1,25,0,0,5,55,49,33,1,0,6,2,3,345
,133A017,4,8,146,3,4,1,0,1,59,2,0,7,73,41,36,1,3,6,10,2,407
,133A018,1,14,109,4,10,1,0,2,29,0,0,5,59,63,15,2,0,8,1,3,326
,133A019,2,17,118,5,8,5,0,0,12,1,0,1,77,77,23,3,2,9,9,2,371
,133A020,6,15,106,1,4,7,0,2,14,0,0,0,84,71,20,2,6,2,3,2,345
,133A021,2,20,111,6,2,1,1,0,10,0,0,2,65,118,17,2,0,3,4,3,367
,133A022,4,22,101,4,3,6,14,3,10,0,0,3,77,43,25,1,1,4,3,4,328
,133A023,6,14,84,2,5,1,0,0,15,0,0,2,74,65,28,3,1,3,7,7,317
,133A024,6,24,107,0,0,1,0,3,2,0,0,1,101,166,17,5,0,7,2,0,442
,133A025,6,27,77,1,0,0,0,4,3,0,0,0,113,88,27,2,1,3,16,0,368
,133A026,2,15,79,2,5,0,0,8,10,3,0,0,95,112,19,0,2,6,6,4,368
,133A027,7,40,104,1,5,1,0,8,2,0,0,1,120,140,10,3,4,2,6,6,460
,133A028,1,38,83,0,0,0,0,3,7,1,0,0,99,106,16,1,2,3,5,2,367
,133A029,7,26,77,1,0,5,0,8,9,0,0,0,74,151,19,1,2,6,1,3,390
,133A030,8,32,81,0,0,0,0,5,3,0,0,0,90,148,24,4,0,3,1,8,407
,133A031,6,20,113,6,6,7,0,4,11,2,0,0,104,59,32,0,6,10,4,0,390
,133A032,7,6,93,5,2,4,0,4,21,0,0,5,80,64,24,1,0,9,2,9,336
,133A033,8,4,124,3,3,3,0,1,23,1,0,4,67,64,18,3,2,4,8,3,343
,133A034,6,18,121,13,5,6,0,5,22,1,0,3,96,53,28,5,5,3,3,4,397
,133A035,3,9,116,6,12,12,0,5,21,0,1,2,95,39,32,3,1,7,3,6,373
,133A036,2,7,110,5,6,9,0,2,23,0,0,7,76,60,18,3,2,4,7,3,344
,133A037,5,18,109,1,4,4,0,4,13,2,0,1,74,46,20,2,0,7,9,2,321
,133A038,4,16,104,4,5,0,0,2,19,0,1,5,76,84,37,1,3,6,0,4,371
,133A039,0,14,99,5,7,4,0,4,23,0,0,1,71,92,37,0,1,4,6,3,371
