"mjesto","stranka","glasovi","godina","nivo","lokacija","ukupno"
"007B001",SOCIJALISTIČKA PARTIJA,8,2014,parbih,parbih_1_521,0
"007B001",SDA - STRANKA DEMOKRATSKE AKCIJE,6,2014,parbih,parbih_1_521,0
"007B001",SDP-SOCIJALDEMOKRATSKA PARTIJA BIH,3,2014,parbih,parbih_1_521,0
"007B001",STRANKA PRAVEDNE POLITIKE,3,2014,parbih,parbih_1_521,0
"007B001",UNIJA SOCIJALDEMOKRATA-UNIJA ZA SVE NAS,2,2014,parbih,parbih_1_521,0
"007B001","HDZ BIH, HSS, HKDU BIH, HSP DR.ANTE STARČEVIĆ, HSP HERCEG-BOSNE",2,2014,parbih,parbih_1_521,0
"007B001",ZAJEDNO ZA PROMJENE (SPP-SDU-DNZ),2,2014,parbih,parbih_1_521,0
"007B001",KOMUNISTIČKA PARTIJA,1,2014,parbih,parbih_1_521,0
"007B001",SRPSKA NAPREDNA STRANKA - SNS,0,2014,parbih,parbih_1_521,0
"007B002",SAVEZ NEZAVISNIH SOCIJALDEMOKRATA - SNSD - MILORAD DODIK,151,2014,parbih,parbih_1_521,0
"007B002",SDS-SRPSKA DEMOKRATSKA STRANKA,74,2014,parbih,parbih_1_521,0
"007B002",DNS-DEMOKRATSKI NARODNI SAVEZ - NS - SRS,33,2014,parbih,parbih_1_521,0
"007B002",PDP-NDP,25,2014,parbih,parbih_1_521,0
"007B002",SDA - STRANKA DEMOKRATSKE AKCIJE,17,2014,parbih,parbih_1_521,0
"007B002",SDP-SOCIJALDEMOKRATSKA PARTIJA BIH,9,2014,parbih,parbih_1_521,0
"007B002",SOCIJALISTIČKA PARTIJA,4,2014,parbih,parbih_1_521,0
"007B002",STRANKA PRAVEDNE POLITIKE,3,2014,parbih,parbih_1_521,0
"007B002",SRPSKA NAPREDNA STRANKA - SNS,2,2014,parbih,parbih_1_521,0
"007B002",KOMUNISTIČKA PARTIJA,2,2014,parbih,parbih_1_521,0
"007B002",ZAJEDNO ZA PROMJENE (SPP-SDU-DNZ),1,2014,parbih,parbih_1_521,0
"007B002",UNIJA SOCIJALDEMOKRATA-UNIJA ZA SVE NAS,0,2014,parbih,parbih_1_521,0
"007B002","HDZ BIH, HSS, HKDU BIH, HSP DR.ANTE STARČEVIĆ, HSP HERCEG-BOSNE",0,2014,parbih,parbih_1_521,0
"007B003",SAVEZ NEZAVISNIH SOCIJALDEMOKRATA - SNSD - MILORAD DODIK,131,2014,parbih,parbih_1_521,0
"007B003",SDS-SRPSKA DEMOKRATSKA STRANKA,117,2014,parbih,parbih_1_521,0
"007B003",DNS-DEMOKRATSKI NARODNI SAVEZ - NS - SRS,63,2014,parbih,parbih_1_521,0
"007B003",PDP-NDP,63,2014,parbih,parbih_1_521,0
"007B003",SDA - STRANKA DEMOKRATSKE AKCIJE,27,2014,parbih,parbih_1_521,0
"007B003",SDP-SOCIJALDEMOKRATSKA PARTIJA BIH,10,2014,parbih,parbih_1_521,0
"007B003",SOCIJALISTIČKA PARTIJA,5,2014,parbih,parbih_1_521,0
"007B003",ZAJEDNO ZA PROMJENE (SPP-SDU-DNZ),4,2014,parbih,parbih_1_521,0
"007B003",SRPSKA NAPREDNA STRANKA - SNS,3,2014,parbih,parbih_1_521,0
"007B003",KOMUNISTIČKA PARTIJA,3,2014,parbih,parbih_1_521,0
"007B003",STRANKA PRAVEDNE POLITIKE,2,2014,parbih,parbih_1_521,0
"007B003","HDZ BIH, HSS, HKDU BIH, HSP DR.ANTE STARČEVIĆ, HSP HERCEG-BOSNE",1,2014,parbih,parbih_1_521,0
"007B003",UNIJA SOCIJALDEMOKRATA-UNIJA ZA SVE NAS,0,2014,parbih,parbih_1_521,0
"007B004",SDA - STRANKA DEMOKRATSKE AKCIJE,73,2014,parbih,parbih_1_521,0
"007B004",SDS-SRPSKA DEMOKRATSKA STRANKA,59,2014,parbih,parbih_1_521,0
"007B004",SAVEZ NEZAVISNIH SOCIJALDEMOKRATA - SNSD - MILORAD DODIK,59,2014,parbih,parbih_1_521,0
"007B004",PDP-NDP,28,2014,parbih,parbih_1_521,0
"007B004",SDP-SOCIJALDEMOKRATSKA PARTIJA BIH,19,2014,parbih,parbih_1_521,0
"007B004",DNS-DEMOKRATSKI NARODNI SAVEZ - NS - SRS,10,2014,parbih,parbih_1_521,0
"007B004",UNIJA SOCIJALDEMOKRATA-UNIJA ZA SVE NAS,2,2014,parbih,parbih_1_521,0
"007B004",ZAJEDNO ZA PROMJENE (SPP-SDU-DNZ),2,2014,parbih,parbih_1_521,0
"007B004",SOCIJALISTIČKA PARTIJA,1,2014,parbih,parbih_1_521,0
"007B004",SRPSKA NAPREDNA STRANKA - SNS,1,2014,parbih,parbih_1_521,0
"007B004",STRANKA PRAVEDNE POLITIKE,1,2014,parbih,parbih_1_521,0
"007B004",KOMUNISTIČKA PARTIJA,0,2014,parbih,parbih_1_521,0
"007B004","HDZ BIH, HSS, HKDU BIH, HSP DR.ANTE STARČEVIĆ, HSP HERCEG-BOSNE",0,2014,parbih,parbih_1_521,0
"007B005",SAVEZ NEZAVISNIH SOCIJALDEMOKRATA - SNSD - MILORAD DODIK,116,2014,parbih,parbih_1_521,0
"007B005",SDS-SRPSKA DEMOKRATSKA STRANKA,84,2014,parbih,parbih_1_521,0
"007B005",SDA - STRANKA DEMOKRATSKE AKCIJE,56,2014,parbih,parbih_1_521,0
"007B005",DNS-DEMOKRATSKI NARODNI SAVEZ - NS - SRS,30,2014,parbih,parbih_1_521,0
"007B005",PDP-NDP,28,2014,parbih,parbih_1_521,0
