,BM,BOSS - BOSANSKA STRANKA-MIRNES AJANOVIĆ,BPS-SEFER HALILOVIĆ,DEMOKRATSKA FRONTA-ŽELJKO KOMŠIĆ,HASIĆ DERVIŠ,HDZ 1990 HRVATSKA DEMOKRATSKA ZAJEDNICA,"HDZ BIH, HSS, HKDU BIH, HSP HERCEG BOSNE",KOMUNISTIČKA PARTIJA,NARODNA STRANKA RADOM ZA BOLJITAK,NAŠA STRANKA,NOVI POKRET BIH,POSAVSKA STRANKA,PRVA STRANKA,RDS-REGIONALNI DEMOKRATSKI SAVEZ TUZLA,SAVEZ NEZAVISNIH SOCIJALDEMOKRATA - SNSD - MILORAD DODIK,SBB - FAHRUDIN RADONČIĆ,SDA - STRANKA DEMOKRATSKE AKCIJE,SDP-SOCIJALDEMOKRATSKA PARTIJA BIH,SDS-SRPSKA DEMOKRATSKA STRANKA,SNAGA BOSNE I HERCEGOVINE (HSP BIH-DSI-SNAGA BOSNE-BNS),SOCIJALISTIČKA PARTIJA,STRANKA DIJASPORE BOSNE I HERCEGOVINE,STRANKA ZA BOSNU I HERCEGOVINU,UNIJA SOCIJALDEMOKRATA-UNIJA ZA SVE NAS,ZAJEDNO ZA PROMJENE (SPP-SP/U-SDU-DNZ-SUND-LDS),Ukupno
,044A037,9,6,15,0,0,0,1,0,5,0,0,0,0,0,8,141,166,0,0,0,0,5,20,4,380
,044A038,11,5,37,0,0,2,0,13,2,0,0,0,0,0,30,93,80,0,0,0,1,9,4,21,308
,044A039A,13,26,53,0,0,0,4,1,13,0,0,0,0,0,57,71,57,0,0,0,3,41,3,5,347
,044A039B,10,15,55,0,0,0,2,5,14,0,0,0,0,0,58,71,39,0,0,0,4,46,3,13,335
,044A039C,11,17,36,0,0,0,2,3,4,1,0,0,1,0,33,25,33,0,0,0,2,20,2,2,192
,044A040,3,9,7,0,0,0,1,0,1,0,0,0,0,0,6,233,30,0,0,0,0,1,0,0,291
,044A041,6,1,25,0,0,0,3,0,3,0,0,0,0,0,5,133,211,0,0,0,0,11,2,9,409
,044A042,63,19,51,0,0,0,1,0,5,0,0,0,2,0,24,116,60,0,1,0,1,28,8,5,384
,044A043,29,21,25,0,0,0,3,2,7,1,0,0,0,0,28,131,62,0,0,0,1,28,5,10,353
,044A044,7,11,32,0,0,0,0,4,0,0,0,0,1,0,24,258,12,0,0,0,1,6,1,39,396
,044A045,8,6,23,0,0,1,0,1,4,0,0,0,3,0,28,334,27,0,0,0,0,8,3,108,554
,044A046,9,12,48,0,0,0,1,2,1,0,0,0,2,0,47,330,41,0,1,0,1,16,0,72,583
,044A047,2,15,9,0,0,0,0,1,0,0,0,0,0,0,12,76,98,0,0,0,0,25,1,94,333
,044A048,9,6,28,0,2,0,1,2,2,0,0,0,1,1,5,177,70,0,0,0,0,19,1,12,336
,044A049,16,60,60,0,0,0,0,2,0,0,0,0,0,0,37,166,63,0,1,0,2,11,4,9,431
,044A050,7,8,25,0,0,0,0,1,0,1,1,0,0,0,12,299,17,0,0,0,0,18,0,31,420
,044A051,1,10,7,0,0,0,0,1,0,0,0,0,0,0,21,94,54,0,0,0,0,44,0,113,345
,044A052,4,36,3,0,0,0,0,1,1,0,0,1,18,0,13,99,26,0,0,0,0,30,0,31,263
,044A053,11,4,5,0,0,0,0,0,1,0,0,0,0,0,6,15,20,0,0,0,0,1,0,0,63
,044A054,1,3,4,0,0,0,1,0,1,0,0,0,0,0,7,8,11,0,0,0,0,1,0,0,37
,044A055,5,17,66,0,0,1,2,2,21,0,0,0,2,1,65,73,67,0,0,0,2,19,2,6,351
,044A056,14,35,70,0,0,0,0,8,33,0,0,0,0,0,46,89,49,0,1,0,3,13,3,0,364
,044A057,4,22,47,0,1,0,1,2,20,0,0,0,0,0,38,90,81,0,0,0,6,13,5,10,340
,044A058,10,18,48,0,0,0,1,1,4,0,0,0,0,0,30,93,29,0,0,0,2,19,11,2,268
,047A000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,047A001A,1,4,19,0,8,62,3,6,3,1,0,1,0,0,14,17,11,0,0,0,0,3,2,10,165
,047A001B,2,2,22,0,7,119,3,7,0,0,0,0,1,0,31,7,24,0,1,0,0,2,1,2,231
,047A002,0,5,67,0,10,44,3,8,3,5,0,0,2,1,35,30,26,1,0,0,0,7,4,12,263
,047A003,2,15,86,0,0,3,11,12,13,7,0,2,2,5,87,49,48,0,1,0,0,12,10,21,386
,047A004,6,21,121,0,1,4,7,5,17,2,0,0,6,0,82,95,36,0,5,0,1,17,5,34,465
,047A005,14,23,79,1,1,2,5,11,9,4,0,0,1,0,79,62,38,0,0,0,0,17,6,21,373
,047A006,17,13,97,0,0,10,18,7,19,1,0,0,9,2,97,62,35,2,1,1,0,19,16,18,444
,047A007,4,19,69,0,0,3,3,6,13,2,0,0,14,1,68,81,41,0,0,0,1,15,9,29,378
,047A008,6,17,98,1,2,5,13,3,14,1,0,0,0,2,84,55,42,0,2,0,0,27,12,26,410
,047A009A,2,8,50,0,0,0,0,0,1,1,0,0,0,0,33,54,19,0,1,0,0,29,4,6,208
,047A009B,3,12,45,0,0,0,6,0,1,0,0,1,0,1,54,89,26,0,0,0,0,17,1,14,270
,047A010,9,10,65,0,0,1,1,5,2,2,0,0,1,0,111,99,28,0,4,0,3,43,5,37,426
,047A011,4,18,69,0,0,1,3,7,6,2,0,0,4,0,58,93,36,0,0,0,0,44,6,22,373
,047A012,6,16,36,0,0,0,5,4,3,1,0,0,2,0,32,41,13,0,0,0,3,6,2,3,173
,047A013,8,12,57,1,0,0,1,0,0,1,0,0,2,1,55,208,46,0,0,0,2,19,2,37,452
,047A014,10,27,48,0,1,1,8,9,3,2,0,0,2,0,116,188,35,1,2,0,11,14,9,55,542
,047A015,8,14,31,0,0,0,1,5,2,0,1,0,1,0,34,191,31,0,0,0,0,4,2,11,336
,047A016A,0,7,18,0,0,2,1,7,8,0,0,1,2,0,89,168,28,0,1,0,0,17,2,11,362
,047A016B,0,10,46,0,0,1,6,14,0,4,0,0,0,0,125,119,20,0,1,0,1,18,0,7,372
,047A016C,2,12,21,0,0,4,0,6,0,0,0,0,0,0,92,143,18,0,4,0,0,12,0,11,325
,047A016D,2,1,22,0,0,0,0,7,0,3,0,0,0,1,62,110,21,0,0,0,0,8,1,4,242
,047A017,4,7,33,0,0,1,1,4,1,0,0,0,0,0,39,161,77,0,3,0,0,21,1,5,358
,047A018A,4,11,39,0,0,0,0,1,0,0,0,0,0,0,33,115,17,0,1,0,0,151,0,5,377
,047A018B,1,8,23,0,0,0,2,3,0,0,0,0,0,0,37,110,20,0,0,0,0,133,1,5,343
,047A018C,3,14,28,0,0,0,3,8,2,0,0,1,1,0,46,123,18,0,0,0,0,185,1,10,443
,047A018D,1,5,24,0,0,0,0,2,0,0,0,0,1,0,12,40,7,0,0,0,1,50,1,5,149
,047A019A,0,7,42,0,0,0,0,13,0,0,0,0,0,0,82,204,33,0,0,0,0,12,0,0,393
,047A019B,10,25,52,0,1,0,0,3,3,4,0,0,6,1,63,250,14,0,2,1,0,14,2,7,458
,047A019C,3,21,54,0,0,0,1,7,0,1,0,0,0,0,56,152,15,0,0,1,0,10,0,9,330
,047A020,12,14,86,0,0,1,3,4,0,0,0,1,2,0,85,83,21,1,1,0,2,23,3,11,353
,047A021,13,16,65,0,0,0,1,4,2,2,0,1,1,0,114,81,21,0,1,0,5,27,7,19,380
,047A022,14,13,63,0,0,0,6,5,1,1,0,0,1,0,104,106,39,0,0,0,2,42,10,9,416
,047A023A,8,8,55,0,0,2,10,12,2,0,0,0,0,0,106,188,15,0,9,0,0,17,10,11,453
,047A023B,8,21,43,0,0,1,8,1,2,1,0,0,3,0,45,176,25,0,5,0,2,6,3,6,356
,047A024A,7,17,76,0,1,1,2,6,0,4,0,0,3,0,117,114,26,0,0,0,1,37,2,17,431
,047A024B,3,5,58,0,0,0,5,5,0,0,0,0,0,0,36,111,15,0,0,0,0,33,1,5,277
,047A025,1,5,20,0,0,2,0,0,3,0,0,0,0,0,18,112,20,0,0,0,0,25,2,8,216
,047A026,10,32,63,0,0,1,0,5,2,0,0,0,5,0,85,121,38,0,1,0,0,5,7,7,382
,047A027A,4,48,44,0,0,0,0,0,3,1,0,0,3,0,52,228,25,0,0,0,2,50,5,2,467
,047A027B,10,69,75,0,0,2,1,6,0,0,0,0,0,0,71,262,18,0,1,0,1,52,3,11,582
,047A027C,1,3,8,0,0,0,0,1,0,0,0,0,0,0,3,49,5,0,0,0,0,13,0,0,83
,047A027D,2,25,38,0,0,0,0,7,0,0,0,0,0,0,41,148,13,0,0,0,0,16,0,7,297
,047A028,10,9,107,0,0,0,3,2,7,0,0,0,0,0,70,98,44,0,0,0,0,6,2,14,372
,047A029,0,48,29,0,0,3,0,16,1,0,0,0,0,0,19,82,10,0,3,0,0,19,0,5,235
,047A030,4,7,48,0,0,0,0,4,0,0,0,0,0,0,76,206,22,0,0,0,0,17,4,7,395
,047A031,8,27,49,0,0,0,1,10,1,4,0,0,1,0,137,129,54,0,0,0,1,25,1,9,457
,047A032,0,0,0,0,0,0,0,12,1,0,0,0,0,9,6,4,108,0,0,0,0,1,3,0,144
,047A033,1,36,9,0,0,8,0,2,0,0,0,0,0,0,33,132,31,0,0,0,0,8,5,0,265
,047A034,0,0,0,0,1,0,0,27,0,0,0,0,1,2,2,0,2,0,0,0,0,0,0,0,35
,047A035,0,0,0,0,0,0,0,9,0,0,0,0,0,5,0,0,58,0,0,0,0,13,0,0,85
,047A036,0,0,0,0,0,1,2,0,0,0,0,0,0,22,2,0,33,2,1,0,0,4,1,0,68
,047A037,5,23,92,0,0,11,8,8,9,0,0,1,2,1,75,99,40,1,1,0,3,32,11,19,441
,047A038,7,13,54,0,0,0,0,4,2,0,0,1,0,0,96,66,22,0,1,1,3,39,11,6,326
,047A039,9,1,44,0,0,0,0,2,0,0,0,0,1,0,50,140,62,0,1,0,0,82,10,6,408
,047A040,5,13,93,0,0,2,11,6,16,0,0,0,2,0,65,86,35,0,0,0,0,30,2,39,405
,047A041,5,15,88,0,2,9,4,5,10,2,0,0,1,0,72,73,48,1,0,0,1,15,29,11,391
,047A042,3,6,17,0,0,0,0,10,1,0,0,0,0,0,51,56,10,0,0,0,1,17,5,3,180
,047A043,3,23,27,0,1,0,2,11,0,0,0,0,5,0,60,263,11,0,0,0,1,26,2,31,466
,047A044A,8,6,19,0,0,0,2,2,1,0,0,0,0,0,18,166,22,0,0,0,0,31,1,3,279
,047A044B,0,22,34,0,0,0,0,0,0,0,0,0,0,0,26,166,24,0,0,0,0,19,0,0,291
,047A045,11,9,29,0,0,1,0,6,1,0,0,0,4,0,49,104,59,0,0,1,1,74,2,25,376
,047A046,8,14,67,0,0,2,2,5,13,0,0,0,2,0,54,59,14,0,1,0,0,23,8,15,287
,047A047,5,21,62,0,0,0,2,22,5,1,0,0,7,0,74,44,27,0,0,0,2,31,1,30,334
,049A000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,049A001,5,31,14,0,0,0,2,0,0,0,0,0,0,0,9,84,62,0,0,0,0,38,15,0,260
,049A002,0,8,3,0,0,0,0,0,4,0,0,0,0,1,10,72,42,0,0,0,0,7,0,3,150
,049A003A,5,13,42,0,0,1,1,3,2,0,0,1,2,0,48,84,33,0,1,0,0,25,3,28,292
,049A003B,2,13,30,0,0,2,2,4,0,0,0,0,1,0,25,79,33,0,0,0,0,43,5,20,259
,049A004,2,12,20,0,0,0,0,5,2,0,0,0,1,0,26,111,71,0,0,0,0,13,2,36,301
,049A005,7,10,38,0,1,24,3,2,1,0,0,0,0,0,68,144,32,0,0,0,0,5,7,11,353
,049A006,8,19,20,1,0,0,2,7,1,1,0,0,12,0,44,182,40,0,0,0,0,15,10,8,370
,049A007,3,13,56,0,0,0,0,1,0,0,0,0,0,0,23,158,83,0,0,0,0,12,0,28,377
,049A008A,11,32,48,0,0,7,2,5,1,0,0,0,0,0,44,137,58,0,0,0,2,12,24,19,402
,049A008B,2,22,37,0,0,4,1,6,1,0,0,0,3,0,39,73,44,0,1,0,0,15,14,15,277
,049A009,6,29,50,0,0,0,0,50,25,0,0,0,0,1,62,75,18,0,1,0,0,4,9,28,358
,049A010,2,8,20,0,0,0,0,5,0,0,0,0,3,0,15,83,47,0,0,0,0,7,6,3,199
,049A011,2,10,20,0,0,0,0,1,0,0,0,0,3,0,23,135,14,0,0,0,0,1,1,8,218
,049A012A,4,14,21,0,1,5,0,1,0,0,0,0,1,0,28,177,25,0,0,0,0,14,8,8,307
,049A012B,0,8,6,0,0,5,1,1,0,0,0,0,0,0,13,44,4,0,0,0,0,10,1,1,94
,049A013,2,4,38,0,0,5,0,0,0,0,0,0,0,0,69,187,46,0,0,0,0,17,7,3,378
,049A014,0,0,8,0,2,158,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,88,260
,049A015,4,17,45,0,1,1,2,2,2,0,0,0,7,0,31,69,118,0,0,0,0,10,26,12,347
,049A016,6,23,38,0,1,0,2,9,1,0,0,0,4,0,40,87,25,0,0,0,0,13,1,10,260
,049A017,0,2,28,0,0,0,0,3,0,0,0,0,0,0,9,112,28,0,0,0,0,9,0,4,195
,049A018A,2,96,42,0,0,1,2,20,7,0,0,0,3,0,61,119,39,0,2,0,2,24,7,3,430
