,BM,BOSS - BOSANSKA STRANKA-MIRNES AJANOVIĆ,BPS-SEFER HALILOVIĆ,DEMOKRATSKA FRONTA-ŽELJKO KOMŠIĆ,HASIĆ DERVIŠ,HDZ 1990 HRVATSKA DEMOKRATSKA ZAJEDNICA,"HDZ BIH, HSS, HKDU BIH, HSP HERCEG BOSNE",KOMUNISTIČKA PARTIJA,NARODNA STRANKA RADOM ZA BOLJITAK,NAŠA STRANKA,NOVI POKRET BIH,POSAVSKA STRANKA,PRVA STRANKA,RDS-REGIONALNI DEMOKRATSKI SAVEZ TUZLA,SAVEZ NEZAVISNIH SOCIJALDEMOKRATA - SNSD - MILORAD DODIK,SBB - FAHRUDIN RADONČIĆ,SDA - STRANKA DEMOKRATSKE AKCIJE,SDP-SOCIJALDEMOKRATSKA PARTIJA BIH,SDS-SRPSKA DEMOKRATSKA STRANKA,SNAGA BOSNE I HERCEGOVINE (HSP BIH-DSI-SNAGA BOSNE-BNS),SOCIJALISTIČKA PARTIJA,STRANKA DIJASPORE BOSNE I HERCEGOVINE,STRANKA ZA BOSNU I HERCEGOVINU,UNIJA SOCIJALDEMOKRATA-UNIJA ZA SVE NAS,ZAJEDNO ZA PROMJENE (SPP-SP/U-SDU-DNZ-SUND-LDS),Ukupno
,078A012C,1,7,3,0,0,0,0,0,1,0,0,0,0,0,14,404,18,0,0,0,0,2,3,3,456
,078A013,8,6,66,0,0,4,2,2,0,1,0,0,1,0,58,325,60,0,1,0,1,11,2,2,550
,078A014,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,168,1,0,0,0,0,0,0,0,178
,078A015,2,3,26,0,0,0,1,0,0,0,0,0,1,0,34,610,26,0,0,0,0,1,0,3,707
,078A016,1,0,10,0,0,0,0,1,0,0,0,0,0,0,36,549,23,0,0,0,0,2,0,2,624
,078A017,2,10,26,0,0,0,1,2,2,0,0,0,1,0,31,612,29,0,0,0,0,4,1,0,721
,078A018,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,195,1,0,0,0,0,2,0,0,203
,078A019,0,17,35,0,0,0,0,0,0,0,0,0,0,0,33,423,41,0,4,0,0,8,2,2,565
,078A020,0,3,28,0,0,0,0,6,0,0,0,0,0,0,17,431,38,0,0,0,0,8,0,5,536
,078A021,0,6,15,0,0,0,0,0,1,0,0,0,0,0,50,420,4,0,0,0,0,2,0,2,500
,078A022,3,1,6,0,0,0,1,0,0,0,0,0,0,0,3,221,13,0,0,0,0,0,0,0,248
,078A023,8,5,24,0,0,0,0,1,0,0,0,0,0,0,53,467,91,0,0,0,0,2,1,2,654
,078A024,5,8,40,0,1,1,1,1,0,0,0,0,1,1,81,362,53,0,0,0,0,15,0,3,573
,078A025,0,3,24,0,0,0,0,3,0,0,0,0,0,0,12,402,11,0,0,0,1,4,0,1,461
,078A026,8,6,16,0,0,1,0,1,0,0,0,1,0,0,34,451,21,0,0,0,0,3,0,2,544
,078A027,1,4,8,0,0,0,0,2,1,0,0,0,0,0,8,277,34,0,0,0,0,7,0,0,342
,078A028,1,5,24,0,0,6,0,0,1,0,0,0,0,0,39,213,41,0,0,0,1,3,2,0,336
,078A029,0,4,21,0,0,0,0,0,1,0,0,0,0,0,12,133,10,0,0,0,0,4,3,0,188
,078A030,0,3,2,0,0,0,0,0,0,0,0,0,0,0,5,176,6,0,0,0,0,0,0,0,192
,078A031,1,4,29,0,1,4,4,0,2,0,0,0,2,2,50,227,47,0,0,0,0,3,0,7,383
,078A032,0,1,5,0,0,0,0,0,0,0,0,0,0,0,6,245,2,0,0,0,0,0,0,0,259
,079A000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,079A001,4,7,14,0,0,0,0,36,0,0,0,0,1,0,19,114,12,0,1,0,0,63,1,62,334
,079A002,2,6,7,0,0,0,1,37,0,0,0,0,0,0,9,109,11,0,1,0,0,36,1,91,311
,079A003,2,0,19,0,0,1,0,42,0,0,0,0,0,0,4,176,6,1,1,0,0,87,3,128,470
,079A004,0,6,10,0,0,0,1,25,0,0,0,0,1,0,3,79,30,0,0,0,0,9,0,95,259
,079A005A,2,2,16,0,0,0,0,47,0,0,0,0,2,0,9,100,19,0,0,0,0,20,0,130,347
,079A005B,1,0,4,0,4,0,0,27,0,0,0,0,1,0,9,80,20,0,0,0,0,16,1,124,287
,079A006,1,30,4,0,0,0,0,41,0,0,0,0,0,0,29,150,9,0,0,0,0,6,0,57,327
,079A007,3,23,14,0,0,1,0,162,0,0,0,0,0,0,6,179,3,0,0,0,0,31,0,46,468
,079A008A,2,13,15,0,0,0,0,85,0,1,0,1,5,0,4,104,29,0,1,0,0,14,3,32,309
,079A008B,1,10,13,0,0,1,1,156,0,0,0,0,4,0,0,57,36,0,0,0,0,9,0,56,344
,079A009A,1,0,11,0,0,0,3,262,0,0,0,0,1,0,10,21,5,0,0,0,0,5,1,4,324
,079A009B,1,2,16,0,0,0,0,302,0,0,0,0,1,0,2,16,6,0,0,0,0,5,1,15,367
,079A010,7,1,18,0,0,0,1,75,0,0,0,0,4,0,6,58,30,0,0,0,1,8,2,7,218
,079A011A,3,10,30,0,0,0,2,140,0,0,0,0,4,0,21,114,43,0,0,0,1,8,9,22,407
,079A011B,3,8,16,0,0,0,1,104,0,0,0,0,10,0,21,120,43,0,0,0,0,11,4,26,367
,079A012,1,6,11,0,0,0,3,48,1,0,0,0,1,0,10,99,22,0,2,0,1,6,1,9,221
,079A013,13,17,32,0,0,0,1,107,0,0,0,0,7,0,38,164,53,0,0,0,0,45,4,0,481
,079A014,4,19,60,0,0,0,1,37,1,0,0,0,1,0,32,91,54,0,0,0,0,13,4,14,331
,079A015,7,8,56,0,3,0,0,52,0,1,0,0,7,0,35,85,51,0,0,0,2,26,0,15,348
,079A016,3,10,64,0,0,1,0,36,4,0,0,0,4,1,18,101,29,0,0,0,0,18,0,15,304
,079A017,8,37,33,0,0,0,8,13,0,0,0,0,2,1,26,94,16,0,1,0,0,25,1,15,280
,079A018,4,30,72,0,0,4,5,31,3,0,0,0,1,0,28,99,58,0,0,0,0,31,4,22,392
,079A019,3,13,57,0,0,3,4,22,2,0,1,0,1,0,30,92,41,0,0,0,1,45,3,17,335
,079A020,5,19,42,0,0,0,1,106,0,0,0,0,0,0,37,67,72,0,0,0,0,16,4,7,376
,079A021,6,29,41,0,0,0,1,20,0,0,0,0,0,0,49,96,12,0,0,0,0,11,1,28,294
,079A022,1,36,48,0,0,0,3,4,1,1,0,0,1,0,47,134,20,0,1,0,0,32,2,23,354
,079A023,7,27,6,0,0,0,1,36,0,0,0,0,2,0,55,151,17,0,0,0,0,45,7,52,406
,079A024,6,14,40,0,0,0,3,21,1,0,0,0,1,0,45,134,40,0,0,0,1,8,0,11,325
,079A025,5,12,59,0,0,0,0,14,0,0,0,0,2,0,53,172,52,0,0,0,0,12,0,23,404
,079A026,2,15,35,0,0,6,1,15,2,0,0,0,0,0,76,111,66,0,0,0,0,12,1,18,360
,079A027,6,29,35,0,3,35,1,15,0,0,0,0,1,0,83,113,62,0,1,0,0,14,3,14,415
,079A028,1,16,25,0,0,0,0,5,0,0,0,0,11,0,130,57,60,0,0,0,1,14,0,18,338
,079A029,2,22,11,0,0,0,0,23,1,1,0,0,0,0,158,97,31,0,1,0,0,12,3,17,379
,079A030,6,4,58,0,6,140,4,0,0,0,0,0,1,0,10,35,14,0,0,0,0,16,5,9,308
,079A031,10,13,75,0,1,19,0,56,1,1,0,0,0,0,19,90,27,0,1,0,1,26,5,18,363
,079A032,4,15,40,0,2,30,0,37,0,0,0,1,3,0,36,38,17,0,0,0,0,12,0,11,246
,079A033,9,29,22,2,0,7,1,29,0,0,0,0,7,0,42,81,78,0,2,0,0,85,0,19,413
,079A034,9,21,44,0,0,3,0,16,0,0,0,0,2,0,36,147,58,0,0,0,1,61,0,13,411
,079A035A,7,23,38,0,0,0,1,13,0,0,0,0,1,0,20,129,68,0,0,0,0,52,1,14,367
,079A035B,5,8,16,0,1,0,1,10,1,0,1,0,0,0,14,117,40,0,0,0,0,54,2,10,280
,079A036,9,22,11,0,0,0,0,10,1,0,0,0,0,0,19,47,22,0,0,0,0,196,0,8,345
,079A037,3,24,14,0,0,0,0,19,0,0,0,0,0,0,28,106,13,0,0,0,0,311,0,17,535
,079A038,4,1,15,0,0,0,1,11,0,0,0,0,3,0,26,76,15,0,1,0,0,155,2,20,330
,079A039,1,9,11,0,0,1,4,12,0,0,0,0,6,0,20,88,13,0,0,0,0,182,0,27,374
,079A040,1,5,32,0,0,1,6,18,1,0,0,0,9,0,27,228,17,0,2,0,0,143,3,22,515
,079A041A,6,5,27,0,0,4,3,15,1,0,0,0,3,0,18,186,15,0,0,0,1,130,0,9,423
,079A041B,4,4,28,0,0,0,4,14,0,0,0,0,1,0,14,197,16,0,5,0,0,97,1,8,393
,079A042,2,1,26,0,9,102,0,6,0,0,0,0,0,0,11,14,44,0,0,0,0,3,0,6,224
,079A043,9,4,18,0,0,1,4,17,0,0,0,0,2,0,18,70,73,0,0,0,0,12,4,8,240
,079A044,5,3,36,0,0,19,1,17,0,0,1,0,4,0,30,157,120,0,0,0,0,11,11,6,421
,079A045,9,10,15,0,0,0,6,11,0,0,0,1,4,0,23,142,82,1,0,0,0,6,15,11,336
,079A046,11,7,20,0,0,0,3,7,1,0,0,0,5,0,46,128,48,0,0,0,0,24,8,14,322
,079A047,18,14,27,0,0,0,1,8,2,0,0,0,1,0,36,198,26,0,0,0,0,57,2,12,402
,079A048A,7,8,21,0,0,0,1,11,0,0,0,0,2,0,49,107,45,0,1,0,0,31,4,5,292
,079A048B,9,20,21,0,0,0,1,8,0,2,0,0,0,0,31,152,36,0,0,1,1,34,4,6,326
,079A049,4,21,23,0,0,0,1,6,1,0,0,0,3,0,36,166,65,0,0,0,0,27,3,7,363
,079A050,7,13,23,0,6,81,3,16,7,0,0,0,1,0,18,64,12,0,0,0,0,8,5,15,279
,079A051,5,17,75,0,5,38,0,38,2,2,0,0,0,0,62,89,28,0,1,0,1,26,5,7,401
,079A052A,5,27,26,0,0,5,0,13,3,1,0,0,5,0,36,58,24,0,0,0,1,19,1,10,234
,079A052B,8,34,49,2,0,10,1,26,2,0,0,0,16,0,40,92,36,0,0,0,2,11,2,14,345
,079A052C,3,32,21,0,0,0,0,11,1,0,1,0,3,0,25,48,10,0,0,0,0,14,1,14,184
,079A053,6,26,28,0,0,0,2,29,2,0,1,0,3,0,22,79,37,0,0,0,0,7,2,4,248
,079A054,5,58,16,0,0,6,2,26,0,0,0,0,0,0,21,87,27,0,1,0,0,15,0,28,292
,079A055,9,193,33,2,0,1,4,39,0,0,0,0,3,0,28,81,12,0,1,0,0,23,2,14,445
,079A056A,6,17,20,0,0,3,2,38,1,0,0,0,1,0,40,99,25,0,0,0,0,13,3,52,320
,079A056B,4,11,21,0,0,0,3,45,0,0,0,0,1,0,27,95,16,0,0,0,0,12,0,57,292
,079A056C,10,4,37,0,0,2,2,25,0,0,1,0,0,0,40,67,10,0,1,0,1,2,1,56,259
,079A057,2,17,14,0,0,0,0,27,0,1,0,0,5,0,32,84,16,0,0,0,0,24,1,27,250
,079A058,3,11,17,0,0,3,2,17,0,0,0,0,6,0,28,68,9,0,0,0,1,17,0,13,195
,079A059,1,15,25,0,1,12,6,23,2,0,0,0,3,0,36,46,23,0,0,0,0,9,1,14,217
,079A060,8,22,29,0,0,0,2,27,1,0,0,0,4,0,30,63,14,0,0,0,1,9,1,6,217
,079A061,5,14,48,0,1,25,4,34,0,1,1,0,6,0,72,61,65,0,0,0,0,18,9,14,378
,079A062,3,6,31,0,1,11,10,28,1,0,0,0,4,0,45,47,50,0,0,0,0,23,3,15,278
,079A063A,9,7,41,0,2,16,8,38,4,1,1,0,2,0,59,90,58,0,1,0,0,40,1,12,390
,079A063B,6,2,43,1,2,10,2,14,2,0,0,0,1,0,35,55,34,2,0,0,0,31,1,20,261
,079A064A,6,25,45,0,0,10,2,13,0,0,0,0,1,0,32,51,34,1,0,0,0,24,5,14,263
,079A064B,5,11,29,0,4,18,2,33,2,0,0,0,2,0,31,52,22,0,0,0,0,26,2,6,245
,079A065,8,12,43,0,2,19,2,33,0,1,0,0,2,0,42,54,53,0,1,0,0,10,4,17,303
,079A066,4,15,36,0,0,1,0,19,0,0,0,0,1,1,47,48,21,0,1,0,2,13,2,34,245
,079A067,3,4,45,0,0,21,1,15,5,0,0,0,1,0,40,105,60,0,0,1,1,21,4,12,339
,079A068A,8,13,32,0,2,6,3,4,1,0,0,0,3,1,31,46,25,0,0,0,0,22,0,19,216
,079A068B,2,13,17,0,0,6,0,11,1,0,0,0,0,0,18,24,20,0,0,0,0,8,0,3,123
,079A069,4,3,40,0,3,29,2,11,2,0,0,0,7,0,36,38,28,0,0,0,0,7,1,7,218
,079A070,12,12,62,0,0,15,2,50,2,0,0,0,6,0,66,85,47,0,1,0,0,31,5,11,407
,079A071,5,9,43,1,3,21,1,7,5,0,0,1,5,0,41,76,13,0,0,0,0,20,5,17,273
,080A000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,080A001,0,28,17,0,0,0,6,7,3,0,0,0,0,0,36,101,40,0,3,0,0,40,4,0,285
,080A002,8,20,23,1,0,0,0,14,1,0,0,0,0,0,29,89,67,0,0,0,0,39,8,1,300
,080A003,6,11,37,0,0,0,0,16,0,0,0,0,3,0,14,110,85,0,3,0,1,31,10,8,335
,080A004,3,9,27,0,0,0,2,18,0,0,0,0,1,0,33,84,79,0,1,0,0,31,9,2,299
,080A005A,2,39,22,0,0,0,1,14,0,0,0,0,1,0,12,139,30,0,1,0,2,44,1,0,308
,080A005B,2,23,23,0,0,0,0,13,0,0,0,0,1,0,25,94,30,0,0,0,0,31,1,0,243
,080A006A,4,22,9,0,0,0,0,10,0,1,1,0,0,0,13,85,21,0,0,0,0,29,1,3,199
,080A006B,3,16,12,0,0,0,2,26,0,0,0,0,0,0,4,124,16,0,0,0,0,38,0,0,241
,080A007A,3,11,31,0,0,0,6,18,1,0,1,0,4,0,24,95,70,0,0,0,0,51,5,4,324
,080A007B,6,25,35,1,0,0,7,33,1,0,0,0,7,0,45,121,90,0,0,0,1,41,2,3,418
,080A007C,0,2,13,0,0,0,0,9,0,0,0,0,2,0,0,7,12,0,0,0,0,7,0,0,52
,080A008,1,12,14,0,0,0,2,27,0,0,0,0,1,0,25,103,37,0,0,0,0,36,9,1,268
,080A009A,2,25,17,0,0,0,0,61,0,1,0,0,6,0,27,79,91,0,0,0,0,25,8,3,345
,080A009B,14,30,21,0,0,1,1,35,3,5,0,0,15,0,34,134,114,0,1,0,0,31,4,1,444
,080A009C,2,23,32,0,0,0,2,21,1,0,0,0,3,0,10,81,95,0,0,0,0,10,6,0,286
,080A010A,7,27,14,0,0,0,0,33,0,0,0,0,0,0,29,73,37,0,0,0,0,19,0,0,239
,080A010B,3,15,12,0,0,0,0,6,0,0,0,0,2,0,9,82,16,0,0,0,0,15,5,1,166
,080A011A,3,22,26,0,1,0,0,110,0,1,0,0,1,0,13,104,36,0,0,0,0,14,0,4,335
,080A011B,2,31,14,0,0,0,2,121,0,0,0,0,0,0,19,62,65,0,1,0,0,26,0,1,344
,080A011C,0,12,10,0,0,0,1,138,0,0,0,0,2,0,12,48,23,0,0,0,0,11,0,16,273
,080A012A,7,14,29,0,0,0,1,48,1,0,0,0,0,0,54,132,110,0,1,0,1,20,1,7,426
,080A012B,3,1,30,0,0,0,1,37,0,0,0,0,0,0,19,77,55,0,0,0,1,7,0,1,232
,080A012C,0,19,19,0,0,0,0,20,0,0,0,0,0,0,24,55,45,0,0,0,0,8,0,18,208
,080A013,0,5,2,0,0,0,0,6,0,0,0,0,0,3,3,1,4,1,0,0,0,0,0,0,25
,080A014A,15,21,12,0,1,0,0,26,0,0,0,0,0,0,54,88,62,0,2,0,0,134,1,1,417
,080A014B,2,19,12,0,0,0,0,38,0,0,0,0,1,1,8,96,22,0,0,0,0,74,2,1,276
,080A014C,0,25,14,0,0,0,0,37,1,0,0,1,3,0,45,101,50,0,0,0,0,163,1,3,444
,080A014D,4,15,8,0,0,0,0,23,0,0,0,0,5,0,19,24,25,0,0,0,0,59,0,0,182
,080A015A,2,18,6,0,4,0,1,36,0,1,0,0,3,0,62,239,49,0,0,0,5,16,1,7,450
,080A015B,3,7,6,0,1,0,0,18,0,0,0,0,3,0,35,191,62,1,0,0,0,12,5,0,344
,080A015C,1,4,3,0,2,0,0,20,0,0,0,0,2,0,43,195,31,0,0,0,0,7,0,0,308
,080A016A,4,37,25,0,1,0,1,28,1,0,0,0,1,0,39,191,120,0,0,0,0,22,0,5,475
,080A016B,10,34,31,0,0,0,3,21,1,0,0,0,2,0,37,123,93,0,0,0,2,25,0,5,387
,080A016C,2,54,25,0,0,0,1,39,0,0,0,0,2,0,17,92,39,0,0,0,0,21,1,5,298
,080A016D,0,30,8,0,0,0,0,9,0,0,0,0,1,0,16,85,63,0,0,0,0,8,0,1,221
,080A017A,4,73,11,0,0,0,0,116,0,0,0,0,20,0,36,105,51,0,0,0,0,85,2,2,505
,080A017B,3,66,12,0,0,0,1,39,0,0,0,0,0,0,25,97,16,0,0,0,1,65,1,0,326
,080A018A,1,6,10,0,0,0,0,27,0,0,0,0,2,0,12,126,20,0,0,0,1,27,3,0,235
,080A018B,0,22,20,0,0,0,0,43,0,0,0,2,0,0,16,80,51,0,0,0,0,15,0,0,249
,080A019,0,19,1,0,0,0,0,16,0,0,0,0,0,0,4,247,13,0,0,0,0,1,2,0,303
,080A020,3,33,27,0,0,0,1,4,3,0,0,0,3,0,52,188,13,0,0,0,1,8,3,0,339
,080A021,4,16,12,0,0,0,0,43,0,1,0,0,1,0,13,80,65,1,0,0,0,44,2,2,284
,080A022,0,15,10,0,0,0,2,4,0,0,0,0,2,0,7,163,12,0,0,0,0,38,0,0,253
,080A023A,6,13,18,0,0,0,0,62,2,0,0,0,0,0,6,103,52,0,0,0,1,20,0,3,286
,080A023B,6,7,57,1,0,0,0,38,0,0,0,0,0,0,14,115,101,0,0,0,1,20,2,2,364
,080A023C,0,6,20,0,0,0,0,5,0,0,0,0,0,0,8,49,23,0,0,0,0,10,1,0,122
,080A024,3,11,9,0,0,0,2,10,0,0,0,0,2,0,10,141,68,0,0,0,0,14,1,2,273
,080A025,2,16,2,0,0,0,0,2,0,0,0,0,0,0,7,107,23,0,0,0,0,18,0,0,177
,080A026A,6,17,20,0,0,0,0,32,0,0,0,0,4,1,9,100,172,0,0,0,0,14,6,1,382
,080A026B,0,6,9,0,0,0,1,8,0,0,0,0,0,1,7,70,96,1,0,0,0,4,1,0,204
,080A027,3,27,19,0,0,2,0,38,0,0,0,0,0,0,22,45,54,0,0,0,1,13,3,0,227
,082A000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,082A001A,2,11,10,0,0,0,0,0,1,0,1,0,0,0,1,124,0,0,0,0,0,43,0,1,194
,082A001B,0,10,14,0,0,1,0,1,0,0,0,0,0,0,2,192,10,0,0,0,2,128,0,0,360
,082A002,1,2,7,0,0,0,0,2,0,0,0,0,0,0,6,235,42,0,0,0,0,138,0,0,433
,082A003,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,427,3,0,0,0,0,282,0,0,715
,082A004,0,1,3,0,0,0,1,0,2,0,0,0,0,0,1,213,3,0,0,0,0,126,0,0,350
,082A005A,0,21,21,0,0,0,2,1,0,0,0,0,2,0,20,262,0,0,0,0,0,71,0,1,401
,082A005B,0,9,18,0,0,0,0,0,0,0,0,0,6,0,4,210,13,0,0,0,0,146,0,0,406
,082A005C,0,3,6,0,0,0,0,0,0,0,0,0,5,0,1,179,10,0,0,0,0,85,1,0,290
,082A006,0,6,19,0,0,0,0,3,0,0,0,0,42,0,3,120,3,0,0,0,0,131,0,2,329
,082A007A,0,1,27,0,0,0,0,1,0,0,0,0,3,0,4,177,7,0,0,0,0,217,0,4,441
,082A007B,0,2,37,0,0,0,1,0,0,0,0,0,0,0,1,162,0,0,0,0,0,155,0,0,358
,082A007C,0,0,17,0,0,0,1,0,0,0,0,0,0,0,7,115,4,0,0,0,0,138,3,0,285
,082A008,1,7,4,0,0,0,0,0,0,0,0,0,2,0,6,279,13,0,1,0,1,200,0,3,517
,082A009,0,0,24,0,0,0,0,2,0,0,0,0,5,0,7,188,4,0,1,0,0,113,0,0,344
,082A010,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,13,0,0,0,0,0,20,0,0,35
,098A000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,098A001,1,4,22,0,0,0,0,38,10,0,0,0,2,0,19,199,4,1,0,0,1,201,8,4,514
,098A002,2,2,46,0,0,0,0,7,8,0,0,0,0,0,9,170,2,0,0,0,2,61,6,2,317
,098A003,2,6,19,0,0,0,0,20,0,0,0,0,4,0,10,115,3,0,0,0,0,4,5,0,188
,098A004,1,8,33,0,0,0,0,17,1,0,1,0,3,3,15,115,7,0,0,0,2,34,1,2,243
,098A005,0,5,14,0,0,1,0,4,1,0,0,0,1,0,9,126,7,0,0,0,0,75,8,0,251
,098A006,1,6,53,0,0,0,0,5,2,0,0,0,4,0,14,94,6,0,0,1,0,9,13,1,209
,098A007,1,1,6,0,0,0,0,0,0,0,0,0,0,0,9,179,11,0,0,0,0,9,11,4,231
,098A008,1,1,6,0,0,0,0,5,0,0,0,0,0,0,11,141,12,0,0,0,0,65,14,5,261
,098A009,4,7,13,0,0,0,0,6,1,0,0,0,1,0,27,49,18,0,0,0,0,90,21,0,237
,098A010,3,7,24,0,0,0,1,9,0,0,0,0,1,0,8,46,24,0,0,0,0,123,141,4,391
,098A011,4,4,8,0,0,0,0,8,0,0,0,0,0,0,12,57,13,0,0,0,0,20,2,1,129
,098A012,3,9,43,0,0,1,0,3,3,0,0,1,5,0,46,164,40,0,4,0,0,47,55,4,428
,098A013,1,2,38,0,0,0,0,12,2,0,0,0,2,0,42,49,8,0,1,0,0,91,42,2,292
,098A014,2,13,25,0,0,0,1,15,3,0,0,0,10,0,20,69,31,0,0,0,0,52,24,0,265
,098A015,7,6,28,0,0,0,4,21,1,0,0,1,10,0,29,82,13,0,0,0,0,36,7,2,247
,098A016,4,7,19,1,0,1,1,51,3,0,0,0,3,0,26,115,9,0,0,0,0,43,7,0,290
,098A017,0,9,10,0,0,0,0,6,0,0,0,0,3,0,15,94,2,0,1,0,1,27,0,1,169
,098A018,8,11,49,0,0,0,0,44,9,0,0,1,1,0,20,158,29,0,0,0,2,49,9,3,393
,098A019,1,1,19,0,0,0,0,4,0,0,0,0,9,0,35,68,14,0,0,0,1,63,22,2,239
,098A020,5,15,39,0,0,2,0,25,8,0,0,0,2,1,24,80,22,0,0,0,1,33,9,2,268
,098A021,7,28,34,0,2,0,0,19,9,0,0,0,4,0,19,101,33,0,0,0,1,38,17,3,315
,098A022,0,10,41,0,0,0,0,38,3,0,0,0,1,0,12,88,34,1,0,0,0,39,14,0,281
