,BM,BOSS - BOSANSKA STRANKA-MIRNES AJANOVIĆ,BPS-SEFER HALILOVIĆ,DEMOKRATSKA FRONTA-ŽELJKO KOMŠIĆ,HDZ 1990 HRVATSKA DEMOKRATSKA ZAJEDNICA,"HDZ BIH, HSS, HKDU BIH, HSP HERCEG BOSNE",HSS STJEPANA RADIĆA,KAMENČIĆ AIDA,KOMUNISTIČKA PARTIJA,LABURISTIČKA STRANKA BOSNE I HERCEGOVINE LABURISTI BIH,LAVIĆ HARIS,NARODNA STRANKA RADOM ZA BOLJITAK,NAŠA STRANKA,NOVI POKRET BIH,POSAVSKA STRANKA,PRELJEVIĆ NEDIM,PRVA STRANKA,SAVEZ NEZAVISNIH SOCIJALDEMOKRATA - SNSD - MILORAD DODIK,SBB - FAHRUDIN RADONČIĆ,SDA - STRANKA DEMOKRATSKE AKCIJE,SDP-SOCIJALDEMOKRATSKA PARTIJA BIH,SDS-SRPSKA DEMOKRATSKA STRANKA,SELJAČKA STRANKA,SNAGA BOSNE I HERCEGOVINE (HSP BIH-DSI-SNAGA BOSNE-BNS),SOCIJAL DEMOKRATSKI FRONT BOSNE I HERCEGOVINE,STRANKA DIJASPORE BOSNE I HERCEGOVINE,STRANKA PRAVDE I RAZVOJA BOSNE I HERCEGOVINE,STRANKA ZA BOSNU I HERCEGOVINU,STRANKA ZA EVROPSKO SARAJEVO-SES,UNIJA SOCIJALDEMOKRATA-UNIJA ZA SVE NAS,ZAJEDNO ZA PROMJENE (SPP-SP/U-SDU-DNZ-LDS),Ukupno
,135A026,8,22,31,3,3,0,0,2,0,0,5,14,7,0,0,0,5,52,105,24,0,0,4,4,0,0,4,3,16,10,322
,135A027,11,11,85,0,2,0,0,1,0,0,5,16,8,0,1,1,4,97,88,19,0,0,0,0,4,0,9,5,7,9,383
,135A028,23,47,45,0,0,0,0,1,0,0,2,2,6,0,0,1,1,72,107,35,0,1,3,3,2,0,3,13,11,10,388
,135A029,15,19,51,0,0,0,1,1,0,0,5,13,5,0,0,0,2,50,97,24,2,0,3,1,2,0,1,4,17,8,321
,135A030,13,33,56,0,1,0,0,2,0,0,7,4,1,0,0,0,0,45,71,28,0,0,1,2,0,0,2,10,4,3,283
,135A031,3,20,81,0,0,1,0,0,0,0,6,2,4,0,0,0,0,48,111,31,1,0,1,0,3,0,4,4,4,6,330
,135A032,4,21,63,0,1,0,0,2,0,0,16,6,5,0,0,0,0,51,113,19,0,0,1,1,3,0,2,5,4,5,322
,135A033,1,21,76,2,0,0,0,1,0,0,8,10,2,0,0,1,0,65,116,26,0,0,0,2,2,0,4,6,4,3,350
,135A034,6,28,81,1,0,1,0,0,0,0,4,2,0,0,0,0,2,53,113,10,0,0,1,1,2,0,1,6,9,6,327
,135A035,1,22,65,2,0,0,0,0,0,0,3,3,4,0,0,0,0,62,81,32,0,0,0,2,0,0,1,4,19,2,303
,135A036,2,19,62,0,0,1,0,1,0,0,2,0,0,0,0,0,1,20,76,2,0,0,0,0,3,0,0,3,7,13,212
,136A000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,136A001,5,9,76,2,0,0,0,6,0,1,4,34,3,0,0,0,3,75,78,54,0,1,0,1,2,0,5,4,16,5,384
,136A002,7,21,85,0,0,0,1,3,1,0,9,44,2,0,0,0,0,107,121,46,0,0,1,0,5,0,2,4,16,6,481
,136A003,5,10,57,2,4,1,0,3,0,0,2,45,1,0,0,1,0,95,100,58,0,0,9,1,2,1,9,6,9,6,427
,136A004,8,26,61,1,2,0,0,4,0,0,23,46,0,0,0,0,0,81,85,34,0,0,3,2,0,0,5,13,15,8,417
,136A005,9,13,31,1,0,0,0,0,0,0,1,12,9,0,0,1,0,32,80,19,3,0,0,0,1,0,6,0,5,5,228
,136A006,12,32,55,1,0,0,1,0,0,1,2,14,15,0,0,1,2,49,137,37,0,0,4,0,5,0,15,11,1,2,397
,136A007,19,51,49,0,0,0,0,1,0,0,0,12,20,0,1,0,1,61,100,42,0,0,0,2,1,0,5,9,2,11,387
,136A008,13,37,55,1,0,0,0,1,0,0,1,7,12,0,0,0,0,64,168,47,0,0,0,1,0,0,6,8,3,9,433
,136A009,3,36,64,1,0,0,0,3,1,0,1,40,13,0,0,1,0,73,138,68,0,1,1,0,1,0,16,9,9,17,496
,136A010,1,5,68,4,4,1,0,10,0,0,1,100,5,0,0,0,4,52,50,48,0,0,1,2,0,0,0,9,11,4,380
,136A011,8,11,61,3,3,0,0,4,0,0,0,120,1,0,0,0,3,70,70,84,1,1,0,0,6,0,7,9,10,9,481
,136A012,4,10,78,1,2,0,0,11,0,0,5,85,0,0,0,0,0,47,100,48,0,0,0,0,0,0,12,3,11,5,422
,136A013,8,15,78,0,3,0,0,3,0,0,6,31,3,11,0,0,4,54,74,44,0,0,0,0,1,0,6,0,6,7,354
,136A014,13,15,69,1,2,1,0,4,0,0,0,65,12,0,0,1,2,58,111,60,0,1,2,2,1,0,5,6,6,10,447
,136A015,8,9,90,2,2,0,0,1,3,0,2,67,8,0,0,0,4,71,89,58,0,0,4,0,2,0,2,9,8,7,446
,136A016,8,6,34,4,0,0,0,3,0,0,1,40,18,0,0,2,3,48,35,46,0,0,0,3,2,1,2,13,6,5,280
,136A017,5,11,58,6,2,0,0,16,0,0,4,84,1,0,0,0,1,48,63,58,0,0,0,1,1,1,10,1,7,12,390
,136A018,1,8,65,4,1,0,0,4,0,0,3,94,2,0,0,0,1,62,54,68,0,0,1,1,0,1,3,5,13,10,401
,136A019,4,19,73,3,5,0,0,5,0,0,1,103,1,0,0,0,0,31,83,42,0,0,1,0,1,0,10,8,5,4,399
,136A020,4,13,72,4,3,0,0,5,0,0,1,82,2,0,0,0,2,63,83,47,0,0,0,1,0,1,13,7,10,7,420
,136A021,2,6,51,3,2,0,0,3,0,0,4,33,3,0,0,0,3,52,43,43,0,0,3,0,0,2,5,11,8,4,281
,136A022,1,15,39,2,0,0,0,5,0,0,0,45,1,0,0,0,0,48,46,33,0,0,1,0,1,0,4,4,6,4,255
,136A023,3,9,45,0,0,0,0,4,6,0,0,6,7,0,0,0,0,32,34,13,0,0,1,0,0,0,10,1,3,1,175
,136A024,0,8,62,6,3,1,0,6,0,0,2,87,1,0,1,1,2,38,46,34,0,0,7,1,1,1,5,5,11,13,342
,136A025,3,5,28,7,3,0,0,4,0,0,2,59,2,0,0,1,2,35,30,34,0,0,2,1,1,0,4,7,4,5,239
,136A026,1,9,57,4,4,0,0,12,0,0,2,81,1,0,0,1,0,21,53,49,2,1,1,1,1,0,3,5,4,7,320
,136A027,5,13,64,7,4,0,0,9,0,2,4,98,1,0,0,0,4,59,86,55,2,0,3,3,0,1,7,8,11,9,455
,136A028,5,10,49,4,1,1,1,1,0,0,4,83,4,0,1,3,2,49,39,63,1,1,1,1,0,0,9,9,9,9,360
,136A029,35,43,75,0,0,0,0,2,0,0,0,10,9,0,0,0,1,99,151,86,0,0,2,1,10,0,21,5,6,1,557
,136A030,17,12,78,0,0,0,1,1,0,0,0,9,8,0,0,0,0,74,134,106,0,0,4,3,14,2,6,7,2,12,490
,136A031,6,19,22,0,0,0,0,3,0,0,2,6,11,0,0,1,0,36,83,49,0,0,1,0,4,1,5,3,2,2,256
,136A032,7,8,54,0,2,0,0,5,0,0,9,14,16,0,0,0,0,78,84,40,0,0,3,2,0,0,8,0,12,1,343
,136A033,6,18,63,0,1,0,1,0,0,0,10,45,2,0,1,0,0,72,148,56,0,0,12,2,2,0,8,9,5,5,466
,136A034,17,12,68,0,0,0,0,2,0,0,6,32,3,0,0,0,0,52,94,57,0,0,2,1,5,0,9,5,7,6,378
,136A035,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,6,0,8,0,1,0,0,0,0,0,0,0,0,19
,136A036,5,20,86,1,3,0,0,6,0,0,4,48,2,1,0,0,1,74,50,52,1,0,8,1,1,1,9,7,6,13,400
,136A037,4,13,91,3,3,0,1,6,1,0,2,78,2,0,0,3,5,54,55,39,1,0,4,0,2,1,9,11,12,16,416
,136A038,5,18,75,2,2,0,0,5,0,0,1,71,7,0,0,0,1,51,73,52,0,0,1,2,5,2,8,8,20,10,419
,136A039,1,11,58,2,0,0,0,2,0,0,2,79,1,0,0,1,0,63,70,53,1,1,3,2,2,0,7,13,7,6,385
,136A040,1,15,62,4,2,0,1,7,0,0,0,69,4,0,0,0,2,85,42,59,0,0,0,0,1,0,5,3,5,6,373
,136A041,11,13,61,4,1,0,0,6,0,0,1,41,3,0,0,3,1,61,47,45,0,0,0,1,0,0,11,6,8,10,334
,136A042,7,7,58,4,5,0,0,3,0,0,3,32,6,0,0,0,4,64,58,37,0,0,1,1,1,0,7,6,6,8,318
,136A043,4,13,76,0,7,0,1,2,2,0,3,46,1,0,0,0,1,78,70,41,0,0,3,2,1,0,11,10,11,11,394
,136A044,10,10,52,3,2,0,1,5,0,0,1,33,3,0,0,1,2,46,30,47,0,0,2,1,1,0,3,4,5,8,270
,136A045,9,9,48,7,10,0,0,6,0,0,1,64,2,0,0,0,0,46,57,32,2,0,1,0,2,0,16,8,10,13,343
,136A046,4,4,46,4,1,0,0,5,0,0,1,58,2,0,0,0,4,46,46,43,4,0,6,1,0,0,8,1,8,4,296
,136A047,1,10,68,3,4,0,0,7,0,0,1,46,0,0,0,2,3,39,37,28,1,0,0,0,0,0,14,5,12,9,290
,136A048,2,8,64,4,11,0,0,4,0,0,2,58,5,0,0,0,2,49,38,44,0,1,0,2,1,0,11,8,8,4,326
,136A049,5,13,37,4,5,1,0,10,0,0,0,48,0,0,0,1,5,39,45,37,1,0,0,0,1,1,4,6,4,6,273
,136A050,5,12,70,5,4,0,0,1,0,0,3,90,2,0,0,0,5,51,41,38,0,0,0,0,1,0,13,6,12,4,363
,136A051,2,6,79,7,2,0,0,9,0,0,2,58,6,0,0,2,3,41,75,36,0,0,5,2,0,0,4,7,11,5,362
,136A052,2,16,62,3,8,0,1,9,0,0,1,89,1,0,0,3,0,56,57,38,0,0,3,0,0,0,6,10,3,3,371
,136A053,3,11,58,3,2,0,0,4,0,0,3,64,1,0,0,0,1,56,36,42,0,1,1,0,1,1,9,7,3,6,313
,136A054,0,3,50,3,1,0,0,7,0,0,1,52,5,0,0,0,2,57,66,39,0,0,0,2,0,0,5,7,7,6,313
,136A055,5,10,80,4,5,0,0,4,0,1,1,40,2,0,0,0,1,69,58,64,1,0,0,0,2,0,11,11,5,4,378
,136A056,2,11,76,16,6,0,2,9,0,0,2,78,9,0,0,0,0,40,71,53,1,0,1,0,2,1,6,5,9,5,405
,136A057,0,7,47,0,7,0,0,5,0,1,2,63,3,0,0,0,1,49,70,26,0,0,1,0,0,1,6,6,9,11,315
,136A058,5,13,73,7,2,0,0,6,1,0,1,48,3,0,0,0,2,55,66,51,0,0,0,0,0,0,4,5,7,7,356
,136A059,1,13,56,5,13,0,0,5,0,0,0,49,5,0,0,1,3,67,55,52,1,0,2,0,0,1,14,16,10,8,377
,136A060,8,4,56,3,8,1,0,6,0,0,0,112,2,0,1,2,5,41,61,71,1,0,1,1,0,0,7,8,4,8,411
,136A061,2,5,66,5,5,0,0,11,0,0,0,71,2,0,0,0,11,33,56,42,0,0,4,1,2,0,7,3,8,6,340
,136A062,4,8,84,6,0,0,0,10,0,0,3,62,4,0,0,1,4,61,75,67,0,0,6,1,2,0,7,10,10,10,435
,136A063,13,10,69,2,4,0,0,6,0,0,10,68,6,0,0,1,6,54,54,50,0,0,7,4,0,0,12,3,17,7,403
,136A064,4,12,58,1,0,0,0,1,0,0,6,16,4,0,0,0,6,48,70,36,0,0,0,0,1,0,7,5,9,8,292
,136A065,14,22,66,0,1,0,0,2,0,0,6,14,18,0,0,0,1,71,101,51,0,0,1,0,4,0,6,5,12,7,402
,136A066,3,15,60,0,0,0,0,1,0,0,0,2,21,0,0,0,1,41,61,61,0,0,1,1,1,0,5,5,8,4,291
,136A067,4,20,93,2,7,0,0,7,0,0,1,81,9,0,0,0,1,68,85,48,0,0,0,1,0,1,4,8,7,10,457
,136A068,10,5,82,5,8,0,0,3,0,1,2,89,5,0,0,0,1,54,68,61,1,0,0,1,2,0,7,6,13,6,430
,136A069,11,13,76,8,8,0,2,7,0,0,2,97,2,0,0,0,5,66,66,56,0,1,1,0,3,0,3,5,8,7,447
,136A070,10,17,71,8,0,0,0,3,1,0,8,60,1,0,1,0,3,82,90,51,0,0,5,2,2,0,3,5,16,7,446
,136A071,10,17,68,1,1,0,0,7,0,0,8,45,2,0,0,0,0,89,144,34,0,0,1,3,7,0,29,8,9,6,489
,136A072,13,22,74,0,0,0,2,4,0,2,4,18,8,0,0,2,0,86,131,31,0,0,0,3,6,0,22,5,7,22,462
,136A073,13,16,79,1,2,0,0,6,0,0,0,34,4,0,0,1,0,62,150,33,0,1,2,0,3,0,4,10,6,7,434
,136A074,15,19,51,1,0,0,0,3,0,1,8,13,13,0,0,0,0,55,136,48,0,0,2,4,2,1,6,0,13,19,410
,136A075,5,13,55,5,2,0,0,7,0,0,0,78,0,0,1,0,3,42,44,59,1,0,2,0,0,0,7,4,13,8,349
,136A076,5,8,55,3,2,0,0,9,0,1,2,57,0,0,0,1,1,28,39,25,1,1,0,2,3,0,6,7,9,5,270
,136A077,5,7,51,3,12,0,0,8,0,0,2,65,1,0,0,1,3,29,44,36,1,0,0,0,0,0,5,2,6,3,284
,136A078,4,2,62,2,2,0,0,5,0,1,5,61,2,0,1,0,4,25,44,29,1,0,2,1,3,0,11,2,9,10,288
,136A079,3,4,41,2,4,0,0,4,0,0,4,61,1,0,0,1,4,39,33,39,0,0,0,0,1,0,3,2,4,4,254
,136A080,3,11,54,1,0,0,0,1,0,0,5,89,1,0,0,0,2,43,42,62,0,0,0,0,3,0,8,7,10,6,348
,136A081,0,1,20,0,4,0,0,1,0,0,0,29,1,0,0,0,2,9,22,18,0,0,0,1,0,0,1,0,2,0,111
,136A082,14,24,75,0,0,0,0,4,0,0,3,43,4,0,0,0,0,53,127,42,0,0,1,3,4,0,11,6,13,9,436
,136A083,4,29,50,0,0,0,1,0,0,0,0,9,8,0,0,2,0,75,146,57,0,0,4,2,47,1,4,5,3,3,450
,137A000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,137A001,7,29,116,1,0,0,0,2,0,0,3,11,7,0,0,2,0,121,110,14,0,0,1,1,1,0,9,5,5,19,464
,137A002,15,13,95,1,0,0,0,2,0,0,2,24,2,0,0,0,0,121,86,40,0,0,3,1,0,0,5,7,20,0,437
,137A003,4,31,87,0,0,0,0,2,0,0,1,10,2,1,0,0,0,114,81,35,0,0,2,1,1,0,18,12,8,5,415
,137A004,9,31,50,1,0,1,0,6,0,0,0,18,2,0,0,0,0,112,78,27,0,0,0,2,0,0,11,6,8,3,365
,137A005,12,24,55,0,1,0,1,5,0,0,2,12,3,0,0,0,0,115,53,14,0,0,4,1,3,0,10,9,9,6,339
,137A006,11,44,67,0,1,0,0,2,0,0,3,7,2,0,0,0,0,93,72,19,0,0,6,1,2,0,5,5,13,3,356
,137A007,8,25,94,1,0,0,3,3,0,0,4,10,1,0,0,0,0,95,81,24,0,0,4,3,2,2,10,15,14,2,401
,137A008,6,25,74,0,0,1,1,7,0,0,6,28,3,0,0,2,1,62,79,33,0,0,1,2,2,0,13,10,11,13,380
,137A009,7,57,77,0,0,0,0,2,0,0,4,18,1,1,0,0,0,115,90,17,1,1,0,1,1,0,6,15,24,11,449
,137A010,12,39,67,2,0,0,1,6,0,0,13,14,11,0,0,0,0,123,76,20,0,0,0,3,0,0,11,6,32,3,439
,137A011,48,46,49,0,1,1,1,4,3,0,8,11,2,0,0,0,0,113,152,47,0,1,1,0,1,0,9,2,13,12,525
,137A012,7,17,70,0,0,0,0,7,0,0,1,50,5,0,0,0,0,84,105,25,1,0,1,1,0,0,4,7,22,14,421
,137A013,9,15,73,1,2,0,0,4,0,0,1,35,1,0,0,1,0,83,69,29,0,0,2,2,0,0,14,6,14,2,363
,137A014,4,17,67,2,4,0,0,6,0,0,3,58,1,0,0,0,0,78,107,38,0,0,3,2,3,1,10,7,16,7,434
,137A015,6,18,66,6,3,0,1,4,0,1,9,62,5,0,0,1,2,98,75,30,0,0,3,2,2,1,18,3,23,12,451
,137A016,14,23,61,1,0,0,1,5,0,0,3,53,4,0,0,0,1,90,105,41,0,0,5,2,5,1,28,7,4,7,461
,137A017,1,23,70,2,2,0,0,6,0,0,6,40,7,0,0,0,0,89,119,35,0,0,4,1,3,0,15,7,13,2,445
,137A018,7,22,94,0,3,0,1,6,0,0,2,63,12,0,0,0,0,69,78,40,0,0,0,0,5,0,3,13,12,14,444
,137A019,86,26,60,0,5,1,0,0,2,0,0,10,3,0,1,1,0,144,81,37,1,1,0,1,2,2,8,6,11,4,493
,137A020,38,38,87,1,0,0,0,6,0,0,2,9,8,0,0,0,0,112,93,53,0,1,1,1,1,0,11,8,12,1,483
,137A021,19,21,55,0,4,0,0,1,1,0,8,16,4,0,0,0,0,135,101,46,0,0,0,2,1,0,20,11,11,7,463
,137A022,37,20,91,0,1,0,0,0,1,0,4,12,4,0,0,1,1,85,126,36,0,1,0,0,0,0,2,7,27,13,469
,137A023,10,25,88,0,1,1,0,4,0,0,2,17,12,0,0,0,1,167,105,35,0,1,3,1,3,1,16,5,7,6,511
,137A024,11,19,68,0,1,1,3,5,0,0,2,25,3,0,0,1,0,125,151,34,0,0,2,2,2,0,10,4,17,14,500
,137A025,10,14,81,0,0,0,0,5,0,1,7,31,18,0,0,0,0,100,100,48,0,0,0,4,4,0,20,7,14,6,470
,137A026,7,12,61,0,3,0,9,1,0,0,1,26,3,0,0,0,0,103,42,44,0,0,0,0,0,0,16,9,33,5,375
,137A027,17,14,64,1,0,0,0,3,0,0,0,47,2,0,0,0,0,62,109,38,0,0,3,2,3,0,10,9,17,5,406
,137A028,3,22,57,2,0,0,0,3,0,0,1,47,3,0,0,1,0,59,87,31,0,0,0,0,3,0,33,8,15,4,379
,137A029,10,20,71,1,0,0,0,8,0,0,11,18,3,0,0,3,0,112,75,27,1,0,1,1,0,0,14,6,7,9,398
,137A030,7,33,67,0,0,0,0,0,0,0,7,27,2,0,0,1,0,109,110,29,0,1,0,0,1,0,10,9,9,0,422
,137A031,12,24,104,0,0,0,0,4,0,1,4,48,5,0,0,0,0,96,76,26,0,0,2,3,1,0,6,18,10,11,451
,137A032,1,21,99,0,0,0,1,3,0,0,9,31,11,0,0,1,0,86,94,22,0,0,0,2,6,0,7,15,10,2,421
,137A033,9,12,82,1,1,0,1,7,0,1,9,69,3,0,0,0,2,67,90,34,0,0,1,3,3,0,9,2,11,4,421
,137A034,10,18,77,0,0,0,2,8,0,0,5,26,4,0,0,0,1,87,126,33,0,0,8,1,3,1,12,14,23,10,469
,137A035,24,14,75,0,0,0,0,2,0,0,2,20,4,0,0,1,0,105,133,48,0,0,2,0,7,0,10,13,8,11,479
,137A036,18,13,72,1,0,0,0,1,0,0,6,31,16,0,0,1,0,67,71,32,0,0,25,1,6,0,4,9,6,9,389
,137A037,8,20,75,1,0,0,1,13,0,0,9,13,4,0,0,0,0,122,122,52,0,0,0,1,5,0,11,13,17,16,503
,137A038,5,10,56,9,11,0,0,5,0,0,0,71,4,0,0,0,1,67,66,31,0,0,1,0,2,0,4,4,11,11,369
,137A039,2,13,58,1,2,0,0,2,0,0,7,60,1,0,0,0,0,84,82,34,0,0,5,0,1,1,3,3,1,12,372
,137A040,5,17,79,4,0,0,0,5,0,0,0,80,3,0,0,0,0,68,60,33,0,0,2,2,2,0,10,3,18,9,400
,137A041,5,15,71,1,1,0,0,2,0,0,2,67,1,0,1,0,0,80,123,42,2,0,2,3,1,1,5,9,21,17,472
,137A042,16,24,79,0,0,0,0,0,0,0,6,55,2,0,0,0,3,85,85,57,1,0,1,0,6,1,8,8,20,18,475
,137A043,9,19,89,2,0,0,0,8,0,0,3,64,2,0,0,4,2,87,64,49,2,0,0,1,2,0,1,16,8,3,435
,137A044,5,11,68,1,3,0,1,9,0,0,3,67,4,1,0,1,0,91,84,40,1,0,8,0,1,0,1,7,11,4,422
,137A045,2,6,71,2,0,0,1,3,0,0,4,72,2,0,0,3,3,79,56,41,2,1,3,0,1,0,6,10,12,7,387
,137A046,1,6,67,4,4,0,0,12,0,0,1,78,2,0,0,0,1,66,77,48,0,0,2,0,2,0,3,10,11,3,398
,139A000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,139A001,8,15,81,2,2,0,0,2,0,1,3,30,3,0,0,0,3,53,85,27,0,0,0,1,1,1,4,4,7,5,338
,139A002,13,9,49,1,7,0,0,6,0,1,0,32,6,0,0,0,0,42,51,26,0,2,2,1,2,0,4,3,15,5,277
,139A003,4,13,69,4,8,0,0,15,0,0,0,66,1,0,0,11,1,49,45,24,1,1,0,0,1,0,4,6,2,6,331
,139A004,3,6,48,2,4,1,0,8,0,0,4,53,0,0,0,0,1,30,39,29,1,0,3,0,1,0,2,5,11,5,256
,139A005,6,9,67,8,3,0,0,4,0,0,1,75,2,0,0,0,0,31,58,35,1,1,3,1,1,0,3,4,11,2,326
,139A006,3,11,39,6,4,0,0,6,1,1,2,31,0,1,0,1,3,34,54,16,1,0,5,0,3,1,7,10,9,4,253
,139A007,0,10,61,1,3,0,0,19,0,0,2,41,5,0,0,1,2,41,60,31,0,0,2,0,2,0,4,8,11,8,312
,139A008,10,5,50,4,0,0,0,2,0,0,0,53,7,0,0,0,2,49,36,25,2,0,1,0,1,0,13,6,7,21,294
,139A009,4,3,78,2,2,0,1,7,0,0,2,64,1,0,0,0,2,46,44,38,0,1,1,0,5,0,2,1,4,2,310
,139A010,10,7,60,4,13,0,0,6,0,0,1,70,3,0,0,0,4,86,47,40,1,2,1,1,2,0,5,7,8,5,383
,139A011,3,12,61,2,1,0,1,8,0,0,6,39,1,0,0,3,1,53,79,16,0,0,0,1,1,0,2,13,13,6,322
,139A012,9,9,38,4,4,0,0,5,0,0,1,29,1,0,0,1,2,58,50,28,0,0,2,3,0,0,8,5,8,0,265
,139A013,6,6,54,5,1,0,0,7,0,0,2,38,2,0,0,0,2,50,48,38,1,0,1,2,3,0,3,12,12,7,300
,139A014,4,9,47,3,13,1,0,3,0,0,3,74,10,0,0,1,3,33,57,35,0,0,1,0,1,0,11,9,11,5,334
,139A015,12,5,71,2,2,0,0,7,1,0,5,54,4,0,0,0,1,43,71,22,0,0,1,0,2,0,11,9,11,19,353
,139A016,5,18,56,2,4,0,0,7,1,0,3,60,4,0,0,0,5,51,32,34,0,0,2,2,2,0,3,4,10,9,314
,139A017,7,9,68,2,2,0,0,8,0,0,0,51,5,0,0,1,4,44,33,21,0,0,0,0,2,0,4,13,3,6,283
,139A018,2,8,37,0,3,0,0,2,0,0,4,42,6,0,0,3,3,34,51,23,1,0,1,0,0,0,9,5,4,26,264
,139A019,7,16,88,0,3,1,0,8,1,1,2,47,1,0,0,1,0,80,51,35,1,0,1,0,1,0,4,14,17,12,392
,139A020,3,12,72,1,1,0,0,3,0,0,2,55,0,0,1,0,3,63,86,33,0,0,0,0,2,1,9,7,10,7,371
,139A021,6,9,71,5,1,0,0,12,0,0,3,67,2,0,0,1,4,58,60,28,0,0,3,0,0,0,6,7,6,3,352
,139A022,2,23,62,5,3,0,1,3,0,0,4,52,8,0,0,0,5,60,59,22,0,0,2,2,3,0,2,8,2,13,341
,139A023,3,14,55,3,3,0,0,6,0,0,1,53,2,0,0,3,1,39,36,20,0,0,7,0,1,0,4,9,7,7,274
,139A024,8,15,94,5,3,0,0,7,0,1,2,64,2,1,0,2,1,38,57,30,0,0,1,1,5,0,11,9,17,15,389
,139A025,10,14,54,1,2,0,0,2,0,0,0,72,4,0,0,0,0,34,60,29,0,0,1,1,3,1,9,8,10,7,322
,139A026,4,9,67,3,3,0,0,3,0,0,1,58,1,0,0,0,0,50,55,27,0,0,4,0,1,0,4,12,11,9,322
,139A027,2,9,69,2,3,0,0,14,0,0,0,44,2,0,0,1,3,57,54,26,0,0,3,2,0,0,6,5,5,11,318
,139A028,7,4,78,6,10,0,0,4,0,0,1,45,3,0,0,0,1,59,76,45,0,1,1,1,3,0,11,16,10,8,390
,139A029,12,27,56,0,2,0,0,2,0,0,2,13,7,0,0,0,2,78,79,14,0,0,1,1,1,0,18,6,9,5,335
,139A030,5,20,72,5,6,0,0,2,0,1,11,36,3,0,0,0,5,65,61,24,1,0,1,2,2,0,13,3,3,6,347
,139A031,2,17,60,1,6,0,0,5,0,0,1,84,12,1,0,3,3,47,52,39,2,0,6,0,4,0,5,20,10,10,390
,139A032,3,11,68,1,5,0,0,8,0,0,3,36,6,0,0,4,8,67,53,14,2,0,0,1,1,0,2,8,4,5,310
,139A033,13,13,57,2,7,0,0,10,0,0,1,74,10,0,0,0,2,62,68,26,0,0,0,0,0,0,10,10,7,10,382
,139A034,10,6,59,9,8,0,0,11,0,0,4,38,2,0,1,1,4,50,46,32,1,0,6,0,1,1,3,8,9,11,321
,139A035,12,12,70,5,11,0,0,4,0,0,1,51,1,0,0,0,0,67,56,48,1,0,2,0,3,1,6,8,5,12,376
,139A036,0,9,83,6,3,0,0,9,0,0,6,51,1,0,0,0,6,90,47,14,1,0,1,1,4,0,7,6,8,8,361
,139A037,4,14,97,4,8,0,1,7,0,0,1,54,3,0,0,0,0,73,42,37,0,0,5,1,1,0,4,9,6,7,378
,139A038,7,7,109,6,5,0,0,11,0,0,2,54,2,0,0,0,2,48,46,25,1,1,2,0,3,0,4,12,4,12,363
,139A039,8,6,69,3,3,0,0,7,0,0,3,60,7,0,1,1,3,68,59,31,3,0,3,0,4,0,8,6,7,12,372
,139A040,10,6,56,3,6,0,0,2,0,0,0,40,1,0,0,0,6,65,55,32,1,1,2,1,4,0,5,1,10,13,320
,139A041,9,9,73,5,5,0,0,5,0,0,1,50,7,0,0,0,2,67,60,36,0,1,2,2,2,0,10,5,4,5,360
,139A042,9,13,64,5,8,0,0,6,0,0,5,41,3,0,0,1,1,60,52,24,0,0,1,1,1,0,9,7,10,15,336
,139A043,9,8,97,3,13,0,0,5,0,0,0,39,2,0,0,0,3,31,46,24,1,0,3,1,1,0,6,12,5,12,321
,139A044,7,5,96,5,3,0,0,7,0,0,1,60,1,0,0,0,1,41,36,37,1,0,2,0,0,1,6,6,5,20,341
,139A045,9,11,70,1,1,0,2,4,0,0,5,55,11,0,0,0,1,36,28,23,0,1,2,0,4,0,6,8,4,5,287
,139A046,4,8,83,4,11,1,0,3,0,1,1,50,9,0,0,1,3,58,53,38,0,0,1,2,4,0,7,7,13,5,367
,139A047,10,19,91,0,2,0,0,0,1,0,1,21,8,0,0,0,1,69,65,23,2,0,6,0,2,0,15,6,11,13,366
,139A048,20,29,60,0,0,0,0,3,1,0,15,8,1,0,0,4,0,71,142,38,0,0,1,3,3,0,12,9,2,5,427
,139A049,36,28,76,1,0,1,0,3,0,0,1,19,4,0,0,3,0,70,148,33,0,1,4,1,2,0,15,6,9,3,464
,139A050,18,16,83,1,9,0,0,2,0,0,4,15,4,0,0,0,1,54,82,24,3,0,1,0,2,0,20,13,7,14,373
,139A051,6,7,55,1,0,0,0,0,0,0,1,19,1,0,0,0,0,45,85,28,1,0,5,3,3,1,10,3,17,3,294
,139A052,17,14,57,0,0,0,0,1,0,0,1,12,1,0,0,0,1,54,70,19,0,0,8,1,0,0,14,6,8,3,287
,139A053,3,8,65,3,4,0,0,3,1,0,4,45,3,0,0,0,1,60,58,24,2,1,1,0,1,0,14,4,10,0,315
,139A054,15,9,85,5,7,0,0,4,0,0,1,50,6,0,0,0,5,54,59,52,1,1,4,2,2,0,7,9,7,9,394
