,BM,BOSS - BOSANSKA STRANKA-MIRNES AJANOVIĆ,BPS-SEFER HALILOVIĆ,DEMOKRATSKA FRONTA-ŽELJKO KOMŠIĆ,HDZ 1990 HRVATSKA DEMOKRATSKA ZAJEDNICA,"HDZ BIH, HSS, HKDU BIH, HSP HERCEG BOSNE",HSS STJEPANA RADIĆA,KAMENČIĆ AIDA,KOMUNISTIČKA PARTIJA,LABURISTIČKA STRANKA BOSNE I HERCEGOVINE LABURISTI BIH,LAVIĆ HARIS,NARODNA STRANKA RADOM ZA BOLJITAK,NAŠA STRANKA,NOVI POKRET BIH,POSAVSKA STRANKA,PRELJEVIĆ NEDIM,PRVA STRANKA,SAVEZ NEZAVISNIH SOCIJALDEMOKRATA - SNSD - MILORAD DODIK,SBB - FAHRUDIN RADONČIĆ,SDA - STRANKA DEMOKRATSKE AKCIJE,SDP-SOCIJALDEMOKRATSKA PARTIJA BIH,SDS-SRPSKA DEMOKRATSKA STRANKA,SELJAČKA STRANKA,SNAGA BOSNE I HERCEGOVINE (HSP BIH-DSI-SNAGA BOSNE-BNS),SOCIJAL DEMOKRATSKI FRONT BOSNE I HERCEGOVINE,STRANKA DIJASPORE BOSNE I HERCEGOVINE,STRANKA PRAVDE I RAZVOJA BOSNE I HERCEGOVINE,STRANKA ZA BOSNU I HERCEGOVINU,STRANKA ZA EVROPSKO SARAJEVO-SES,UNIJA SOCIJALDEMOKRATA-UNIJA ZA SVE NAS,ZAJEDNO ZA PROMJENE (SPP-SP/U-SDU-DNZ-LDS),Ukupno
,130A007,39,12,76,0,0,0,0,1,0,0,2,6,0,0,0,0,0,33,98,48,1,0,0,0,2,0,11,3,4,3,339
,130A008,15,31,69,2,0,0,0,4,0,0,22,9,0,0,0,0,0,56,131,48,0,1,1,4,0,1,37,9,16,6,462
,130A009,9,14,100,0,0,0,0,2,0,0,1,3,0,0,0,0,0,44,108,68,0,0,0,5,1,0,7,2,0,4,368
,130A010,12,25,119,1,0,0,0,1,1,0,26,12,3,0,0,0,1,89,140,78,0,0,0,1,0,1,19,4,19,4,556
,130A011,28,29,70,3,1,1,0,3,0,0,8,4,4,0,0,0,1,58,110,61,0,0,2,1,3,0,23,2,15,11,438
,130A012,22,25,77,1,0,0,1,2,0,0,13,17,6,0,0,0,0,65,138,47,0,0,1,1,1,0,38,0,16,7,478
,130A013,5,21,51,0,0,0,0,0,0,0,5,4,2,0,0,0,0,53,90,13,2,0,1,0,3,0,9,5,1,1,266
,130A014,24,37,41,0,0,0,0,1,0,0,3,1,2,0,0,0,0,39,124,42,0,0,1,0,1,0,8,1,1,4,330
,130A015,12,23,61,0,0,0,0,0,0,0,17,3,0,0,0,0,0,79,138,43,0,0,0,3,0,0,31,2,6,5,423
,130A016,33,24,34,0,0,0,0,1,0,0,2,2,1,0,0,0,0,68,131,13,0,0,0,3,0,0,50,5,2,6,375
,130A017,13,12,56,0,0,0,0,0,1,0,0,1,0,0,0,0,0,47,77,31,0,1,0,0,0,0,43,0,0,3,285
,130A018,4,19,16,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,115,7,0,0,1,0,1,0,6,2,9,9,195
,130A019,3,60,45,0,0,0,0,1,0,0,2,0,0,1,0,0,0,45,157,54,0,0,0,0,1,0,22,1,16,9,417
,130A020,11,36,46,0,0,1,1,1,0,0,1,1,1,0,0,0,4,55,82,25,0,0,0,0,2,0,12,8,11,3,301
