,BM,ALEKSIĆ MARKO,AZINOVIĆ DAMIR,BOSANSKOHERCEGOVAČKA NARODNA STRANKA - BNS,BOSS - BOSANSKA STRANKA-MIRNES AJANOVIĆ,BPS-SEFER HALILOVIĆ,DEMOKRATSKA FRONTA-ŽELJKO KOMŠIĆ,HDZ 1990 HRVATSKA DEMOKRATSKA ZAJEDNICA,"HDZ BIH, HSS, HKDU BIH, HSP HERCEG BOSNE",HRS-HRVATSKA REPUBLIKANSKA STRANKA,HRVATSKI SAVEZ HKDU - HRAST,HSP BIH-DSI,HSP DR. ANTE STARČEVIĆ BIH,HSS STJEPANA RADIĆA,KOMUNISTIČKA PARTIJA,NARODNA STRANKA RADOM ZA BOLJITAK,NARODNI DEMOKRATSKI POKRET,POSAVSKA STRANKA,PROLETA VJEKOSLAV,PRVA STRANKA,SAVEZ NEZAVISNIH SOCIJALDEMOKRATA - SNSD - MILORAD DODIK,SBB - FAHRUDIN RADONČIĆ,SDA - STRANKA DEMOKRATSKE AKCIJE,SDP-SOCIJALDEMOKRATSKA PARTIJA BIH,SDS-SRPSKA DEMOKRATSKA STRANKA,STRANKA DIJASPORE BOSNE I HERCEGOVINE,STRANKA ZA BOSNU I HERCEGOVINU,UNIJA SOCIJALDEMOKRATA-UNIJA ZA SVE NAS,ZAJEDNO ZA PROMJENE (SPP-SP/U-SDU-DNZ-LDS),Ukupno
,155A005,0,0,0,1,40,56,3,7,1,0,1,0,0,1,0,0,0,0,1,0,63,84,52,0,0,3,4,2,319
,155A006,0,0,0,1,40,82,7,1,0,0,1,0,1,2,2,0,0,0,0,1,67,116,92,0,1,8,11,1,434
,155A007,0,0,0,1,21,53,1,0,0,0,0,0,0,0,1,0,0,0,0,3,58,56,29,0,0,3,5,4,235
,155A008,0,0,0,4,23,31,1,2,0,0,0,0,0,0,16,0,0,0,0,1,62,167,11,0,0,7,6,1,332
,155A009,0,0,1,1,28,46,0,1,2,0,1,0,0,0,1,1,1,0,0,0,68,138,17,0,1,6,1,0,314
,155A010,1,0,0,0,24,73,1,0,2,0,2,0,0,0,0,0,1,0,0,0,100,153,71,0,0,6,7,3,444
,155A011,0,0,0,2,37,79,1,2,0,0,0,0,1,3,4,0,0,0,0,0,82,163,63,1,1,15,9,2,465
,155A012,0,1,0,0,32,41,3,8,0,0,0,0,0,0,0,0,0,0,0,0,110,128,42,3,0,4,0,0,372
,155A013,0,0,0,2,32,66,9,2,1,0,1,0,1,1,3,0,0,0,0,1,60,118,95,0,1,5,10,2,410
,155A014,0,1,0,0,39,62,4,1,0,0,0,0,0,1,0,0,0,0,1,1,67,101,79,2,0,1,16,2,378
,155A015,0,0,0,0,57,41,0,0,0,0,0,0,0,0,5,0,0,0,0,0,83,202,35,0,0,12,3,2,440
,155A016A,0,0,0,10,22,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,162,8,0,0,8,0,1,287
,155A016B,0,0,0,8,13,18,2,0,0,0,0,0,0,0,1,0,0,0,0,0,52,204,13,0,0,16,4,0,331
,155A017,0,1,0,0,38,72,0,0,0,0,0,0,0,0,2,0,0,0,0,3,86,175,35,1,0,3,6,3,425
,155A018,0,0,1,4,17,61,7,3,1,1,0,0,0,0,1,0,0,0,1,1,77,132,42,0,0,14,11,1,375
,155A019,0,0,0,5,41,47,6,1,0,0,0,0,0,0,1,0,0,0,1,3,73,160,29,0,2,5,13,0,387
,155A020,0,0,0,5,56,67,3,7,1,0,0,1,0,1,2,0,0,0,0,0,96,169,36,1,0,9,0,2,456
,155A021,0,0,0,1,29,45,0,0,0,0,0,0,1,0,11,0,0,0,0,0,164,205,42,0,0,18,7,0,523
,155A022A,0,0,0,2,30,24,0,4,0,0,0,0,1,0,7,0,0,0,0,0,39,131,11,0,1,7,1,0,258
,155A022B,0,0,0,1,26,14,0,1,0,2,0,0,0,0,1,0,0,0,0,0,57,139,12,0,0,4,0,1,258
,155A023,0,1,0,2,16,26,1,4,0,0,0,0,1,0,0,0,0,0,0,0,86,182,12,1,0,8,8,1,349
,155A024,0,1,0,1,24,66,2,1,0,0,0,0,0,0,2,0,0,0,0,0,44,74,79,0,0,13,7,0,314
,155A025,0,0,0,0,27,37,0,1,0,0,0,0,0,1,3,0,0,0,1,0,49,88,34,0,0,4,5,0,250
,156A001,0,0,1,0,3,22,29,148,16,2,12,0,1,1,1,0,1,0,0,5,9,9,5,0,0,2,0,9,276
,156A002,0,0,0,1,11,14,51,150,20,10,12,1,0,0,7,0,0,0,0,8,17,8,24,0,0,2,3,14,353
,156A003,1,0,0,0,0,22,40,143,26,9,4,0,0,1,1,0,0,0,0,4,11,3,18,0,0,0,2,8,293
,156A004,0,1,0,0,0,4,61,251,15,3,9,1,0,0,5,0,0,0,0,0,1,1,1,0,0,0,0,18,371
,156A005,0,0,0,0,0,0,6,62,0,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,81
,156A006,0,0,0,0,0,0,6,44,1,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,56
,156A007,1,0,0,0,3,28,61,186,23,4,6,3,0,1,3,0,0,0,0,4,12,14,34,3,0,0,2,14,402
,156A008,0,0,0,0,0,7,88,257,20,17,18,4,0,0,15,0,0,0,0,0,2,0,2,0,0,0,0,56,486
,156A009,0,0,0,0,0,5,44,202,29,8,11,2,0,0,3,0,0,0,0,0,3,3,2,0,0,0,0,17,329
,156A010,0,0,0,0,2,26,54,170,21,7,6,3,1,3,3,0,0,0,0,10,29,5,29,1,0,1,0,18,389
,156A011A,0,0,0,0,8,7,38,145,19,4,12,1,0,0,5,0,0,0,0,1,8,6,5,1,1,1,3,3,268
,156A011B,0,0,0,0,2,5,50,165,15,5,9,0,1,0,4,1,0,0,0,0,6,1,9,2,0,0,0,6,281
,156A012,1,0,3,1,4,28,56,197,26,10,5,3,0,0,2,0,0,0,0,3,13,17,36,0,2,0,3,7,417
,156A013A,0,0,0,0,2,11,33,104,13,3,12,1,0,0,4,0,0,0,0,3,12,8,11,0,1,0,0,3,221
,156A013B,0,1,0,0,0,12,25,77,16,1,19,1,0,2,6,0,0,0,1,0,6,6,8,1,0,0,0,9,191
,156A014,0,0,0,0,7,22,42,164,17,10,10,0,1,0,5,0,0,0,0,7,2,7,13,0,0,0,0,11,318
,156A015A,0,0,0,0,2,6,16,128,12,5,12,0,1,0,2,0,0,0,0,2,15,5,13,1,0,0,0,7,227
,156A015B,0,0,0,1,2,8,32,126,13,4,5,2,1,0,3,0,1,0,0,1,4,5,8,0,0,2,0,10,228
,156A016,1,0,0,1,2,4,47,325,16,8,84,2,0,0,0,0,0,0,0,1,3,12,6,3,0,1,0,3,519
,156A017,0,0,0,0,0,0,0,3,3,0,0,1,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,21
,156A018,0,0,0,1,1,22,42,165,25,5,3,3,0,2,6,0,0,0,0,8,20,12,6,0,0,2,3,6,332
,156A019,0,0,0,0,0,10,59,164,21,15,6,5,1,1,10,0,1,0,0,3,7,5,13,1,0,0,0,19,341
,156A020A,1,1,0,0,8,8,23,116,15,11,1,2,0,1,5,0,0,0,0,5,23,28,8,2,0,2,1,10,271
,156A020B,0,0,0,1,8,8,23,100,23,6,4,0,0,1,6,0,0,0,0,11,21,26,10,2,0,1,2,8,261
,156A021,0,0,0,0,5,27,34,148,28,9,12,1,1,1,4,0,0,0,0,2,22,16,24,0,0,3,0,4,341
,156A022,1,0,0,0,1,6,29,140,16,6,2,0,0,0,0,0,0,0,0,2,5,2,16,0,0,1,1,7,235
,156A023,0,0,0,0,2,8,36,107,21,7,2,0,0,0,0,0,0,0,0,3,10,3,7,3,0,1,1,12,223
,156A024,2,0,0,0,0,10,50,168,18,10,15,3,1,5,9,0,0,0,0,1,4,1,1,3,1,2,0,16,320
,156A025,0,0,0,0,4,2,33,146,23,7,9,0,0,0,2,0,1,0,0,3,8,3,6,0,0,0,2,19,268
,156A026,0,0,0,0,0,0,4,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66
,157A001A,0,0,1,0,17,37,7,16,4,0,1,0,0,0,0,0,0,0,0,0,32,68,39,1,0,4,5,0,232
,157A001B,0,0,0,0,6,35,6,20,1,2,1,1,0,3,1,0,0,0,0,0,18,39,39,0,0,2,1,2,177
,157A002,1,0,0,3,20,86,5,3,10,1,1,0,0,2,1,0,0,0,0,0,51,108,112,0,0,5,7,0,416
,172A000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,172A001,0,0,0,0,0,0,66,214,0,39,14,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,343
,172A002A,1,0,0,0,0,1,68,118,3,26,14,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,236
,172A002B,0,0,0,0,1,0,49,155,5,18,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,242
,172A002C,0,0,0,0,0,0,46,98,0,18,4,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,172
,172A003,0,0,0,0,1,0,49,95,3,37,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,192
,172A004,0,0,0,0,0,0,41,248,1,36,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,4,332
,172A005,0,0,0,0,0,3,23,235,1,71,5,2,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,6,349
,172A006,0,0,0,0,0,0,25,217,0,9,4,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,7,265
,172A007,0,0,0,0,0,0,24,278,3,64,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,380
,172A008,0,0,0,0,0,0,26,141,0,37,6,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,214
,172A009,0,0,0,0,0,0,10,302,0,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,418
,172A010,0,0,0,0,0,0,31,200,0,52,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,298
,172A011,0,0,0,0,1,1,48,188,4,42,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,7,295
,172A012,0,0,0,0,0,1,93,302,9,68,9,0,0,1,3,0,0,0,0,0,1,0,2,0,0,0,0,7,496
,172A013,0,0,0,0,0,0,33,263,1,85,1,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,388
,172A014,0,0,1,1,0,0,53,210,3,90,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,364
,172A015,0,0,0,0,0,0,23,87,6,79,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,203
,172A016,0,0,0,0,0,0,7,172,1,32,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,48,264
,172A017,0,0,0,0,1,2,26,123,0,27,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,185
,172A018,0,0,0,0,0,1,39,160,6,38,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,261
,172A019,0,0,0,0,0,0,52,146,0,30,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,236
,172A020,0,0,0,0,0,1,31,140,3,32,1,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,10,223
,172A021,0,0,0,0,0,0,81,195,12,36,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,327
,173A000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,173A001,1,1,0,0,1,19,29,200,7,30,6,3,0,0,2,0,0,0,0,2,8,2,14,0,0,3,0,5,333
,173A002,0,0,0,0,3,3,27,88,6,17,1,0,0,1,2,0,0,0,0,1,6,3,5,0,0,2,2,9,176
,173A003,0,1,0,0,3,6,19,122,6,17,6,0,0,0,2,0,0,0,0,1,6,6,22,0,0,5,2,3,227
,173A004,1,0,0,0,3,21,40,273,8,29,4,2,0,0,10,1,0,0,0,1,12,6,54,1,0,3,0,3,472
,173A005,0,1,0,0,1,4,105,314,4,11,2,0,0,0,1,0,0,2,0,0,12,32,2,0,0,13,0,3,507
,173A006,0,0,0,0,0,1,22,94,0,2,0,4,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,1,130
,173A007,1,0,0,0,18,15,27,66,0,8,0,0,0,3,0,0,0,0,0,0,21,148,24,0,0,16,1,7,355
,173A008,0,0,0,0,0,0,99,109,1,7,7,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,7,234
,173A009,0,0,0,1,0,5,25,195,3,20,2,6,0,0,1,0,0,0,0,0,1,0,6,0,0,1,1,3,270
,173A010,0,0,0,0,2,3,56,256,5,26,4,2,0,0,1,0,0,0,0,9,0,0,9,0,0,0,0,1,374
,173A011,0,0,0,0,0,0,53,96,7,4,2,1,2,0,13,0,0,0,0,0,0,0,4,0,0,0,0,1,183
,173A012,0,0,0,0,0,1,26,65,1,12,2,11,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,121
,173A013,0,0,0,0,0,1,92,317,8,36,6,4,0,0,1,0,0,0,0,0,0,0,16,1,0,0,0,8,490
,173A014,0,0,0,0,20,13,1,16,0,1,0,0,0,0,1,0,0,0,0,8,18,252,21,3,0,9,3,0,366
,173A015,0,0,0,1,0,7,48,166,0,60,14,14,0,0,3,0,0,1,0,0,8,9,8,0,0,0,1,3,343
,173A016,0,0,0,0,0,0,25,26,4,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68
,173A017,0,0,0,2,10,6,55,183,15,27,4,3,0,0,0,0,0,0,0,0,11,11,70,0,0,1,2,8,408
,173A018,0,0,0,0,0,0,57,99,0,8,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,170
,173A019,0,0,0,0,0,2,61,79,0,18,0,0,0,0,0,0,0,0,0,0,1,0,7,0,0,0,0,0,168
,173A020A,0,0,0,0,3,7,35,80,1,31,0,2,0,2,7,0,0,0,0,12,8,20,6,1,1,8,0,4,228
,173A020B,0,0,0,0,3,7,6,54,1,19,0,0,0,0,3,0,0,0,0,3,19,8,17,1,0,3,2,8,154
,173A021A,0,1,0,0,1,0,15,210,5,64,1,3,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,6,310
,173A021B,0,0,0,0,0,3,12,179,0,55,4,2,1,0,0,0,0,0,0,0,0,0,5,0,0,0,2,4,267
,173A022A,0,2,0,0,3,16,49,224,0,5,1,0,1,0,1,0,0,0,0,0,41,23,5,0,0,3,0,13,387
,173A022B,0,1,0,1,9,15,47,145,5,5,2,0,0,0,0,0,0,0,0,0,41,14,6,0,0,8,0,14,313
,173A023,0,0,0,0,0,0,31,98,1,14,8,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,155
,173A024,0,0,0,0,8,9,34,122,5,17,5,3,0,0,2,0,0,0,0,1,14,6,9,0,0,7,5,6,253
,173A025,1,1,0,0,0,1,27,68,1,24,2,1,0,0,1,3,0,0,0,17,0,1,11,0,0,0,0,3,162
,173A026,0,4,0,0,1,8,51,207,8,10,3,3,0,0,1,0,0,0,0,0,9,1,26,0,0,1,0,10,343
,173A027,0,0,0,1,0,0,113,105,4,3,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10,265
,173A028,0,0,0,0,4,14,28,98,0,5,1,2,0,1,2,0,0,0,0,0,27,123,23,0,0,13,7,43,391
,173A029,0,0,0,0,0,0,62,170,1,6,3,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,8,259
,173A030,0,0,0,0,9,3,5,3,0,2,0,0,0,0,0,0,0,0,0,0,10,137,2,1,0,10,0,0,182
,173A031,0,0,0,0,11,21,12,36,0,5,1,1,1,1,0,0,0,0,0,0,36,106,10,0,2,6,0,2,251
,173A032,0,1,0,1,3,10,25,104,5,12,1,0,1,0,4,0,0,0,0,0,16,8,25,1,0,1,0,7,225
,173A033,0,2,1,0,0,12,38,159,0,20,2,2,1,0,3,0,0,0,0,2,8,5,38,1,0,1,3,2,300
,174A000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,174A001,1,0,0,0,0,2,55,94,0,9,1,0,0,0,0,0,0,1,0,0,1,1,8,0,0,0,0,0,173
,174A002,0,0,0,0,0,0,62,153,1,0,1,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,221
,174A003,0,0,0,0,0,0,26,62,0,0,1,0,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,1,94
,174A004,0,0,0,0,0,1,42,85,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,130
,174A005,0,0,0,0,1,0,81,123,4,10,4,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,229
,174A006,0,0,1,0,0,1,125,241,5,6,2,1,0,0,1,0,0,0,0,0,2,0,3,0,0,0,0,5,393
,174A007,0,0,0,0,0,4,61,120,4,1,1,0,0,0,1,0,0,0,0,1,0,0,5,0,0,0,0,2,200
,176A000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,176A001,0,0,0,1,0,1,5,93,0,0,5,1,0,0,0,0,0,0,0,0,4,16,5,0,0,0,1,0,132
,176A002,0,0,0,0,0,0,13,47,0,0,36,0,0,0,0,0,0,0,0,0,0,7,2,0,0,0,0,0,105
,176A003,0,0,0,0,14,11,15,100,0,0,7,1,0,0,0,0,0,0,0,9,21,97,27,0,0,0,3,0,305
,176A004,0,0,0,0,11,14,7,16,1,0,1,0,0,4,0,0,0,0,0,2,27,125,67,1,0,5,8,0,289
,176A005,0,0,0,1,21,7,12,43,0,2,3,0,0,0,1,0,0,0,0,0,26,186,26,0,0,0,2,0,330
,176A006,0,0,0,0,16,10,23,251,0,2,75,0,0,0,0,0,1,0,0,0,34,161,14,0,0,3,1,0,591
,176A007,0,0,0,0,0,1,26,417,5,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,463
,176A008,1,0,0,0,7,9,37,348,0,3,6,0,0,0,2,0,0,0,0,0,24,75,33,0,0,0,1,1,547
,176A009,0,0,0,0,0,22,22,209,0,6,8,0,0,0,0,0,0,0,0,3,10,95,13,0,0,0,0,0,388
,176A010,1,0,0,1,1,1,23,257,2,0,21,1,1,0,1,0,0,0,0,0,4,23,10,0,0,0,0,1,348
,176A011,3,0,0,1,0,1,50,462,5,2,7,9,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,1,545
,176A012,0,0,0,0,7,8,19,74,0,1,11,11,0,1,0,0,0,0,0,9,13,40,53,0,0,1,3,1,252
,176A013,0,0,0,0,18,15,1,8,0,0,1,0,0,1,0,0,0,0,0,0,86,202,68,0,0,10,6,1,417
,176A014,0,0,0,0,4,3,10,141,0,0,34,1,0,0,0,0,0,0,0,0,17,137,14,0,0,0,0,4,365
,176A015,0,0,0,1,16,6,27,157,6,0,13,1,0,0,0,0,0,0,0,0,6,37,40,0,1,0,1,0,312
,176A016,0,0,0,0,11,11,22,162,1,0,18,0,0,0,1,0,0,0,0,5,17,95,24,0,0,5,14,2,388
,176A017,2,0,0,0,2,1,28,504,5,4,19,1,0,0,0,0,0,0,0,0,7,94,24,0,0,0,0,2,693
,176A018,0,0,1,0,5,14,19,44,3,2,8,0,0,0,0,0,0,0,0,3,39,68,24,0,0,0,2,1,233
,176A019,0,0,0,0,5,5,46,120,9,1,7,0,1,0,0,0,0,0,0,2,7,82,15,0,0,0,0,0,300
,181A000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,181A001,0,0,0,0,0,0,31,142,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,176
,181A002,0,0,0,0,0,0,20,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,156
,181A003,0,0,0,0,0,0,5,120,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,157
,181A004,0,0,0,0,0,0,5,52,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,58
,181A005,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,43,1,1,0,2,0,0,0,1,61
,199A000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
