,BM,ALEKSIĆ MARKO,AZINOVIĆ DAMIR,BOSANSKOHERCEGOVAČKA NARODNA STRANKA - BNS,BOSS - BOSANSKA STRANKA-MIRNES AJANOVIĆ,BPS-SEFER HALILOVIĆ,DEMOKRATSKA FRONTA-ŽELJKO KOMŠIĆ,HDZ 1990 HRVATSKA DEMOKRATSKA ZAJEDNICA,"HDZ BIH, HSS, HKDU BIH, HSP HERCEG BOSNE",HRS-HRVATSKA REPUBLIKANSKA STRANKA,HRVATSKI SAVEZ HKDU - HRAST,HSP BIH-DSI,HSP DR. ANTE STARČEVIĆ BIH,HSS STJEPANA RADIĆA,KOMUNISTIČKA PARTIJA,NARODNA STRANKA RADOM ZA BOLJITAK,NARODNI DEMOKRATSKI POKRET,POSAVSKA STRANKA,PROLETA VJEKOSLAV,PRVA STRANKA,SAVEZ NEZAVISNIH SOCIJALDEMOKRATA - SNSD - MILORAD DODIK,SBB - FAHRUDIN RADONČIĆ,SDA - STRANKA DEMOKRATSKE AKCIJE,SDP-SOCIJALDEMOKRATSKA PARTIJA BIH,SDS-SRPSKA DEMOKRATSKA STRANKA,STRANKA DIJASPORE BOSNE I HERCEGOVINE,STRANKA ZA BOSNU I HERCEGOVINU,UNIJA SOCIJALDEMOKRATA-UNIJA ZA SVE NAS,ZAJEDNO ZA PROMJENE (SPP-SP/U-SDU-DNZ-LDS),Ukupno
,125A023,0,0,0,0,0,0,81,66,0,0,11,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,164
,125A024,0,0,0,0,0,0,9,28,0,0,2,0,0,0,0,0,0,0,0,0,0,23,2,0,0,7,0,0,71
,125A025,0,0,0,2,14,0,18,85,0,0,2,0,0,0,4,0,0,0,0,0,11,93,25,0,0,1,0,0,255
,125A026,0,0,0,0,3,1,55,24,0,0,3,0,0,0,0,0,0,0,0,0,4,45,17,0,0,4,1,0,157
,125A027,0,0,0,0,4,0,23,8,0,0,0,0,0,0,0,0,0,0,0,0,1,30,0,0,0,12,0,0,78
,125A028,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,16,13,0,0,0,3,0,0,87
,125A029,0,0,0,0,13,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9,36,8,0,0,3,0,1,73
,125A030,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,17,1,0,0,9,0,0,40
,125A031,0,0,0,0,2,3,88,106,0,0,11,1,1,0,0,0,0,0,0,0,2,30,4,0,0,4,1,0,253
,125A032,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,23,0,0,0,0,0,0,27
,126A000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,126A001,0,0,0,3,12,42,0,0,0,0,0,0,0,0,1,0,0,0,1,0,117,105,113,0,0,10,1,5,410
,126A002,0,0,0,1,31,64,1,0,0,0,0,0,0,1,4,0,0,0,0,0,120,165,127,0,0,28,4,12,558
,126A003,0,0,0,0,28,60,9,3,0,0,0,0,0,0,5,0,1,0,0,0,95,140,106,0,0,23,2,7,479
,126A004,0,0,0,3,13,48,2,3,0,0,0,0,2,1,7,0,0,0,0,0,102,139,114,0,0,23,6,6,469
,126A005,0,0,0,2,17,49,1,2,0,0,0,0,0,0,2,0,0,0,1,0,124,147,91,0,0,15,1,6,458
