,BM,A-SDA STRANKA DEMOKRATSKE AKTIVNOSTI,BOSS - BOSANSKA STRANKA-MIRNES AJANOVIĆ,BPS-SEFER HALILOVIĆ,DEMOKRATSKA FRONTA-ŽELJKO KOMŠIĆ,HDZ 1990 HRVATSKA DEMOKRATSKA ZAJEDNICA,"HDZ BIH, HSS, HKDU BIH, HSP HERCEG BOSNE",HRVATSKI SAVEZ HKDU - HRAST,IMAMOVIĆ-ARIFOVIĆ AMELA,NARODNA STRANKA RADOM ZA BOLJITAK,NAŠA STRANKA,NOVI POKRET BIH,PRVA STRANKA,SBB - FAHRUDIN RADONČIĆ,SDA - STRANKA DEMOKRATSKE AKCIJE,SDP-SOCIJALDEMOKRATSKA PARTIJA BIH,SDS-SRPSKA DEMOKRATSKA STRANKA,SINANOVIĆ MERIMA,SNAGA BOSNE I HERCEGOVINE (HSP BIH-DSI-BNS),SOCIJALISTIČKA PARTIJA,STRANKA DIJASPORE BOSNE I HERCEGOVINE,STRANKA ZA BOSNU I HERCEGOVINU,STRANKA ZA NAROD BOSNE I HERCEGOVINE,UNIJA SOCIJALDEMOKRATA-UNIJA ZA SVE NAS,ZAJEDNO ZA PROMJENE (SPP-SP/U-SDU-DNZ-LDS),Ukupno
,093A126,12,0,0,1,0,0,0,0,0,0,1,0,22,148,59,0,0,0,0,0,8,2,0,0,253
,093A127,13,0,11,45,0,0,0,0,2,0,3,0,47,31,6,0,0,0,0,1,5,5,2,0,171
,093A128,13,2,8,85,10,9,0,0,5,4,3,1,96,67,68,0,1,0,1,1,3,13,0,3,393
,093A129,14,0,17,43,0,4,0,0,3,0,0,0,110,48,7,1,0,0,1,5,4,5,0,4,266
,093A130,17,3,15,18,12,0,4,0,1,2,0,1,59,174,5,0,0,0,0,0,1,5,0,0,317
,093A131,6,4,7,52,4,5,0,0,6,7,15,2,70,42,29,0,0,3,0,0,3,3,0,4,262
,093A132,19,0,8,20,0,0,0,0,2,0,0,0,72,132,28,0,0,0,0,0,2,32,0,1,316
,093A133,8,4,17,78,5,0,0,1,15,6,3,0,62,63,17,0,0,0,0,1,2,106,1,1,390
,093A134,13,0,19,35,6,0,0,2,6,6,0,1,93,59,14,0,0,0,0,1,10,10,3,5,283
,093A135,8,0,12,47,12,6,0,0,6,17,5,0,66,41,31,0,1,0,0,0,15,7,0,1,275
,093A136,10,1,25,82,6,2,0,0,5,3,1,0,105,68,29,0,0,0,0,0,9,8,0,1,355
,094A000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,094A001,22,0,6,23,4,3,0,0,3,0,0,0,74,173,19,0,0,0,0,1,56,1,0,2,387
,094A002,13,0,9,26,0,0,0,0,5,0,0,0,48,65,35,0,0,0,0,0,20,2,0,1,224
,094A003,11,1,2,19,0,0,0,0,8,0,0,0,87,77,11,0,0,0,0,0,9,0,0,7,232
,094A004,13,0,5,26,0,1,0,0,1,0,0,0,52,204,12,0,0,0,1,0,9,4,0,2,330
,094A005,18,1,8,77,7,41,0,0,6,2,1,0,78,112,74,0,1,0,1,0,23,3,0,12,465
,094A006,2,0,4,9,11,76,1,0,1,0,1,0,16,14,13,0,0,1,0,0,0,4,0,0,153
,094A007,19,3,21,30,1,0,0,0,2,0,0,1,68,208,24,0,0,0,0,0,18,12,4,3,414
,094A008,10,0,5,23,7,92,0,0,0,0,0,0,36,14,25,0,0,0,0,0,11,0,0,0,223
,094A009,18,1,13,63,1,22,2,0,1,8,0,1,74,132,107,0,0,1,0,0,20,1,0,2,467
,094A010,92,0,15,30,1,0,0,0,4,8,0,0,23,121,35,0,0,0,0,0,30,0,0,0,359
,094A011,75,0,5,11,0,0,0,0,2,0,0,0,5,81,4,0,0,0,0,0,35,0,0,0,218
,094A012,19,0,32,71,2,14,0,1,2,3,17,0,121,110,43,0,0,0,0,0,18,4,0,5,462
,094A013,42,0,24,77,0,1,0,1,2,0,1,0,101,183,34,0,0,0,1,0,27,4,1,3,502
,094A014A,27,0,6,32,3,5,0,0,2,0,3,0,35,108,24,0,0,0,0,1,14,9,0,1,270
,094A014B,14,1,12,24,0,2,0,0,5,0,0,2,38,62,14,0,0,1,0,0,9,8,1,3,196
,094A015,26,3,5,52,0,11,0,0,1,4,0,0,82,132,69,0,0,2,0,1,39,2,0,6,435
,094A016,31,2,11,34,0,0,0,0,0,3,2,1,169,220,36,0,1,0,0,0,10,0,0,0,520
,094A017,16,1,5,7,0,0,0,0,0,1,0,0,33,58,4,0,0,0,0,1,1,2,1,0,130
,094A018,13,1,6,39,1,5,1,0,0,0,1,1,34,120,19,0,0,0,0,0,7,0,0,0,248
,094A019,16,0,5,10,0,0,0,0,0,0,0,0,18,87,16,0,0,0,0,0,16,0,0,0,168
,094A020,19,0,10,41,0,1,0,0,1,2,0,0,54,100,26,0,0,1,0,0,47,1,0,1,304
,094A021,2,0,3,32,10,98,3,0,3,1,0,1,31,44,24,0,0,1,0,0,4,8,1,1,267
,094A022,30,1,4,48,2,18,0,1,9,8,0,0,93,155,46,0,0,0,0,0,25,1,0,8,449
,094A023,3,0,11,15,0,0,0,0,0,0,0,0,26,73,95,0,0,0,0,0,5,0,0,0,228
,094A024,3,0,3,11,10,73,0,0,0,0,0,0,10,15,12,1,0,3,2,0,3,0,0,2,148
,094A025,8,0,12,7,0,1,0,0,0,0,0,0,25,74,32,0,0,0,0,1,30,1,0,0,191
,094A026,148,0,1,26,0,0,0,0,9,0,0,0,77,228,112,0,0,0,0,0,10,0,0,0,611
,094A027,97,0,2,25,0,2,0,0,38,2,0,0,11,120,29,0,0,0,0,1,8,1,0,0,336
,094A028,39,0,20,27,0,0,0,0,1,2,2,0,67,166,45,0,0,0,0,0,4,0,0,0,373
,094A029,15,0,3,15,7,60,0,1,0,0,1,0,15,51,51,0,0,0,0,0,2,0,0,2,223
,094A030,20,1,17,75,3,9,0,0,0,7,0,0,73,107,46,0,0,0,0,2,25,2,0,0,387
,094A031,27,2,22,38,0,1,0,0,0,2,0,0,48,172,25,0,0,0,0,0,5,3,0,5,350
,094A032,42,0,6,26,0,7,0,0,1,0,0,0,35,91,14,0,0,0,0,0,23,0,0,0,245
,094A033,50,0,1,3,0,0,0,0,10,0,0,0,9,72,30,0,0,0,0,0,5,2,0,1,183
,094A034,15,0,0,12,0,0,0,0,6,0,0,0,12,74,3,0,0,0,0,0,3,0,0,0,125
,094A035,43,4,21,62,2,6,0,1,1,0,0,0,46,249,64,0,0,0,0,0,6,0,0,0,505
,094A036,34,1,5,11,0,0,0,0,0,0,0,0,18,156,53,0,0,0,0,0,9,0,0,0,287
,094A037,5,0,2,15,3,8,0,0,2,0,0,0,17,53,23,0,0,0,0,0,11,0,0,2,141
,094A038,2,0,3,3,7,60,0,0,1,2,0,0,8,13,3,0,0,0,0,0,3,0,0,0,105
,094A039,11,1,7,22,0,1,0,0,0,0,1,0,79,120,23,0,0,0,0,0,9,1,0,2,277
,094A040,26,2,11,43,0,1,0,0,4,0,0,0,55,274,37,0,0,0,0,1,9,1,0,0,464
,094A041,10,0,12,56,3,29,0,1,2,6,1,0,76,110,48,1,0,0,0,0,15,2,0,1,373
,094A042,4,1,5,30,1,2,0,0,0,0,4,0,56,84,29,0,1,0,0,2,62,0,1,5,287
,094A043,17,0,7,49,3,24,1,0,3,1,1,0,38,92,51,0,0,3,0,0,22,3,0,2,317
,094A044,5,0,2,9,0,0,0,0,1,0,0,0,17,69,6,0,0,0,0,0,0,0,0,0,109
,094A045,33,1,12,29,0,8,0,0,2,13,1,0,36,191,46,1,0,0,0,3,32,1,1,0,410
,094A046,15,1,48,59,0,3,0,1,1,0,9,1,71,154,43,0,0,0,0,0,17,0,1,5,429
,094A047,25,1,11,51,1,18,1,0,1,10,0,0,73,185,42,1,0,1,0,1,8,1,0,4,435
,094A048,25,0,14,25,0,1,0,0,2,0,1,1,48,78,79,0,0,0,0,0,28,0,1,2,305
,094A049,24,0,15,40,1,15,1,0,1,1,0,1,52,119,24,0,0,1,0,3,4,0,1,2,305
,094A050,30,0,12,69,0,0,0,0,4,0,4,0,84,122,66,0,0,0,0,0,17,7,0,1,416
,094A051,31,0,2,13,3,16,0,0,2,0,0,0,56,89,28,0,0,0,0,0,39,0,0,6,285
,094A052,22,1,8,17,0,12,0,0,0,0,0,0,24,98,17,0,0,0,0,0,4,1,0,0,204
,094A053,14,1,11,38,1,10,0,0,0,1,4,0,55,79,50,0,0,0,1,0,15,0,0,4,284
,094A054,10,3,17,44,0,1,0,0,1,2,0,0,60,122,24,0,0,0,0,0,13,3,0,2,302
,094A055,5,0,5,8,0,1,0,0,0,0,0,0,35,76,7,0,0,0,0,0,44,1,0,0,182
,094A056,32,0,6,37,1,11,0,0,3,4,6,0,82,104,24,0,0,2,1,0,46,3,0,3,365
,094A057,12,0,0,20,0,2,0,0,2,1,0,0,34,61,23,0,0,0,0,0,65,1,0,0,221
,094A058,28,0,4,17,1,12,0,0,5,2,0,0,37,87,42,0,0,1,0,1,21,1,0,4,263
,095A000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,095A001,6,1,13,68,30,67,2,0,3,4,0,0,63,24,21,0,0,1,0,0,1,0,0,2,306
,095A002,10,1,18,70,23,39,3,0,1,10,0,0,74,69,29,0,1,7,1,0,3,0,0,4,363
,095A003,2,0,9,38,14,32,0,0,0,5,0,0,47,43,26,0,0,0,0,1,0,0,1,3,221
,095A004,9,3,12,66,15,64,2,0,0,6,0,1,73,76,33,1,0,2,0,1,1,3,0,0,368
,095A005,3,0,2,15,12,45,0,0,2,3,0,0,25,23,17,0,0,1,0,1,1,1,0,1,152
,095A006,10,0,9,44,7,21,0,0,1,3,0,0,67,65,45,0,0,0,0,0,1,2,0,2,277
,095A007,11,1,7,20,21,54,0,0,1,1,0,0,22,27,2,0,0,2,0,0,1,0,0,2,172
